siteID,year,month,site,lat,lon,type,source,NEE_qc,GPP,NEE,RECO,RECO_base_01,RECO_causal_01,RECO_base_02,RECO_causal_02,RECO_base_03,RECO_causal_03,RECO_base_04,RECO_causal_04,RECO_base_05,RECO_causal_05,RECO_base_06,RECO_causal_06,RECO_base_07,RECO_causal_07,RECO_base_08,RECO_causal_08,RECO_base_09,RECO_causal_09,RECO_base_10,RECO_causal_10,RECO_base_11,RECO_causal_11,RECO_base_12,RECO_causal_12,RECO_base_13,RECO_causal_13,RECO_base_14,RECO_causal_14,RECO_base_15,RECO_causal_15,RECO_base_16,RECO_causal_16,RECO_base_17,RECO_causal_17,RECO_base_18,RECO_causal_18,RECO_base_19,RECO_causal_19,RECO_base_20,RECO_causal_20
243,2014,2,AU-Rob,-17.1175,145.6301,EBF,FLUXNET,0.986607,184.44748,-39.1258,140.48608,247.26215,241.27925,203.31021,211.50763,170.0741,181.94124,199.45937,188.152,196.09618,204.42615,166.92908,154.43616,236.33614,254.3325,249.22147,296.3391,197.62355,193.249,180.51057,201.44266,211.21074,199.55717,160.55858,145.75647,183.69289,179.04556,166.37254,178.02869,165.86424,172.1783,219.7201,248.61421,177.27292,165.39726,261.26706,253.00465,174.16762,169.72894,189.49852,189.34135
243,2014,3,AU-Rob,-17.1175,145.6301,EBF,FLUXNET,0.942204,218.19133,-65.98412,159.94698,188.21239,197.27275,212.7902,223.88997,178.81976,195.09666,177.78279,192.86101,209.94196,229.64684,173.19821,163.70149,206.64491,227.02577,243.72208,297.53027,215.42209,228.5029,246.73077,248.15887,224.50687,227.31267,180.76886,166.31915,198.89124,210.9713,202.4359,208.04698,182.51576,180.61198,190.27197,198.20682,180.92242,173.74512,174.89703,218.51904,175.36604,181.89899,179.44357,193.87755
243,2014,4,AU-Rob,-17.1175,145.6301,EBF,FLUXNET,0.991667,159.2772,-14.15118,143.5122,144.78773,137.64145,147.648,150.89235,131.53595,142.4914,148.05202,157.10338,140.47044,144.5222,139.00417,139.89984,139.29002,150.48247,152.38931,160.80457,141.3374,144.05212,146.649,147.95068,158.14789,137.30472,134.95198,142.06282,146.08066,139.504,146.06618,153.78326,132.63754,141.08125,145.8219,146.43971,140.9751,137.79518,138.5343,143.40169,150.69453,162.52919,140.66039,170.89035
243,2014,5,AU-Rob,-17.1175,145.6301,EBF,FLUXNET,0.985887,148.29718,-82.08924,62.04712,111.399826,99.01194,93.10571,101.275475,83.08149,88.45837,107.887314,97.86406,101.28727,96.98695,95.72036,81.480194,90.83489,94.754616,117.53435,106.96328,142.58313,149.07434,78.30799,86.74597,105.57785,112.68913,84.895424,77.76885,112.05995,106.422455,82.69601,84.54248,88.3526,91.48503,110.26707,105.88328,93.05205,85.39405,104.19796,104.14196,93.10833,98.23594,106.620155,113.85224
243,2014,6,AU-Rob,-17.1175,145.6301,EBF,FLUXNET,0.971528,130.3557,-29.60127,95.0745,92.20306,95.64109,97.69032,96.46207,88.33882,103.361115,100.98019,101.79634,93.801025,94.860374,95.17747,92.88495,90.12901,93.02088,102.599495,96.49157,96.50834,96.38434,90.15694,90.38616,93.5854,94.0119,90.86455,93.415115,100.35036,90.143936,87.01238,87.10507,91.022995,96.50238,101.871796,101.638756,93.85933,92.44615,95.48766,93.8142,92.14808,92.30084,96.98233,105.4479
243,2014,7,AU-Rob,-17.1175,145.6301,EBF,FLUXNET,0.943548,126.41366,-77.22131,54.25279,76.495926,73.53261,88.94586,89.14325,71.69357,77.431725,111.525505,102.825134,87.05748,83.09207,95.87291,101.27386,78.32673,86.94429,96.705284,97.73775,86.726524,80.29447,65.69259,72.57514,85.713875,85.639275,87.219154,93.744865,109.237946,103.40377,64.04944,65.427216,96.40423,111.57584,107.352234,112.64456,81.68928,76.650185,102.65394,110.548485,82.4201,85.65781,92.19574,99.999405
243,2014,8,AU-Rob,-17.1175,145.6301,EBF,FLUXNET,0.94422,178.5507,-72.28828,108.97678,135.80978,136.3244,115.57295,109.00607,102.30474,108.13482,115.42863,118.276634,117.975174,119.71016,107.6972,105.02574,110.61388,109.21143,120.18463,115.18284,125.771095,124.67059,106.383446,105.5269,114.305824,114.84891,109.2494,109.190834,119.35145,112.14102,106.26935,107.69112,101.59046,106.92899,120.83623,116.29446,125.97224,130.95656,113.2377,118.616264,107.37411,111.12209,120.37731,121.13179
243,2014,9,AU-Rob,-17.1175,145.6301,EBF,FLUXNET,0.957639,193.0509,-93.2574,98.5155,117.36327,113.35398,127.25313,134.99974,114.68172,151.35855,119.19313,138.98204,123.501076,123.53629,120.69572,112.07493,124.25382,127.13273,141.48561,161.40079,122.896645,119.84556,111.4347,120.41134,125.14304,120.59202,109.50085,105.58954,142.33563,133.25635,106.97604,113.38031,114.31722,124.12929,123.90551,136.14517,144.10104,150.9573,108.814415,120.742615,162.82954,180.31013,129.58994,154.08308
243,2014,10,AU-Rob,-17.1175,145.6301,EBF,FLUXNET,0.988575,193.43845,-63.55992,125.76669,120.90625,125.617805,131.02916,139.2211,119.95424,137.52933,127.43108,149.29836,128.09569,129.52011,130.3016,122.93093,130.28801,131.882,136.62167,148.54301,123.40673,128.32158,118.22828,129.16705,126.54526,129.74103,128.24097,125.645065,136.64438,127.80347,120.355125,124.797874,123.90338,128.4322,128.45969,134.52908,142.60945,139.35963,123.353806,128.39415,143.57144,166.13211,138.71896,154.08308
243,2014,11,AU-Rob,-17.1175,145.6301,EBF,FLUXNET,0.975694,182.6757,-51.7248,132.9477,143.74782,140.77272,150.98479,177.0592,130.57689,173.04054,141.04195,156.99959,146.56696,149.5416,145.56242,167.58081,134.0306,142.97272,147.85406,167.40874,153.52618,150.20174,139.47278,141.10109,146.99236,142.61963,159.6735,176.8389,147.58562,142.50423,132.85524,135.2871,138.20041,143.2448,146.19817,147.91002,140.57997,147.65022,135.03702,152.6057,165.16743,200.82149,145.221,169.56773
