siteID,year,month,site,lat,lon,type,source,NEE_qc,GPP,NEE,RECO,RECO_base_01,RECO_causal_01,RECO_base_02,RECO_causal_02,RECO_base_03,RECO_causal_03,RECO_base_04,RECO_causal_04,RECO_base_05,RECO_causal_05,RECO_base_06,RECO_causal_06,RECO_base_07,RECO_causal_07,RECO_base_08,RECO_causal_08,RECO_base_09,RECO_causal_09,RECO_base_10,RECO_causal_10,RECO_base_11,RECO_causal_11,RECO_base_12,RECO_causal_12,RECO_base_13,RECO_causal_13,RECO_base_14,RECO_causal_14,RECO_base_15,RECO_causal_15,RECO_base_16,RECO_causal_16,RECO_base_17,RECO_causal_17,RECO_base_18,RECO_causal_18,RECO_base_19,RECO_causal_19,RECO_base_20,RECO_causal_20
257,2002,10,CA-NS1,55.8792,-98.4839,ENF,FLUXNET,0.997984,18.43384,16.319857,34.53338,29.646664,29.627138,28.20842,29.256502,29.920477,26.896854,27.498869,30.544792,28.758184,29.774363,28.949219,30.05805,27.877768,32.89775,25.358866,28.832405,27.766605,30.845413,28.883095,36.633938,26.797707,27.44814,28.152792,29.486582,28.723734,27.240911,24.463089,28.184809,27.001135,30.810005,27.016989,30.19356,29.439518,31.10727,25.305456,28.280622,26.000671,29.238,29.911,30.903639
257,2003,4,CA-NS1,55.8792,-98.4839,ENF,FLUXNET,0.952083,22.82292,-0.01327377,22.01322,26.737354,30.474184,31.239517,29.469933,27.920387,25.80473,22.103878,24.82707,28.844282,34.30704,26.685347,25.455107,30.839321,33.105747,29.920706,29.17045,27.03014,29.025858,27.331825,31.321693,26.882486,25.579498,28.408936,27.008661,28.013231,27.488588,28.094233,28.223211,26.707424,27.479387,24.633894,23.206303,30.561031,26.372534,30.03938,32.8645,25.204372,27.907269,27.523924,30.817108
257,2003,5,CA-NS1,55.8792,-98.4839,ENF,FLUXNET,0.983871,134.34315,-76.55326,58.44337,56.216087,59.043957,58.846497,64.82322,59.006123,55.825245,62.607815,72.833694,58.068874,63.405396,50.30469,57.091747,57.149506,52.354565,60.41878,63.43645,59.841675,61.52529,68.97273,72.7337,62.96754,66.99988,57.964977,56.37288,48.027332,47.499836,64.96858,64.26907,72.49298,73.87206,49.127094,47.477192,54.913193,61.498615,55.20432,62.324345,56.453197,73.97886,67.71551,81.46665
257,2003,6,CA-NS1,55.8792,-98.4839,ENF,FLUXNET,0.954167,172.9641,-67.4832,106.2711,108.882416,109.36672,109.154495,108.7779,111.81612,113.15271,113.42202,121.83121,112.63606,114.26422,109.824814,115.087875,113.611465,109.40397,105.993546,111.68083,111.779854,117.46104,112.49646,114.541176,109.99867,111.71225,111.87926,111.1516,114.32603,112.37921,105.80837,111.802216,112.12735,119.128235,113.552956,111.67618,110.72803,113.809906,112.98228,115.22771,105.28503,110.94917,107.60123,116.93289
257,2003,7,CA-NS1,55.8792,-98.4839,ENF,FLUXNET,0.946909,167.62599,-41.64075,121.78257,123.40948,118.8946,117.57235,125.774376,121.1331,123.45823,128.38812,125.639725,122.14066,119.13475,121.5951,150.30069,119.84308,127.91104,128.15,135.72623,118.6953,119.07528,120.43306,127.7089,125.743355,123.35894,124.783005,115.625885,133.71536,133.5497,120.44345,121.97439,125.47341,115.1235,127.64672,135.61502,118.84334,131.76578,119.432434,130.32126,125.98447,120.12343,118.265015,129.09357
257,2003,8,CA-NS1,55.8792,-98.4839,ENF,FLUXNET,0.971102,129.52358,8.983862,133.60101,138.44334,135.04204,141.20279,141.11653,134.33492,143.3052,144.9663,136.80254,140.72685,138.52057,143.45789,128.09181,150.5994,141.95511,166.91696,165.79417,148.39711,148.93385,147.04512,153.10063,142.20044,143.48424,163.00888,148.07759,138.04466,138.52455,144.84406,137.93077,143.4071,144.65163,144.91992,144.10797,132.1486,128.68588,144.92593,151.13266,141.28061,142.34502,133.45482,151.31859
257,2003,9,CA-NS1,55.8792,-98.4839,ENF,FLUXNET,0.970139,100.7751,-14.68287,83.4405,79.97111,84.92169,78.00773,80.910225,81.14691,79.63634,78.61887,86.45671,77.43106,86.8299,83.08009,84.15094,81.05028,81.7374,78.088234,79.83374,84.81931,88.525116,81.033356,86.73873,82.69316,80.200806,87.45144,85.30252,82.98168,84.29216,84.28918,84.46117,82.923134,88.10343,84.95962,82.99022,74.833374,80.439156,80.31425,88.074554,81.20515,76.537636,80.15315,88.25757
257,2003,10,CA-NS1,55.8792,-98.4839,ENF,FLUXNET,0.99328,35.04891,4.094201,36.99354,41.026836,46.311897,38.590714,45.710823,37.236046,44.033806,37.021683,38.91961,38.39994,45.43311,44.806374,55.871437,41.993248,45.32444,39.334564,46.74465,41.52253,50.024902,38.27649,43.065517,36.87361,41.73373,39.478207,42.168545,42.164898,50.12805,42.633213,46.080257,36.859875,46.813606,35.727592,38.91727,41.979786,47.407566,39.508965,45.59001,43.818413,52.796158,37.568897,40.49377
257,2004,4,CA-NS1,55.8792,-98.4839,ENF,FLUXNET,0.990972,0.990198,31.4898,30.9633,23.85844,26.09667,19.276318,21.192951,16.59705,20.245537,18.870407,23.108295,20.165558,24.134682,21.054073,22.21532,20.95328,22.82515,21.74454,21.589577,21.287167,19.733257,20.146587,22.656866,21.462217,23.499044,18.565992,23.34754,21.673248,23.420765,20.547148,24.914572,20.972803,22.23464,19.486713,20.940588,22.629036,22.665623,21.441,22.653664,21.75273,22.93768,16.620264,24.096071
257,2004,5,CA-NS1,55.8792,-98.4839,ENF,FLUXNET,0.960349,50.74824,-15.584971,33.945,37.979042,38.70261,33.38537,32.37695,36.403526,38.140182,37.904984,36.83422,39.155746,45.239445,35.382313,34.086506,37.33199,37.40504,39.73692,38.272976,34.445217,35.597153,35.827686,39.648685,36.319023,37.92537,38.784885,37.177692,35.634766,39.494354,37.150574,39.37985,37.207348,36.190765,34.056847,34.999065,36.963734,39.488922,36.97252,36.930252,33.32145,38.0612,38.413498,43.60187
