siteID,year,month,site,lat,lon,type,source,NEE_qc,GPP,NEE,RECO,Air_temperature,Soil_temperature,VPD,SWC,Precipation,SOC_0,SOC_10,SOC_30,LAI,BS,PV,NPV,CI,RECO_base_01,RECO_causal_01,RECO_base_02,RECO_causal_02,RECO_base_03,RECO_causal_03,RECO_base_04,RECO_causal_04,RECO_base_05,RECO_causal_05,RECO_base_06,RECO_causal_06,RECO_base_07,RECO_causal_07,RECO_base_08,RECO_causal_08,RECO_base_09,RECO_causal_09,RECO_base_10,RECO_causal_10,RECO_base_11,RECO_causal_11,RECO_base_12,RECO_causal_12,RECO_base_13,RECO_causal_13,RECO_base_14,RECO_causal_14,RECO_base_15,RECO_causal_15,RECO_base_16,RECO_causal_16,RECO_base_17,RECO_causal_17,RECO_base_18,RECO_causal_18,RECO_base_19,RECO_causal_19,RECO_base_20,RECO_causal_20
252,2004,4,BE-Lon,50.5516,4.7462,CRO,FLUXNET,0.908333,22.97469,41.3358,63.3702,9.883,9.686,3.592,32.773,1.352,20,20,10,0.75,35.25531,46.905838,15.690512,0.74373335,72.46739,63.309452,60.224842,63.290775,65.84836,60.32348,56.90472,60.112797,64.98309,65.03407,59.042645,64.39654,63.161736,61.167355,69.1285,65.92931,63.518887,71.21034,63.171844,65.64059,66.107025,64.775696,62.13587,62.938072,63.31125,67.45253,62.28752,67.86001,67.360374,67.39817,67.055916,57.25862,62.637817,64.53954,70.457504,61.12208,58.104984,68.17276,60.550186,59.489548
252,2004,5,BE-Lon,50.5516,4.7462,CRO,FLUXNET,0.918683,63.18265,10.644191,79.12843,11.824,13.509,4.176,29.404,1.435,20,20,10,1.1,30.790823,65.30443,2.1340675,0.72793335,114.58523,101.44514,98.41659,104.08633,103.92335,92.07552,96.85873,103.8363,100.93301,98.07692,92.57279,86.18145,107.39148,106.683,91.03756,85.21574,87.734856,82.649315,93.09319,97.94953,86.10626,93.2428,119.07185,96.21347,89.25712,98.10419,87.86974,93.50702,96.05673,96.41599,95.39094,101.21449,106.454834,95.61213,133.09494,122.98554,96.34532,100.37053,106.42655,97.428535
252,2004,6,BE-Lon,50.5516,4.7462,CRO,FLUXNET,0.976389,354.873,-224.6217,131.877,15.247,16.443,3.902,28.001,2.247,20,20,10,3.75,23.675665,68.69901,6.739655,0.71080005,157.08842,168.55312,155.02768,158.69984,143.29648,150.8771,159.60966,160.03389,149.94525,150.29268,147.31862,149.49464,150.18771,162.50296,142.22562,136.38788,156.19275,161.26732,143.98099,139.29039,147.48026,146.5158,156.40648,158.81738,181.07408,175.45197,155.17758,164.98392,151.16525,152.83546,148.34975,144.24231,180.17822,199.46921,153.58028,171.79663,156.13698,159.40651,155.06105,167.00818
252,2004,7,BE-Lon,50.5516,4.7462,CRO,FLUXNET,0.973118,447.5904,-300.4675,146.57296,16.302,17.67,4.075,27.554,3.551,20,20,10,1.8,16.850168,71.44396,11.2280035,0.7212333,147.14844,152.47716,148.71619,151.69888,139.72374,142.37094,149.7662,156.88213,149.1218,147.64961,147.79637,143.3205,159.10916,157.07845,146.47504,148.23601,155.33595,161.17566,144.48059,134.62788,137.52571,152.81432,149.50473,151.8506,154.31877,148.61252,154.21985,159.87389,148.40154,146.28773,149.09436,147.9043,147.6203,152.51022,149.35759,153.59157,154.63516,151.19997,144.68301,148.2385
252,2004,8,BE-Lon,50.5516,4.7462,CRO,FLUXNET,0.953629,327.0407,-195.8983,131.13,17.837,18.355,4.042,27.259,4.101,20,20,10,1.2,16.623709,61.74904,20.121046,0.7428166,121.45498,116.63913,136.23735,148.60016,122.47371,116.73919,128.8314,130.91777,130.59395,133.01286,142.56325,150.01712,137.84488,142.85907,130.96802,129.91447,123.095436,121.57915,126.6294,122.4819,130.48604,135.05266,132.60083,126.23216,123.48917,123.19375,139.27078,135.61664,121.97644,122.341415,130.90498,134.24646,133.03659,129.25536,141.88321,144.61444,124.488594,123.9605,132.13618,117.46384
252,2004,9,BE-Lon,50.5516,4.7462,CRO,FLUXNET,0.984722,225.9453,-114.4836,110.775,14.987,15.084,3.693,26.63,1.706,20,20,10,1.1,23.124466,60.269714,14.572245,0.73141664,110.09964,121.41469,111.17894,114.41522,103.32634,111.841805,108.12768,118.08407,93.51962,103.10312,101.52389,115.8662,98.57135,97.539986,110.24396,110.94758,100.65922,108.70909,99.439095,105.82196,107.18326,114.90777,114.34827,117.21648,100.41884,117.024574,114.85286,120.40672,106.40118,114.68116,104.377686,102.00753,101.71858,127.35417,118.20106,111.92321,102.62325,111.07655,113.05684,111.83156
252,2004,10,BE-Lon,50.5516,4.7462,CRO,FLUXNET,0.971774,-1.498571,95.55037,94.15568,11.175,12.067,2.233,27.147,1.631,20,20,10,0.7,19.867214,55.136932,22.433388,0.7266833,81.161896,82.340004,82.186134,79.08451,75.535416,77.80509,85.262344,80.458176,74.62303,73.94313,77.10743,75.0618,68.87504,69.44956,73.44689,71.584496,73.01643,73.3095,72.12897,73.55649,77.242645,79.5188,73.816246,69.87901,68.288895,73.25816,80.06751,77.00096,79.81504,77.70156,79.26954,70.23634,75.939,76.067665,81.95828,72.49276,76.34919,72.11214,73.28453,72.82992
252,2004,11,BE-Lon,50.5516,4.7462,CRO,FLUXNET,0.909028,9.84852,35.6022,45.4506,5.613,7.251,0.76,28.15,0.999,20,20,10,1.2,22.562286,50.115356,24.339916,0.74861664,49.763172,51.333443,45.97812,51.845226,50.40333,53.53312,46.547573,52.67617,45.9536,48.90053,47.64312,60.38928,50.967026,57.592346,53.379436,54.236404,48.15961,52.907772,50.334095,60.531322,47.574913,50.07709,47.062572,51.805893,47.975315,53.842094,51.441036,56.118996,46.9812,54.24664,50.34175,52.484722,46.848953,54.536507,51.126575,55.917316,46.968662,54.320343,47.242317,51.976612
252,2004,12,BE-Lon,50.5516,4.7462,CRO,FLUXNET,0.860215,6.30106,21.592275,27.814967,1.49,3.376,0.468,28.576,1.909,20,20,10,1.15,20.772945,42.76276,32.65884,0.77913326,28.734901,30.412518,31.500921,29.775623,32.1417,33.237057,29.8768,30.62853,31.452257,30.611198,31.343714,30.798029,29.75364,33.608383,29.10683,28.27875,28.43707,31.457907,34.890285,37.139202,30.852232,29.911652,30.060848,34.1646,29.91797,30.844042,28.376863,30.332144,32.195328,33.234264,29.98346,28.271631,32.91021,31.596216,32.590874,28.6695,32.835888,35.890293,26.453184,28.73464
252,2005,1,BE-Lon,50.5516,4.7462,CRO,FLUXNET,0.987231,18.539674,17.085371,35.5322,3.863,4.924,1.154,29.177,2.231,20,20,10,1.05,28.424969,36.786057,31.344898,0.7861668,34.34533,34.632526,35.17886,31.876757,36.168156,34.83213,34.548134,33.587296,33.44312,33.714996,36.140392,35.476597,38.792286,32.682556,31.436155,28.96836,33.835945,34.081314,37.522327,37.880733,36.295067,31.946129,32.500843,30.034664,34.333694,33.263332,33.508232,32.574493,39.15212,35.83967,32.756294,30.14476,30.841892,36.614822,34.757565,32.993732,36.809135,35.142563,32.611816,31.95755
