siteID,year,month,site,lat,lon,type,source,NEE_qc,GPP,NEE,RECO,Air_temperature,Soil_temperature,VPD,SWC,Precipation,SOC_0,SOC_10,SOC_30,LAI,BS,PV,NPV,CI,RECO_base_01,RECO_causal_01,RECO_base_02,RECO_causal_02,RECO_base_03,RECO_causal_03,RECO_base_04,RECO_causal_04,RECO_base_05,RECO_causal_05,RECO_base_06,RECO_causal_06,RECO_base_07,RECO_causal_07,RECO_base_08,RECO_causal_08,RECO_base_09,RECO_causal_09,RECO_base_10,RECO_causal_10,RECO_base_11,RECO_causal_11,RECO_base_12,RECO_causal_12,RECO_base_13,RECO_causal_13,RECO_base_14,RECO_causal_14,RECO_base_15,RECO_causal_15,RECO_base_16,RECO_causal_16,RECO_base_17,RECO_causal_17,RECO_base_18,RECO_causal_18,RECO_base_19,RECO_causal_19,RECO_base_20,RECO_causal_20
240,2008,9,AU-Lox,-34.4704,140.6551,DBF,FLUXNET,0.940278,179.6817,-53.6433,125.1255,14.112,13.947,8.667,9.7,0.25,25,25,20,1.1,31.90819,37.469612,27.635704,0.74753326,118.50687,131.41547,133.16324,134.83049,120.85031,117.80833,132.24817,137.19487,129.8309,135.99712,114.58717,125.1668,116.76292,131.3898,117.25864,114.58262,125.809425,124.62348,138.7765,131.06537,120.36302,128.23878,127.74841,122.264465,114.20646,123.4809,119.90623,117.2781,125.43285,131.29486,116.06655,136.78317,131.40579,130.1785,121.85899,131.87517,138.16492,130.47382,110.90939,123.92622
240,2008,10,AU-Lox,-34.4704,140.6551,DBF,FLUXNET,0.926075,305.8398,-140.67645,164.84622,17.526,17.571,12.701,10.0,0.139,25,25,20,1.15,42.701862,18.18344,36.392853,0.7852833,143.48251,142.84743,148.43657,144.57152,153.2166,127.99591,156.04689,156.47997,147.93513,151.13258,144.20235,148.2256,155.4943,144.01123,137.77013,124.759544,129.0754,119.90499,145.12996,125.7629,153.14499,148.13347,154.79346,167.78741,122.11972,145.28918,137.23016,127.8769,154.59616,149.04988,163.48929,149.11502,159.99817,155.49762,154.36588,144.82762,164.96835,158.92755,158.04996,148.58183
240,2008,11,AU-Lox,-34.4704,140.6551,DBF,FLUXNET,0.965278,342.612,-174.7545,166.992,19.0,18.683,12.623,11.0,0.953,25,25,20,1.1,47.56173,12.832192,36.74492,0.86121666,155.65402,143.15773,169.56929,144.22926,161.11398,120.91614,162.11894,132.07379,168.89899,143.92874,156.51872,147.13742,158.99886,144.39322,163.51016,140.82855,137.94662,123.2793,149.3648,116.2155,145.60217,123.14371,170.14084,135.38174,156.86588,143.19974,168.38507,143.14424,143.072,127.25788,168.65804,149.10307,169.73882,154.32994,159.48004,142.00493,169.80943,159.25089,156.89119,127.39465
240,2008,12,AU-Lox,-34.4704,140.6551,DBF,FLUXNET,0.956989,386.3034,-176.45851,207.02637,20.338,19.879,12.507,11.2,1.013,25,25,20,1.05,51.36485,11.868698,33.778965,0.8481334,164.69162,149.85454,192.81082,165.46696,186.67749,150.5333,186.52057,188.682,193.2539,178.76106,173.1465,164.66434,184.12251,160.60393,179.68245,165.96619,144.27853,126.86145,198.2948,162.17857,186.31993,179.0061,185.8689,181.19545,179.05243,171.07257,189.94539,170.23,191.51035,190.2305,189.64166,165.3047,194.55463,177.78752,182.2197,171.37982,199.0785,178.02121,192.0989,177.09035
240,2009,1,AU-Lox,-34.4704,140.6551,DBF,FLUXNET,0.910618,381.6007,-169.46522,210.17039,24.051,22.068,21.718,10.9,0.003,25,25,20,1.15,52.772854,11.337579,32.741417,0.8606166,149.95227,156.40924,199.65213,183.5037,157.32037,144.68645,192.09738,181.92369,193.23564,186.53453,146.75783,161.88249,167.38834,160.18893,190.11853,177.86626,175.70126,171.74826,204.74876,168.42642,161.71243,157.42241,196.52234,191.56361,168.03358,177.46877,197.10309,182.64978,197.91508,184.42767,188.52579,174.02147,191.84344,188.55406,185.65288,175.64247,201.18976,196.66264,186.45001,172.14296
240,2009,2,AU-Lox,-34.4704,140.6551,DBF,FLUXNET,0.942708,280.7532,-134.0178,146.1348,23.34,23.052,18.752,8.9,0.0,25,25,20,1.0,50.86248,9.881367,36.364517,0.8793333,137.84474,143.9688,154.00908,150.13927,140.33243,142.42477,159.64986,151.6955,163.54486,159.43518,130.10085,151.62082,148.32358,154.07652,147.44907,158.19936,147.64717,146.33687,147.1319,144.89912,139.44495,137.53537,144.67192,159.59616,133.00009,148.69995,151.90808,142.62045,148.90372,156.77673,135.41315,154.1132,160.11176,155.5679,142.0524,160.29744,153.9186,167.85017,145.61662,145.52736
240,2009,3,AU-Lox,-34.4704,140.6551,DBF,FLUXNET,0.93414,208.79647,-120.68951,86.71785,20.215,20.034,13.235,7.2,0.106,25,25,20,0.9,48.797314,10.487883,37.716045,0.8763667,112.5492,117.96864,107.86599,108.27411,111.23914,126.17758,121.88098,110.506165,146.7334,134.71225,108.00548,130.00996,116.5007,121.70163,107.15471,109.14053,114.211555,102.931404,109.48567,122.631805,116.48355,110.2503,103.36625,103.97778,110.60568,118.74579,108.05316,127.79993,120.1598,113.533844,105.08195,125.79832,155.84592,140.80823,112.078926,125.98549,146.04558,149.71657,116.767876,107.54618
240,2009,4,AU-Lox,-34.4704,140.6551,DBF,FLUXNET,0.929861,83.7345,4.78587,87.7677,16.746,16.655,10.005,7.0,0.413,25,25,20,0.6,46.40659,9.428849,41.257324,0.8672333,97.57368,104.45779,93.21974,103.219475,100.92845,110.65674,100.41982,102.26192,102.75423,113.32489,95.97927,106.15559,100.42788,110.31884,89.97199,98.58621,96.13194,95.60262,88.77358,95.9949,98.40256,99.59643,96.457016,104.7464,98.59537,106.8197,94.83104,97.76004,94.87547,91.85752,96.05461,103.85417,133.54614,123.0769,92.69484,101.49882,140.36697,140.01515,103.00688,107.92157
240,2009,5,AU-Lox,-34.4704,140.6551,DBF,FLUXNET,0.926075,63.79025,-8.221231,57.06356,13.583,13.731,5.025,6.9,0.252,25,25,20,0.6,42.186028,13.318362,41.142475,0.8610667,80.88232,88.80183,66.605286,87.98953,77.74249,95.254684,76.22487,80.47166,84.88755,85.7966,72.40242,84.95859,70.21841,88.70382,71.03717,79.08032,78.82918,81.14975,67.89467,86.72328,72.419464,74.3213,71.296364,71.87505,71.98618,85.42563,68.3586,81.58389,75.57038,75.72218,76.96002,91.83828,88.640076,103.42206,80.80945,89.31525,88.64471,104.88744,74.48285,89.05329
264,2001,4,CA-Oas,53.6289,-106.1978,DBF,FLUXNET,0.990278,4.4379,35.7696,39.9885,3.565,0.715,4.307,26.672,0.833,90,55,15,0.6,18.727589,27.072842,51.43278,0.71545,46.539093,44.662964,41.719814,44.127014,43.4026,41.95569,43.63712,42.08919,48.22928,39.944992,42.531906,43.500492,44.740623,43.902893,44.57758,39.215008,42.921963,42.941864,43.69477,40.356686,42.42702,41.04093,42.149193,39.890175,43.468765,40.620052,42.38265,44.431126,43.79164,40.255745,43.05037,42.05309,44.270943,41.441692,44.94594,39.504414,41.75173,42.744087,42.32737,40.89278
264,2001,5,CA-Oas,53.6289,-106.1978,DBF,FLUXNET,0.955645,126.78535,-21.19625,105.17401,10.911,6.563,6.89,27.56,0.742,90,55,15,1.55,12.487876,46.098732,39.05244,0.66768336,123.405174,102.32739,117.93168,103.94275,108.533035,101.65165,113.425186,114.13708,121.20154,114.06443,108.88097,103.48166,122.1341,105.134026,116.19246,113.79831,122.317726,106.60477,113.817184,110.10749,111.62316,111.91111,116.33671,122.77142,126.24317,108.48077,111.89331,116.06828,119.864006,109.3042,118.31544,103.746124,108.46269,100.94062,120.81413,108.138535,106.81097,108.98467,116.390594,116.18494
264,2001,8,CA-Oas,53.6289,-106.1978,DBF,FLUXNET,0.958333,286.78596,-109.89128,176.55461,17.698,13.548,10.081,10.994,0.258,90,55,15,4.7,12.959988,82.70155,4.8778477,0.6509834,172.95084,178.89497,169.37059,179.15114,173.39636,178.61266,174.45192,184.71059,179.1598,178.21553,174.75444,179.71779,177.63129,190.76083,175.2364,190.03746,176.93613,183.00754,180.17732,175.11157,175.27367,187.97954,180.70076,181.42065,160.96889,188.3525,177.74228,180.40816,188.3618,185.99353,175.01639,171.18678,176.22223,194.14798,176.70772,184.6962,179.8409,190.50546,177.10916,181.04921
264,2001,9,CA-Oas,53.6289,-106.1978,DBF,FLUXNET,0.9875,127.212,-24.13779,103.3497,11.586,10.527,5.965,9.883,0.333,90,55,15,1.85,5.1763873,72.43037,21.217613,0.7804833,118.18451,112.28008,119.03797,117.41562,113.728195,116.30768,117.71664,122.37241,123.27432,143.01913,126.25938,124.99806,139.12201,123.68374,120.53548,125.75611,126.01995,125.227036,112.816666,124.59918,121.773224,116.00432,122.23583,119.01462,127.89945,123.98322,139.20384,139.19766,116.82804,121.21308,120.51534,123.77666,119.42247,118.63053,116.48263,115.95841,125.94074,116.9391,126.861244,118.94794
264,2001,10,CA-Oas,53.6289,-106.1978,DBF,FLUXNET,0.998656,2.2907915,44.34674,46.87355,1.512,5.018,2.871,11.271,0.355,90,55,15,0.5,13.710152,39.020954,43.72459,0.7040166,49.43034,51.66991,50.747986,49.67849,47.31244,50.73047,50.6988,52.582336,47.540447,49.99868,49.45199,50.967674,47.485825,51.503334,50.611557,48.76703,47.98427,49.92075,49.433945,50.488274,53.23534,50.498325,45.594326,47.910786,49.231636,49.846764,50.728313,49.06718,50.046104,49.460835,51.28032,54.06256,49.879463,48.64917,51.44907,48.777195,51.91454,51.362717,47.78127,52.28637
264,2002,5,CA-Oas,53.6289,-106.1978,DBF,FLUXNET,0.985215,9.45314,47.51401,56.44945,7.245,3.087,7.59,24.935,0.484,90,55,15,0.65,14.337498,31.703873,51.393112,0.66768336,65.37272,62.7419,61.910385,59.489254,58.16729,60.332405,60.4223,59.005226,61.131172,57.746292,63.385086,56.443714,63.5635,62.99131,58.971077,61.668785,58.5322,58.719383,58.428757,58.25868,55.294624,58.58228,69.98767,65.94496,61.97281,66.0952,62.61652,58.012066,62.314133,61.40004,61.60677,63.978466,57.08915,61.97522,64.13441,60.945538,60.27,59.68205,60.393963,58.49568
264,2002,7,CA-Oas,53.6289,-106.1978,DBF,FLUXNET,0.977151,273.74302,-108.08212,164.52847,17.901,13.024,9.741,11.248,1.484,90,55,15,5.35,12.136497,80.69674,7.132371,0.6015001,186.6762,178.33821,184.34143,192.08249,180.12938,177.67769,179.96649,190.49902,182.2617,190.41881,176.54471,187.85664,194.25787,199.45164,193.46596,205.50525,184.25272,195.74744,174.83508,176.6953,188.84724,186.8102,192.7944,186.92802,185.6781,194.35654,176.74931,181.39001,182.62958,188.70839,183.52826,188.80646,199.19066,203.90079,184.3803,190.28645,202.69896,204.28055,195.90257,207.41216
264,2002,8,CA-Oas,53.6289,-106.1978,DBF,FLUXNET,0.846102,244.32247,-78.16309,164.68471,15.079,12.222,6.58,13.22,1.935,90,55,15,4.65,12.748673,79.00627,8.03949,0.6509834,165.69102,163.48553,173.05002,175.06558,167.11118,164.01118,167.12686,169.62999,170.20538,174.12762,163.0954,167.37692,167.83452,169.04675,168.92493,172.04599,164.68208,169.36655,163.86668,164.24283,169.48718,166.92474,171.73184,172.59004,174.5796,172.53693,173.32578,179.61638,172.09486,176.42763,164.15584,162.23586,174.26979,182.98517,167.49706,166.11343,178.31049,169.80688,164.1651,171.94499
264,2002,9,CA-Oas,53.6289,-106.1978,DBF,FLUXNET,0.988194,160.3017,-18.87522,142.5711,8.992,9.943,4.001,14.303,1.66,90,55,15,4.15,12.502021,75.5059,11.105354,0.7804833,130.69785,126.50903,138.63884,135.79895,129.89905,115.52173,134.54117,142.5443,134.72523,140.39561,125.922775,132.68767,134.58751,135.72502,136.07257,143.04576,113.353546,109.94123,130.75966,122.526,130.75642,137.3273,132.8674,136.01038,135.74289,137.71924,139.49152,142.50085,136.3935,145.66481,132.00609,134.40755,138.7164,139.0892,138.59657,131.06041,138.73761,139.39577,125.49633,123.94584
264,2003,4,CA-Oas,53.6289,-106.1978,DBF,FLUXNET,0.990972,1.470906,38.8812,40.3026,2.662,0.227,3.808,25.55,0.6,90,55,15,0.6,21.764471,27.937817,47.809616,0.71545,45.365177,44.17479,43.33431,42.30308,41.108616,41.012764,43.01149,41.108643,43.474625,40.475548,43.1372,41.39686,43.290882,42.41624,40.756016,40.463497,42.35127,40.819916,41.233902,39.856197,42.232487,40.49735,43.822674,39.80241,43.130566,40.226532,42.863846,40.867474,43.5695,39.43669,43.88182,43.001102,44.482872,39.760445,44.01521,39.855854,42.473095,40.080772,40.581154,40.297123
264,2003,5,CA-Oas,53.6289,-106.1978,DBF,FLUXNET,0.983871,95.96949,20.861016,117.3598,11.124,5.914,7.69,25.211,0.935,90,55,15,1.1,12.210762,43.01719,41.853806,0.66768336,122.593475,100.012115,120.1143,101.44653,106.42535,97.89892,104.91201,110.223854,115.25868,104.542984,110.22219,106.306015,117.718155,108.427086,111.410446,114.34824,114.930336,104.11433,111.822174,105.37521,105.050415,111.08224,113.65564,114.37646,111.66513,104.74848,113.204124,117.91902,113.998375,105.615456,117.24713,99.29939,102.64827,103.18165,117.77013,100.7136,108.34249,110.085014,112.33239,109.53475
264,2003,7,CA-Oas,53.6289,-106.1978,DBF,FLUXNET,0.987903,264.43124,-85.70198,176.63304,17.852,12.706,8.797,11.018,1.032,90,55,15,4.7,12.122946,77.26931,10.229927,0.6015001,181.79144,172.90276,176.81776,176.06786,172.79477,173.95282,179.38829,182.08626,173.28496,177.00833,168.60088,173.57355,174.64392,181.24118,184.6032,190.73987,174.84772,179.31589,180.50674,177.76169,179.39395,179.48294,185.72015,187.19121,175.49025,183.89125,183.17088,179.52731,177.23431,185.48932,178.60608,178.11537,179.82234,193.90907,174.94243,178.15793,182.31938,181.36554,178.95268,183.42023
264,2003,8,CA-Oas,53.6289,-106.1978,DBF,FLUXNET,0.984543,204.76771,-46.53224,158.29747,19.202,14.413,10.892,11.124,1.935,90,55,15,4.5,11.108814,74.46376,13.858001,0.6509834,163.73256,163.57661,164.45839,173.18864,174.76549,173.62605,166.56067,168.20781,170.45084,175.77635,157.25586,162.96559,171.6491,189.52937,187.07692,191.9896,157.49939,167.13371,157.28484,158.97217,160.66519,160.4157,169.2568,177.50949,163.08167,177.5518,166.79555,165.11499,173.1415,190.21616,176.38402,183.34325,175.51802,175.02043,175.70155,177.45383,163.67334,170.17342,172.7053,172.44588
264,2003,10,CA-Oas,53.6289,-106.1978,DBF,FLUXNET,0.981855,6.142526,49.05409,55.16667,5.698,6.348,4.097,12.241,0.387,90,55,15,0.5,15.367961,37.423653,43.663574,0.7040166,62.40562,67.34027,59.057823,56.014404,57.57431,58.02357,59.840656,61.728207,57.604736,62.29694,63.2015,63.053963,62.558422,63.37333,59.639687,62.8353,56.860584,58.57305,61.79764,61.146378,59.134033,62.091866,63.316948,61.390583,63.724598,62.669086,60.578636,58.313374,61.652115,63.699455,64.31419,60.99868,57.998623,62.036148,60.33748,58.668823,58.283997,62.94837,58.06245,59.688683
264,2004,6,CA-Oas,53.6289,-106.1978,DBF,FLUXNET,0.954167,170.0178,-23.38884,145.8954,12.528,9.053,6.77,26.194,4.833,90,55,15,2.85,10.441205,61.764927,26.001669,0.61429995,144.86577,134.92638,137.89125,133.99765,141.54495,119.357445,141.02751,138.03737,147.87234,145.0005,133.72708,135.39772,148.01236,135.54097,146.63634,144.57729,147.44344,145.2961,145.85823,127.88689,144.93645,137.36044,149.20924,142.58919,147.90144,124.25263,146.12546,144.41653,147.27795,141.54652,148.40814,128.27274,142.79454,128.9017,139.89735,130.70665,143.33055,134.75221,140.19717,130.78296
264,2004,7,CA-Oas,53.6289,-106.1978,DBF,FLUXNET,0.938844,327.8157,-112.62114,213.39315,16.432,12.72,6.204,24.359,3.613,90,55,15,5.1,13.489164,81.33328,4.989165,0.6015001,209.2801,188.73566,212.41101,194.84122,210.64716,181.38435,210.25122,195.2159,205.84787,198.28242,205.14403,205.86934,217.2152,201.11722,207.55925,201.64856,214.49316,200.24225,205.58575,188.10448,211.8736,199.79631,215.6193,212.65999,209.05765,202.6315,222.30836,195.02568,210.15,200.82568,203.98094,170.82709,210.89853,202.82802,207.74838,197.04204,218.69443,201.62033,194.8588,185.88765
264,2004,9,CA-Oas,53.6289,-106.1978,DBF,FLUXNET,0.981944,98.2335,25.84497,123.0015,9.344,9.261,3.643,28.193,2.433,90,55,15,1.6,11.544769,70.94405,15.673494,0.7804833,113.402985,109.55927,126.08626,109.16208,121.532104,111.76257,116.03697,118.383,114.876274,116.73104,111.49525,118.548004,121.466255,112.64786,119.43142,120.27515,113.9592,115.27864,119.89127,107.75796,109.1192,109.0038,113.826294,99.42507,118.99501,115.52319,116.240524,114.25801,116.82822,113.49156,112.55813,105.76669,119.291374,108.13486,115.72187,109.10304,114.48142,111.01091,115.93201,112.55681
264,2004,11,CA-Oas,53.6289,-106.1978,DBF,FLUXNET,0.988889,-0.0883974,27.53871,27.39159,-2.847,0.339,1.598,24.309,0.233,90,55,15,0.3,31.050842,22.184359,42.31458,0.71266663,38.161156,37.69505,33.26291,34.795364,39.60414,39.93629,33.120895,33.092934,34.947342,32.061993,36.073574,31.979223,33.887962,33.055256,31.403439,32.49297,35.584026,32.70655,31.35016,32.30532,35.827324,36.980118,33.790543,32.82274,34.9513,33.986607,30.743992,35.846676,33.044693,30.106125,33.564228,35.328815,35.784763,33.351833,33.931114,33.68899,31.878874,32.5699,32.421333,31.872395
264,2005,4,CA-Oas,53.6289,-106.1978,DBF,FLUXNET,0.995139,5.44917,29.48898,34.7493,4.782,0.328,4.235,31.503,0.333,90,55,15,0.6,16.423374,31.067854,49.557663,0.71545,47.586037,45.735027,40.056877,46.65122,49.649025,48.546196,48.326305,45.6243,46.753033,50.26743,49.14087,47.006668,49.381718,49.602905,45.599777,47.426613,47.211662,46.72951,45.432716,45.328537,44.71105,48.017845,49.32576,46.369072,50.0943,46.002785,47.041996,49.999523,48.999275,46.387093,47.874256,48.846676,45.655857,49.851475,48.039013,48.47728,43.17605,44.10999,43.619667,41.881126
264,2005,5,CA-Oas,53.6289,-106.1978,DBF,FLUXNET,0.946909,59.55379,31.47213,91.13225,9.195,5.549,6.114,32.63,1.871,90,55,15,1.1,13.200602,34.196014,49.274864,0.66768336,97.4333,94.509895,95.81495,94.7152,87.19567,83.98786,92.273476,93.23167,94.46087,97.08801,91.250206,99.47221,99.871025,90.99409,94.84262,93.394196,88.47258,86.16116,95.273926,94.387184,88.41957,93.02058,94.26714,103.154686,90.21557,91.66155,99.64889,98.24109,94.37745,95.4311,97.58686,93.96306,92.5679,96.171036,95.55307,92.29864,98.983406,98.034386,91.92522,94.588036
264,2005,9,CA-Oas,53.6289,-106.1978,DBF,FLUXNET,0.990278,102.2913,25.41714,127.3893,10.418,9.876,4.541,30.402,4.033,90,55,15,1.05,9.258499,66.474106,21.773262,0.7804833,117.80555,115.76195,136.49681,112.41785,127.24279,106.12518,119.621346,123.79349,131.42528,128.88466,134.89642,129.28558,136.09053,120.664375,124.67609,125.87956,130.81621,124.05882,134.48396,120.883644,130.12949,128.42119,125.346176,134.32915,128.98683,120.61162,129.84236,123.22886,121.91364,122.75803,135.88664,110.981186,125.366486,115.67733,133.87546,124.04591,129.91864,124.91671,136.25764,129.8396
264,2005,10,CA-Oas,53.6289,-106.1978,DBF,FLUXNET,0.987231,2.2081734,57.76199,59.81264,4.247,4.945,2.726,34.375,1.032,90,55,15,0.5,17.59423,39.4212,38.938644,0.7040166,60.958973,63.64686,62.589405,64.3333,64.88109,61.15001,68.32168,65.61685,67.96702,69.52164,67.276405,64.612656,64.57728,65.65295,62.297607,65.54286,65.59593,68.19319,62.297802,62.463943,64.20936,68.764725,60.525772,60.74633,61.683083,65.316216,69.25683,63.783066,71.30997,72.03137,66.29523,65.64251,63.355427,63.944572,63.583828,63.449017,65.60775,63.617493,60.361904,61.196125
264,2006,4,CA-Oas,53.6289,-106.1978,DBF,FLUXNET,0.970833,4.8504,45.3843,49.9413,7.978,1.558,6.4,35.309,0.1,90,55,15,0.5,19.638226,30.553802,46.939346,0.71545,59.856445,62.14449,53.765644,60.69462,66.45104,58.071285,59.598095,53.671535,58.553436,64.16657,63.49795,56.874077,62.288475,63.088535,58.59733,63.35695,60.279903,59.142918,52.50245,56.10105,52.61673,56.841145,66.36318,63.56123,61.48385,61.69678,58.726562,62.812744,65.068794,58.645237,59.494144,62.60744,55.468864,65.29153,67.80513,64.31181,52.241146,56.812107,55.09082,59.759583
