siteID,year,month,site,lat,lon,type,source,NEE_qc,GPP,NEE,RECO,Air_temperature,Soil_temperature,VPD,SWC,Precipation,SOC_0,SOC_10,SOC_30,LAI,BS,PV,NPV,CI,RECO_base_01,RECO_causal_01,RECO_base_02,RECO_causal_02,RECO_base_03,RECO_causal_03,RECO_base_04,RECO_causal_04,RECO_base_05,RECO_causal_05,RECO_base_06,RECO_causal_06,RECO_base_07,RECO_causal_07,RECO_base_08,RECO_causal_08,RECO_base_09,RECO_causal_09,RECO_base_10,RECO_causal_10,RECO_base_11,RECO_causal_11,RECO_base_12,RECO_causal_12,RECO_base_13,RECO_causal_13,RECO_base_14,RECO_causal_14,RECO_base_15,RECO_causal_15,RECO_base_16,RECO_causal_16,RECO_base_17,RECO_causal_17,RECO_base_18,RECO_causal_18,RECO_base_19,RECO_causal_19,RECO_base_20,RECO_causal_20
227,2002,7,AT-Neu,47.1167,11.3175,GRA,FLUXNET,0.980511,411.0321,-13.032586,397.9997,17.052,16.589,5.335,40.564,4.455,65,55,30,5.05,11.473996,68.38649,17.789766,0.51675004,395.01147,377.92914,368.071,373.61636,397.0405,389.01767,357.89105,371.36154,344.7591,357.98016,379.83398,400.31415,389.55634,389.9946,395.69162,391.45218,393.3707,391.08945,370.5995,389.2252,382.84094,384.34564,395.012,396.57495,374.5871,348.501,386.91467,397.76526,398.0119,386.46793,384.7859,386.33417,396.93018,396.86182,355.24347,355.3072,357.6371,388.20996,359.97748,383.3777
227,2002,8,AT-Neu,47.1167,11.3175,GRA,FLUXNET,0.983199,277.50797,100.09373,377.6017,16.531,15.96,5.123,43.328,4.187,65,55,30,2.7,10.436307,63.935986,22.70492,0.5256,329.18686,294.15103,343.65054,330.45987,306.9426,293.67044,330.99542,315.45862,369.64423,338.70148,348.17136,340.95395,309.14,270.8395,363.59637,361.45715,361.78235,357.24545,353.34637,349.9871,346.0516,353.85535,324.43,286.11456,340.9177,318.5853,350.97217,338.99072,353.16605,330.10294,342.8732,311.44824,355.7394,335.47998,306.11508,273.84894,332.57648,335.1261,331.80524,344.0803
227,2002,9,AT-Neu,47.1167,11.3175,GRA,FLUXNET,0.986806,222.8085,3.61482,226.4232,10.755,12.845,3.05,40.756,3.018,65,55,30,4.75,11.7902565,61.68096,23.047016,0.53601664,261.7125,254.79987,260.2534,268.75253,271.3894,298.3629,267.22595,286.72537,251.36331,263.1154,290.0444,269.90738,273.02582,287.01,267.321,255.26645,256.24384,262.58365,271.25946,262.68518,249.68231,262.40463,271.60806,279.12567,269.6451,295.07608,260.56677,258.20425,267.35364,250.82854,273.80872,278.22733,306.8651,330.58484,271.3247,265.92255,249.69826,277.53564,270.13965,283.1644
227,2002,10,AT-Neu,47.1167,11.3175,GRA,FLUXNET,0.967742,59.35756,79.79772,139.15528,7.642,8.685,2.749,46.833,1.282,65,55,30,2.4,11.815108,58.44874,23.357388,0.5294833,155.44632,147.7131,180.9179,187.75993,158.82538,182.84691,207.4839,193.80923,175.34158,180.22842,192.75673,178.01816,173.1674,181.96356,176.13385,156.72542,159.20978,154.50426,186.46754,178.59154,176.29607,173.67004,211.85333,211.23589,181.11902,193.8412,188.51105,186.95999,177.9746,202.49661,190.96524,189.28102,178.18344,176.02713,183.6999,179.65204,201.40735,197.46782,180.68834,194.02736
227,2002,11,AT-Neu,47.1167,11.3175,GRA,FLUXNET,0.989583,27.60177,41.508,69.1098,5.046,4.538,1.721,49.598,4.357,65,55,30,0.75,14.3192,51.048954,27.189644,0.584,90.66309,83.212296,85.20092,87.84809,84.87914,87.27564,84.80668,77.25002,84.12209,89.70176,81.414314,78.35043,79.012054,77.44198,81.69447,75.09011,89.29391,88.678505,92.26969,86.083374,88.74145,82.83878,93.55144,78.860855,84.869026,79.332375,80.88145,78.49873,92.49711,84.83497,83.5416,73.99056,90.27604,88.92395,82.651665,83.51726,84.28754,84.25556,90.687805,92.37869
227,2003,5,AT-Neu,47.1167,11.3175,GRA,FLUXNET,0.988575,356.3016,-86.6326,269.66993,12.862,13.186,6.141,14.221,2.032,65,55,30,3.85,17.20465,52.051186,27.859495,0.54340005,296.11874,290.64694,328.91602,321.92407,297.74268,325.25983,323.25018,332.3736,308.54095,306.94067,311.07715,310.37415,297.5456,323.31042,365.34372,381.9763,295.9915,305.65723,302.58133,307.27832,307.21988,309.86557,360.84485,365.1028,357.9277,357.1798,316.3061,317.85245,312.5495,327.0685,312.6614,332.89996,376.87787,387.59976,311.50732,323.71835,315.01736,330.3893,309.71545,326.395
227,2003,6,AT-Neu,47.1167,11.3175,GRA,FLUXNET,0.920833,316.173,64.8456,381.018,18.273,19.153,8.018,25.876,3.553,65,55,30,4.35,13.569684,62.52409,21.8822,0.52218336,377.6922,389.8651,388.24393,398.4734,376.41846,401.41367,387.50488,420.43112,393.6657,384.8897,384.37842,386.97238,382.84268,426.98996,395.3657,386.49988,395.02054,390.9375,386.31332,391.41055,391.3096,397.10022,385.26337,415.1638,409.55545,388.4765,388.65213,401.13718,382.27988,390.55286,387.9816,386.52444,382.98666,408.10806,390.63498,425.2961,396.83737,451.89,412.32312,442.6391
227,2003,7,AT-Neu,47.1167,11.3175,GRA,FLUXNET,0.940188,449.2861,-14.150663,435.1346,16.669,17.531,6.701,24.824,5.323,65,55,30,3.65,11.472974,65.26848,20.72876,0.51675004,414.7374,429.09262,370.86627,386.68936,418.5868,425.035,392.3357,420.42383,410.8578,421.41528,373.81506,392.52228,383.48438,408.66367,409.48877,417.53473,417.7649,416.81204,410.1064,420.013,415.4155,420.26065,403.26028,427.1173,403.03284,398.3345,401.00354,426.52634,395.7917,397.17316,404.24576,406.6981,365.9517,396.50772,385.44333,388.2917,383.3401,423.4256,396.6947,408.32507
227,2003,8,AT-Neu,47.1167,11.3175,GRA,FLUXNET,0.837366,336.9328,26.653521,363.5866,18.765,19.561,9.614,11.525,2.473,65,55,30,3.9,10.193686,60.809135,26.101355,0.5256,351.6977,356.8077,355.3081,354.78564,352.11777,361.20264,345.7134,368.20242,355.59286,358.6947,351.36008,357.02606,352.4756,371.33688,361.7107,361.0077,355.4597,358.34338,321.4593,338.4335,355.87582,358.4695,348.5272,363.42566,364.08035,356.9651,353.56567,357.82748,357.68793,361.9156,325.22644,357.05157,363.1398,378.76694,358.94034,373.23895,352.5059,376.92224,351.38132,389.57233
227,2003,9,AT-Neu,47.1167,11.3175,GRA,FLUXNET,0.832639,179.1609,20.05344,199.2141,11.141,12.881,4.462,17.928,1.046,65,55,30,2.65,11.880052,56.936638,27.354767,0.53601664,245.30357,227.862,259.70975,246.69441,273.41095,273.98077,332.36383,284.4346,326.492,288.42377,317.28998,285.32532,258.0185,238.89635,277.04718,252.94495,264.44598,238.18263,255.67899,277.09543,261.25415,267.56183,266.9801,241.63911,295.20126,266.76028,259.1426,239.67192,316.65744,288.35782,273.99365,257.98346,308.8599,291.83688,309.00006,263.50357,273.71625,275.31854,317.06735,299.4354
