siteID,year,month,site,lat,lon,type,source,NEE_qc,GPP,NEE,RECO,Air_temperature,Soil_temperature,VPD,SWC,Precipation,SOC_0,SOC_10,SOC_30,LAI,BS,PV,NPV,CI,RECO_base_01,RECO_causal_01,RECO_base_02,RECO_causal_02,RECO_base_03,RECO_causal_03,RECO_base_04,RECO_causal_04,RECO_base_05,RECO_causal_05,RECO_base_06,RECO_causal_06,RECO_base_07,RECO_causal_07,RECO_base_08,RECO_causal_08,RECO_base_09,RECO_causal_09,RECO_base_10,RECO_causal_10,RECO_base_11,RECO_causal_11,RECO_base_12,RECO_causal_12,RECO_base_13,RECO_causal_13,RECO_base_14,RECO_causal_14,RECO_base_15,RECO_causal_15,RECO_base_16,RECO_causal_16,RECO_base_17,RECO_causal_17,RECO_base_18,RECO_causal_18,RECO_base_19,RECO_causal_19,RECO_base_20,RECO_causal_20
262,2002,10,CA-NS6,55.9167,-98.9644,SHR,FLUXNET,0.990591,6.061678,18.112618,24.309921,-1.819,0.111,1.469,34.234,0.189,280,160,155,0.3,12.075005,52.496628,30.364702,0.7057834,23.768105,24.605965,24.09935,23.135897,23.033688,23.51727,23.483788,25.175869,25.160791,24.912258,26.243717,25.130186,37.534767,38.153397,31.875275,36.40806,27.41417,24.407265,26.121775,25.279305,25.470211,24.334948,25.004253,24.87429,24.563494,24.573765,28.122164,27.308083,27.358255,26.784319,37.509727,35.345196,27.574255,27.728092,36.8363,37.90128,24.789257,24.293154,24.40422,25.513277
262,2002,11,CA-NS6,55.9167,-98.9644,SHR,FLUXNET,0.966667,-0.969342,10.53489,9.42633,-9.646,-3.207,0.504,11.317,0.034,280,160,155,0.4,2.5339434,27.027735,62.157406,0.719,8.689246,9.350086,16.69537,10.547031,12.173105,10.961663,11.391211,12.64551,14.485211,13.167535,11.898429,9.7992525,15.056449,15.697622,15.542404,14.528027,21.372828,16.832178,17.288479,14.895734,10.751805,9.750721,8.439159,8.936454,11.076609,10.239601,13.609641,12.296434,14.107663,12.22607,16.036106,15.008519,15.303784,15.255884,16.30839,13.85837,10.756428,9.52035,11.239386,10.45715
262,2003,4,CA-NS6,55.9167,-98.9644,SHR,FLUXNET,0.944444,6.32853,7.14684,12.94434,-0.664,-0.155,2.934,11.052,0.017,280,160,155,0.2,12.556635,34.031837,51.168945,0.6140667,13.334318,12.36651,13.34824,13.490507,14.341312,13.329307,18.33486,19.955153,14.446539,12.217694,14.111895,12.103353,13.631296,13.782057,14.213488,12.879186,18.854914,17.01065,18.672638,19.510021,13.426101,15.769094,12.985128,14.067958,13.246308,13.654907,15.858238,12.94301,18.32958,14.336594,17.277952,16.456373,16.805443,19.19292,17.482946,14.487656,18.253836,19.376902,14.756915,15.840911
262,2003,5,CA-NS6,55.9167,-98.9644,SHR,FLUXNET,0.972446,43.95831,-4.886251,37.36554,11.529,8.589,6.681,50.467,0.0,280,160,155,0.75,12.019608,42.367786,42.96157,0.58243334,41.145702,33.53355,39.53545,37.21643,36.268482,35.77711,41.983658,37.89771,35.608185,35.50919,37.361217,37.846653,38.62264,36.91869,36.74113,37.386436,42.22171,38.21162,39.16414,36.192554,39.091946,36.909126,37.818226,36.151157,37.89936,35.638626,38.26853,37.715244,40.90559,37.139214,38.006283,40.107178,35.52975,31.346262,37.79297,36.846115,41.35667,37.394814,36.919827,36.2865
262,2003,6,CA-NS6,55.9167,-98.9644,SHR,FLUXNET,0.957639,122.8143,-54.3318,66.5577,17.032,16.35,10.026,29.719,0.483,280,160,155,1.65,11.747325,62.60435,23.742977,0.57785,71.22582,70.84065,72.637276,69.310715,73.17112,69.38295,75.8264,75.90097,76.477135,71.065735,92.92431,90.33151,90.048965,90.76257,77.56386,68.90644,77.99709,77.763054,72.82595,72.67312,75.10044,67.44661,75.202225,71.1632,92.41843,88.17305,70.832275,69.53869,83.74471,73.42501,87.362976,90.71183,82.061584,74.2354,90.18368,88.983,76.22046,67.455894,69.219475,73.40353
262,2003,7,CA-NS6,55.9167,-98.9644,SHR,FLUXNET,0.952957,128.01946,-44.65519,81.50272,19.77,19.468,11.235,20.724,0.706,280,160,155,1.8,11.567114,68.3917,18.12702,0.5761834,82.319145,83.476776,83.63807,82.82075,87.01048,85.73268,87.99516,86.635025,82.492744,82.27256,89.7858,84.58585,86.67853,82.47563,113.75128,114.21174,86.94056,84.74158,88.524635,85.7982,85.422,81.30451,104.882484,101.32725,88.10666,85.69279,86.51717,86.238945,90.60439,88.607605,88.50548,88.324615,87.87514,84.334816,95.53193,89.32509,85.18204,81.9771,84.449486,85.38317
262,2003,8,CA-NS6,55.9167,-98.9644,SHR,FLUXNET,0.973118,99.34136,3.831569,102.83785,20.142,19.659,10.534,16.991,0.624,280,160,155,1.6,11.167487,67.909454,18.57641,0.6292,88.31344,90.00279,104.02269,101.55563,102.731186,98.568726,105.22242,93.29216,98.67096,90.60586,98.87391,100.42632,105.50165,101.22066,118.96762,115.48695,96.25646,94.04439,99.058334,97.7,98.155014,102.261604,102.94663,102.24568,100.280914,99.95852,99.299194,97.33922,94.99949,95.65921,91.40062,91.020645,94.3405,89.51988,95.31702,93.39546,97.93373,91.757286,102.04595,96.70381
262,2003,9,CA-NS6,55.9167,-98.9644,SHR,FLUXNET,0.977778,39.7305,15.91956,55.455,10.542,10.357,4.239,20.448,1.799,280,160,155,0.65,9.994755,60.21566,26.138828,0.6817833,58.1441,57.549667,67.16825,62.980568,56.202118,55.388245,57.582233,57.707245,57.784683,56.658226,58.869007,58.162987,57.144638,55.401714,59.961227,56.325047,60.476936,56.47323,56.979137,55.831932,56.294712,55.88847,59.440777,57.305496,59.121593,55.37397,58.999435,58.09957,62.734337,63.052677,57.09037,57.635536,60.6248,59.67498,55.9157,56.489532,62.435074,65.091324,57.203297,56.94404
262,2003,10,CA-NS6,55.9167,-98.9644,SHR,FLUXNET,0.980511,8.162703,21.711656,29.422627,2.848,2.661,1.784,26.435,0.592,280,160,155,0.3,12.999364,51.156586,30.963882,0.7057834,29.460852,29.314098,33.546444,30.530365,31.07123,34.81701,30.529171,29.540508,30.01128,28.722256,30.763638,28.886196,29.548655,29.849146,29.636518,28.538052,32.941277,33.063747,27.946892,26.808212,29.81672,28.527739,28.514257,28.215145,31.919558,28.303368,31.100048,30.468079,30.076454,30.002144,35.488125,31.334816,32.140896,32.441402,32.27212,31.976812,32.35918,28.96848,31.497862,31.969427
262,2004,4,CA-NS6,55.9167,-98.9644,SHR,FLUXNET,0.970139,1.287063,11.47026,12.67224,-1.952,0.333,2.634,9.38,0.187,280,160,155,0.25,10.412149,20.26924,63.987213,0.6140667,12.016096,10.751043,12.319959,11.558415,11.307075,11.868962,12.366119,13.563795,11.040344,10.445607,8.19643,8.9424305,12.144282,12.232651,13.021793,13.297626,17.61749,15.376808,14.921928,14.76046,11.131479,12.265762,11.401132,10.543698,11.172043,11.110862,12.795504,11.731389,14.88301,13.825431,15.333979,14.7521515,14.25268,15.152728,16.072718,14.070304,12.33719,12.279724,12.4958,12.244173
