"Air_temperature_base","Soil_temperature_base","VPD_base","SWC_base","Precipation_base","SOC_0_base","SOC_10_base","SOC_30_base","LAI_base","BS_base","PV_base","NPV_base","CI_base"
6.501134815,1.6865786745,1.892759415,-0.3916677372,-0.926947454,-2.043517575,-0.66659011032,-23.9993477,-5.3136628165,-1.719438965,-1.029425164,-1.39003686225,51.14940885
3.087193605,0.8140449953,1.2931248505,-0.1530603,-0.7757921382,-2.1037150975,-1.01651013485,-24.0611495,-2.319591955,-10.358160254,2.5244464675,2.2800157435,53.88022915
1.79993773785,-0.7897243368,-0.7549295845,-0.681326399,0.7506984811,-2.5611148275,-1.5357004137,-22.7639495,-0.944072898,-32.5423084,-0.915038992,-1.30154926075,31.45266145
-2.4852706975,-4.0034271215,-4.9989718025,-0.13727407165,0.485163911285,-2.9817262395,-2.091533454,-13.8443546,0.1047112874,-25.83154795,0.00895245614999999,-2.5261463975,-15.6432460075
2.152066922,-0.103280855,-6.574899555,1.1423618501,1.2973184328,-1.7276927895,-1.580306992588,-8.51778885,0.0861260225,-18.19720555,-1.3091175345,-1.3955681732735,-44.8066986
1.140200286,-1.97613763,-7.228529491,0.532892798,0.1261219293,-2.093462278435,-1.8312121962,-9.420120785,2.885841415,-19.550903825,-0.5065616435,-2.4067086815,-45.3456631
-1.5009608265,-4.0926864025,-0.5297143605,0.5062635645,0.67664417355,-2.874625519,-1.882374661,-13.684287355,3.934752805,-21.1781186,0.9751826262,-2.0756237825,-17.5323257515
-1.0943313085,-3.4379910665,5.27030782,-0.1176836585,-8.565735055,-2.8076065105,-1.61187175415,-25.55770155,-2.3873290255,-39.26430235,-1.164931992,-1.87076759245,33.05039435
-0.116834657865,-3.01351832025,6.26810386,0.0419868445,-5.52503381,-2.7739054703,-1.5440949369,-24.34701665,-3.453713707,-38.79876275,-0.5055563165,-1.563235501,30.19168535
1.670875544,-1.6210428245,6.671224155,-0.537106468,-5.594464045,-2.55026432475,-1.29443410335,-25.0715719,3.696462,-38.1442808,-0.2872791735,-1.49754004875,35.0300211
