Air_temperature_base,Soil_temperature_base,VPD_base,SWC_base,Precipation_base,SOC_0_base,SOC_10_base,SOC_30_base,LAI_base,BS_base,PV_base,NPV_base,CI_base
-12.070094,-9.344185,-1.3640552,1.4245744,-0.8343647,0.04508961,-0.3269727,-0.66364175,-7.2776184,1.133986,-3.876374,2.820776,-2.27925
-2.9202085,7.4836135,0.12634483,1.8018953,-1.4615362,1.1035062,0.27534792,-0.7775734,-1.2889408,-0.25185925,4.79848,9.4004,-3.8368802
8.939631,4.948442,-1.8535868,1.1793356,-1.4224232,1.6934663,1.43472,-0.59386426,21.626219,-3.51955,7.787922,1.0697349,6.746563
16.236235,7.2215996,0.26186964,1.4073893,-1.0558892,2.3411055,1.5914336,-0.47188428,10.530297,1.0357969,7.477321,1.735251,3.198792
21.142,7.376702,0.6215183,1.1587412,-0.11593828,1.37845,1.922743,-0.52464515,6.832894,0.7609273,3.0259726,0.05948081,-7.4082804
11.042958,8.438501,-0.667327,0.57439274,-1.2525618,2.0455918,1.9300331,-0.7782178,-0.5577482,-3.161123,-0.1893002,2.583676,-3.9212856
1.6924939,6.691495,-4.127344,0.83376724,-1.2167159,2.0391698,1.2750311,-1.0138953,-10.864693,-1.650704,-2.2194343,0.121179596,-2.6020029
-22.427776,-12.857423,-3.0728428,1.1017904,0.03784673,0.40530643,0.08857858,-0.4927344,6.5035267,-1.1443582,-3.120778,0.08226387,-2.2992363
-25.644394,-16.150116,-3.1814332,0.81872654,0.07005527,0.6444899,0.66013384,-0.40388104,3.107286,-1.066075,-4.1868668,-1.3823489,-8.382605
-22.455248,-15.648604,-2.2671719,0.90418625,0.19225252,0.6372372,0.5542963,-0.46356466,-0.31093296,0.39824855,-5.3679547,-0.02482871,-8.153892
-20.91932,-12.158788,-2.3616853,0.6792655,1.9458475,1.3849313,0.9850248,-0.33227167,-7.9198403,-1.1092206,-6.532977,-2.5966265,-7.438313
-17.41275,-9.456621,-1.9090455,0.3404439,-0.5232475,0.9638567,0.47651124,-0.33771136,-9.523841,-0.20736213,-5.515039,0.27262744,-1.5761173
-9.225801,6.0855627,-1.7515473,0.79244435,-0.41269165,0.37017313,0.34679493,-0.877686,0.60275304,1.0923702,5.7998667,6.565116,-5.636081
-4.9936523,6.2006855,-0.13186823,1.391336,2.2113035,1.437902,0.8628501,-0.52359486,8.507967,-1.246436,3.5943644,6.2232766,-2.7969792
19.711187,13.296272,2.5295174,-1.5578778,0.69340175,4.806199,3.8563027,-0.65739185,10.268798,-1.5668635,6.9238524,6.410062,10.3553705
22.816757,16.212002,1.3282833,-1.2410264,-0.63623923,4.568644,2.759748,-0.4226781,12.125826,0.8486484,10.626579,5.151876,5.249375
10.934552,5.5094104,0.52097166,-2.2744164,-1.1013573,1.8815031,2.6931784,-0.524242,6.621534,-0.4165882,8.024683,0.91500604,-8.104771
