Air_temperature_base,Soil_temperature_base,VPD_base,SWC_base,Precipation_base,SOC_0_base,SOC_10_base,SOC_30_base,LAI_base,BS_base,PV_base,NPV_base,CI_base
10.780015,0.15067743,7.6978064,-0.30919635,-5.3179526,-2.9241977,-2.1574018,-0.9059374,-2.7841158,9.011168,-6.6804495,1.7768475,2.7506845
29.138597,4.452807,11.874477,1.4502879,-6.89628,-1.2278358,-2.7356951,2.6724944,1.6864989,14.940111,-4.2670336,-6.208481,7.1344085
30.167253,1.7757721,12.990763,1.3119022,0.40855023,-0.8327154,-2.813981,1.716573,-0.556355,14.448283,-6.9994006,-9.639899,4.927798
40.843555,6.169995,14.307879,4.623253,1.5613517,-0.42405546,-2.9088948,2.1605213,0.6105481,16.425375,-4.8597775,-1.3955796,8.43644
42.01865,9.583392,6.988768,5.7011642,-5.8331413,-1.4201224,-3.4074252,0.7657904,1.9485627,12.975069,-6.344654,-0.02309651,4.3085756
39.173244,9.715731,5.8437138,2.282817,-6.3718,-1.4219333,-3.2583914,0.028119028,-6.1726356,11.230384,-7.5707626,-4.2245536,3.506448
24.197504,1.9483086,8.238472,-5.058061,-8.425635,-1.220486,-3.090596,0.12098473,-10.543943,10.661456,-8.750459,-10.762508,3.2708766
22.381805,3.4472163,7.0697756,-5.4496846,-7.189988,-2.2540727,-3.260679,-1.2117888,-14.750888,9.750556,-8.698195,-13.24664,1.6286534
9.816489,-0.097094595,5.7644315,-7.2419252,-6.6619844,-3.93553,-3.4791493,-2.3827417,-14.3129015,6.0040345,-8.527339,-13.440444,0.99986964
-26.493254,-9.618803,2.297013,1.0558655,-1.9885186,5.571491,6.7895584,-2.2153702,-17.377245,4.1030545,-8.673969,-13.813021,-0.63997185
-4.788862,-1.5164102,6.3520465,0.79455835,-2.5825965,12.091714,10.341426,-5.5066404,8.169395,0.34422356,-5.4580994,-8.790691,-1.8949807
21.37004,2.4856226,4.1612077,-2.5816028,-4.4979095,15.492101,9.157831,-8.259674,12.195492,3.270164,4.0115247,18.627817,-2.3306346
-6.5728,1.8997376,8.140979,-1.8913999,-2.7411332,11.148044,9.876956,-8.621342,4.416844,-8.979428,2.3225229,-3.107502,3.129163
-24.704714,0.6422933,-4.252312,-1.4993788,-3.0482185,6.5060387,9.542127,-1.4021225,-15.83283,0.14173174,-4.874372,-11.585941,-0.8428723
-17.497156,-5.677096,4.8036175,0.14096469,-2.9746597,6.9084888,9.006299,-3.0326886,-16.515045,0.18958029,-7.9074435,-13.409296,-1.5258557
20.248835,1.6326673,4.2692394,-4.602555,-0.5439087,14.764119,9.198473,-8.125222,18.58911,1.3005979,5.142281,13.908015,2.8695803
14.909067,2.7358913,5.576429,-5.3141046,0.8846903,15.7757845,10.302113,-7.9513655,11.959403,1.7462395,5.5106125,11.481041,-1.2436426
-19.650646,2.5493042,-1.8109446,-3.345266,0.5123522,11.582699,14.320817,-8.134117,12.99784,-0.388361,4.2711086,10.970307,4.5105505
-27.022886,-9.596015,-0.54563,1.2839949,-2.7780046,5.7330937,6.8690205,-1.8337586,-17.600729,4.5153933,-7.7158675,-12.834814,-0.6436747
-0.7922864,-0.5059692,6.5220814,0.2853514,-2.8888085,12.434054,8.730488,-4.1950784,-2.9535663,-0.29542714,-5.9135756,-8.913569,-1.642958
20.91712,2.9358678,5.090025,-3.6034803,-1.9355556,14.826406,9.914949,-7.4196215,11.983237,1.5524019,5.647885,9.365104,2.983823
22.574398,3.1619442,4.7542577,-4.9696956,0.5878881,15.116976,10.811573,-7.545568,11.933219,-3.2352421,5.0710144,4.3334627,-2.246329
-19.763227,0.48481485,-0.0035847563,-3.9742212,-3.6131666,6.762197,9.4602375,-2.3498368,-16.262402,1.4879919,-6.377577,-12.913844,-0.69966507
1.7875853,-1.917819,7.842137,0.49475694,5.1997533,13.9222355,8.324713,-6.382756,7.5762224,-1.9959934,3.4837892,-2.0951777,0.15258408
19.83247,3.120948,10.215251,0.29172754,6.120452,18.403584,10.372497,-7.966033,13.504897,3.4067352,4.490815,16.813692,4.004456
-21.097013,-1.7330985,-2.3561356,0.8911581,0.4453991,10.663315,14.41255,-7.3031354,9.335642,0.26862997,1.8376942,-2.473293,3.4425418
-28.644236,-10.732213,-7.9921603,0.4048413,-3.49484,5.8875613,7.3108463,-1.5989863,-16.642872,5.454074,-5.234069,-11.405602,-0.5377499
-24.277592,-9.517588,-0.85054696,1.5252559,-3.7322948,5.4819984,6.770082,-2.4184647,-16.995615,2.4767392,-6.272649,-13.199168,-0.6035701
-16.375198,-1.2432594,5.0286403,1.5084025,0.67983514,8.454908,11.179516,-3.550415,-2.2165747,0.20945595,-6.903141,-12.135905,-1.9586645
-12.842293,3.324613,8.054636,0.69528157,4.254078,11.103407,9.809415,-4.93706,-2.5940363,-2.908534,4.4880986,0.9540079,3.9751434
-23.584743,-0.19046295,-5.039604,1.2442142,-1.778498,5.836606,8.57274,-1.8358041,-14.949613,3.4577448,-4.6897407,-7.263663,-1.0434294
-17.903887,-8.191255,5.2039504,1.1918311,-4.748942,5.976999,8.085211,-2.9390652,-16.596727,3.7773252,-8.637743,-13.798612,-1.1956768
20.01147,3.5764227,6.988372,-0.46266145,-0.9339472,16.843235,11.9880705,-7.583732,12.377515,-2.4773798,5.9422164,6.315634,-0.84623224
-3.4092731,3.9382389,8.998897,-1.7695162,4.2078085,12.805591,8.389909,-5.160273,-12.769909,-2.8301184,5.487766,0.9518433,3.5621343
-25.321575,-0.09465054,-6.867479,1.5636268,-2.835815,6.314797,9.772343,-1.3890522,-15.288678,4.0329685,-5.0908613,-7.001974,-0.92136544
-26.230965,-10.243146,2.2719376,-1.225254,-3.8691368,5.8805885,7.0887594,-2.2406535,-16.64323,3.1959102,-8.264947,-13.993402,-0.5736691
-11.231062,-0.07855331,7.8978972,0.68364215,-0.23613498,10.935971,10.956455,-3.9844835,0.8193158,0.20360151,-4.4251122,-6.9159665,-1.7806104
34.411495,2.7405148,5.4227734,0.47456875,0.611766,14.613621,9.61138,-7.7759995,13.053173,3.5711489,4.633379,14.759879,3.6388884
8.907646,4.9128637,8.366658,0.24675618,4.3951993,17.089355,12.036321,-7.5172257,7.864822,2.0890574,5.373886,6.5352173,-0.3875202
-18.338295,1.3646001,-1.6547892,1.6445053,-1.358277,9.277704,10.298456,-4.669288,-13.589601,-3.0318885,4.144261,-1.497725,4.0303183
-30.090954,-10.670156,-8.395626,1.0505487,0.6360436,5.2598343,7.716916,-1.699021,-15.971579,3.728754,-5.8459578,-10.084938,-0.6520914
-29.780045,-10.419387,-0.7197763,-1.413424,-1.5215335,5.810404,6.545019,-2.1567268,-17.338026,4.266981,-7.7394414,-12.475268,-0.60912025
-15.978323,-0.7458575,4.9144993,1.3563683,-2.6494684,7.620863,9.329741,-2.738078,-15.347077,0.44832224,-7.59708,-12.802081,-1.8775269
21.680838,2.6184533,10.222521,0.70669204,5.758049,18.162218,10.369541,-8.081033,12.954101,2.474031,4.930282,13.77447,4.421724
20.211288,3.5585442,7.369794,-1.5471175,-0.9259769,15.604907,11.286228,-7.9646626,12.140459,0.9667211,6.095883,10.823138,-0.93550724
-19.13729,2.7235024,6.9812593,-2.3748248,-1.7867662,10.375036,12.489239,-7.0476933,8.132066,-7.8388066,5.5713553,-3.6143897,4.69236
-19.8902,0.73891425,0.4581718,-0.8246299,-1.3932037,7.186086,9.20657,-1.9437282,-12.647764,4.37579,-5.8737845,-7.689629,-0.64707357
-28.273527,-10.220455,-7.513088,0.546091,-3.4402921,5.5145264,8.009721,-1.6219451,-16.209192,3.8080375,-5.9972296,-12.170346,-0.6319288
15.538948,2.6308625,5.6129823,-5.1537013,0.12729079,15.56419,11.650881,-9.295527,7.2733517,-3.130626,3.54886,2.0689955,5.4176564
-27.28114,1.3391209,-8.090338,0.96764535,0.45586494,7.116762,9.938476,-1.4291202,-12.855085,-1.8086492,-3.25764,-5.396413,-1.009508
-29.046787,-10.365276,-9.176914,0.80204314,-3.4725494,5.9658346,7.2026043,-1.665231,-15.377627,6.1303215,-5.4339805,-6.1365614,-0.5427598
-17.787777,-1.0164006,7.023754,0.87036306,4.6314297,8.507822,10.703089,-3.1028073,-2.4761603,1.7549678,-5.6212296,-7.4074354,-1.6054587
23.273464,4.76693,9.902589,2.0392663,5.989482,17.363306,10.230994,-7.5282454,13.99569,5.846588,3.684254,19.740265,3.9115317
16.155212,3.7743,7.6894093,0.6521842,-0.6093564,17.85211,11.246064,-7.911507,11.933439,0.871856,6.6509295,11.937761,-0.48527238
-29.454447,-8.435824,-8.570354,-3.7965546,-2.0526922,1.3193839,-4.1740546,-6.030654,-14.428824,5.128824,-5.4258795,-13.545403,1.5919597
-27.012724,-10.19751,-8.245071,0.057041157,-1.9160683,3.01438,4.7206593,-2.1061392,-12.368215,-2.2854807,-3.4326823,-6.9346743,0.8896215
