Air_temperature_base,Soil_temperature_base,VPD_base,SWC_base,Precipation_base,SOC_0_base,SOC_10_base,SOC_30_base,LAI_base,BS_base,PV_base,NPV_base,CI_base
5.759318,0.24051803,-2.4695365,-3.796576,-7.56103,-3.196603,-1.1125529,-26.040178,-12.327088,0.7435698,-5.281932,-2.3345218,42.77925
0.9712628,-2.5983808,-3.0459874,-5.6049566,-3.7989326,-3.3164861,-1.2598412,-25.067839,-2.9213965,-2.4063737,1.4510918,2.341905,50.868893
-0.30836317,1.1276213,-4.02005,-4.183468,-1.6158924,-3.356764,-1.9003328,-25.457859,0.4569982,-29.851591,-2.6011167,0.3042613,31.202654
-5.96254,-3.3453276,-5.3766265,0.029805243,0.10930913,-2.6267421,-2.4868557,-13.427012,-0.3146573,-28.713959,-3.838079,-3.620531,-20.687168
1.8445945,1.9827108,-7.68467,2.5621672,0.042277806,-3.9213986,-2.9703732,-10.406214,1.4774058,-19.77345,-4.137501,-0.53320855,-42.773613
-0.8498329,-0.271856,-6.3929515,0.176065,0.43572903,-3.9730256,-2.5181785,-10.034379,3.483291,-20.317274,-0.802109,-2.9820318,-43.890125
-5.514861,-2.2243435,-0.5716652,0.89747536,0.922451,-2.9425569,-2.1915462,-14.591771,4.3837314,-21.63251,-0.8837527,-3.1116958,-18.445366
-3.3002832,-0.6641962,6.1056266,-2.587587,-12.283369,-2.1547604,-1.8267804,-27.453442,-8.235569,-35.90262,-4.775914,-2.5835779,30.007439
-2.4889312,0.053074345,6.872353,0.9401241,-1.9165452,-1.709491,-1.6049551,-25.201187,-10.184035,-35.60751,-2.978484,-1.9831306,28.89389
-0.37493402,2.354621,7.5629888,1.8594319,-2.3540757,-1.720094,-1.2361563,-26.774471,5.001524,-34.020416,-1.2056592,-1.871473,37.296402
9.286475,2.1039972,6.5338607,2.5548382,3.0074172,-2.4381387,-1.2237347,-25.678637,-7.817959,-32.90929,0.5496342,-0.78474736,35.939995
-23.19109,-10.488275,-25.349531,-1.7449847,3.114759,2.8332863,2.8404782,6.987611,11.022902,20.48188,5.2285743,1.9785472,-41.020035
