Air_temperature_base,Soil_temperature_base,VPD_base,SWC_base,Precipation_base,SOC_0_base,SOC_10_base,SOC_30_base,LAI_base,BS_base,PV_base,NPV_base,CI_base
-32.557133,-17.256887,-3.3261137,0.08736976,-2.2369392,2.7842515,1.9218965,-6.446065,-1.3490956,-1.9615053,-4.1881742,-2.3043108,1.3053433
-29.737223,-17.351282,-0.14759575,2.688091,-1.3636518,1.2800876,1.8196456,-6.55841,-1.4779444,0.1654273,-8.029406,-10.082817,0.35844213
19.38102,-5.705206,-1.4174176,0.39120704,-4.4659405,-5.365623,-0.7840442,-10.449132,0.38290942,-1.7442242,-8.798383,-15.423454,-4.9596405
39.02057,10.955998,-1.330676,-2.0980458,-1.6505232,-6.995818,-0.4362905,-9.353704,0.8004387,-2.4583585,-2.957898,-2.7004607,-7.0869007
33.176643,14.471012,-4.587952,0.51401097,0.019329358,-4.0704446,2.3215053,-12.670743,-2.5090601,-1.5514481,2.983976,7.3759665,-7.237394
32.54663,15.199393,-0.46258286,6.550361,-2.4198997,-5.8723617,-0.48141995,-9.024457,3.0407977,-1.4935884,1.5682976,0.5707716,3.5473833
8.160268,-6.395565,0.69170123,2.6516333,-0.2961806,-4.511189,1.5976849,-10.308114,-0.8253491,-4.589059,-3.288305,-1.4359404,3.3455112
-25.861538,-16.079905,-1.1742451,1.3720688,-3.5571008,2.3558407,2.685,-7.559209,-0.87270457,-0.1984455,-4.2258716,-2.403484,1.3724355
-29.951342,-15.3373,0.39125475,0.93248886,-2.4219832,1.8459148,2.1050563,-5.589311,-1.4498715,-2.723942,-7.8131056,-11.952458,0.64901775
-14.86095,-13.84165,2.4971814,1.8895519,-1.3459363,0.017630488,1.8545763,-8.131401,-0.6046726,-1.3439106,-7.373616,-12.045361,-3.9064083
17.238758,6.1401086,-0.77157414,-0.7133006,-1.1701105,-7.693294,-0.98017734,-10.471279,0.75272167,-2.5226986,-2.3549933,-14.351137,-5.488024
39.88965,12.25745,0.7049596,-0.20997474,-0.26321104,-5.1997604,0.353604,-10.451628,2.4684222,-1.9794416,-1.1887096,-0.53304005,-8.2303915
20.313389,6.3842673,1.031473,-2.599706,-2.237892,-9.386712,0.8281618,-16.405258,-0.6007617,2.2910643,8.93715,17.42051,6.383057
8.393861,-6.479794,1.6034126,-0.12837131,-1.7642779,-5.0018873,0.37458718,-10.89235,-0.91969246,-1.252487,-5.3676605,-1.8614258,3.0905042
-29.286793,-17.648922,-0.7487905,0.16710043,-1.4158996,2.7943668,1.6975561,-7.3306313,-1.1780297,0.5247076,-3.7513385,-1.6173875,0.57154715
-21.213778,-13.669503,3.2454705,-0.43918368,-1.0041134,1.2987086,1.8601717,-6.9859505,-1.7278864,-0.7501208,-9.47376,-11.644262,0.18079679
