Air_temperature_base,Soil_temperature_base,VPD_base,SWC_base,Precipation_base,SOC_0_base,SOC_10_base,SOC_30_base,LAI_base,BS_base,PV_base,NPV_base,CI_base
31.467878,20.157877,4.9279532,-2.5648522,7.627785,30.716068,7.903865,10.874993,80.94337,2.5179486,31.127066,21.844059,38.03608
29.958172,22.47099,4.4641566,-2.7330267,5.666593,29.682846,9.291252,10.993964,50.978035,-3.432833,33.075626,21.918972,41.19116
-14.197908,1.0856992,0.9598021,-2.9911127,2.4758737,21.059847,4.354164,7.6128106,65.7253,0.024067037,18.399126,16.3651,33.25749
-14.284322,-13.136364,-2.8667476,-7.0490284,0.29874393,14.259774,5.0996423,7.7456236,47.54672,1.4156643,2.745106,6.42706,30.39298
-18.504316,-16.186926,-0.48616263,-1.3678176,3.563326,7.632695,2.2378802,4.198419,-20.557034,1.2364671,-1.8981851,-0.6652947,19.668165
2.729967,3.9412885,0.4686115,6.829225,3.3794348,21.597874,9.839324,10.926889,91.85993,5.3486447,15.925632,-0.45133716,37.435173
28.141365,20.779875,-5.7482347,12.153627,5.7976723,33.52298,8.1524315,10.29896,77.752495,3.1112328,33.735832,22.103642,44.24676
32.982983,28.487759,-2.6005435,12.777201,6.9841495,34.228565,8.567859,13.749748,80.09959,1.2815272,40.040672,25.701216,43.590176
26.129852,16.5612,-4.264799,9.034761,2.0290637,31.563425,9.200472,9.408386,78.947845,-2.7783387,28.393297,10.8000345,43.589775
-5.080413,4.277124,2.5238492,8.770545,0.27277762,20.305288,6.2379303,9.185094,67.46369,1.3398632,10.199822,0.27982172,35.714027
-21.28444,-31.09657,-1.6600475,-3.5590649,1.4709438,7.614046,4.6190577,5.2929997,29.610456,-4.6123223,4.3528748,-4.3251233,12.129236
10.300594,10.060885,5.4105015,-0.24877086,6.3932004,23.690334,9.493259,11.296419,65.70383,1.2401459,15.508433,0.06903039,49.36355
28.822672,23.818092,6.8151765,-4.2539363,4.0389075,33.85599,9.147916,10.603836,81.6957,3.264823,34.686127,23.151474,41.064568
30.452314,20.474644,-3.6315324,10.611205,2.404474,35.681126,8.776535,11.289633,81.5593,1.8158814,30.439095,24.04999,43.135696
-12.429208,11.824314,2.8111877,0.97816443,3.3362699,23.314539,5.5820603,8.455103,66.39694,1.3246403,23.688286,17.41565,33.403862
-18.468807,3.4973369,0.76986885,-4.3109293,3.6908343,13.867418,5.5879593,7.3634443,28.109451,1.0365456,10.682297,12.00576,33.036514
-1.6890359,5.8412924,6.779088,0.1291021,3.5382278,19.397282,9.066655,11.02811,84.36823,4.128778,29.722546,3.6783166,42.040344
11.772736,8.668433,-0.94106287,14.39248,2.0458746,32.62279,8.581773,9.388473,77.388664,2.0313215,26.539606,13.469036,47.287224
29.72104,20.136623,3.9804595,-4.2327976,3.9237428,29.227268,8.552016,10.090886,69.18198,0.7480816,28.436335,18.417803,36.61465
5.113,10.879768,3.0182765,-4.393549,5.109072,29.742502,8.593058,7.8214397,60.929577,-0.6161093,27.869936,20.68441,43.054214
-3.9962888,10.902314,2.4638083,-1.3850071,3.8288307,26.02105,7.130816,7.189117,65.503204,-0.8585093,24.27264,15.490188,35.597168
-14.855323,-15.07143,-3.0738811,-6.165272,1.5224441,14.284093,5.013372,6.884417,46.239002,2.029655,2.9873493,6.351713,30.465397
-24.99776,-19.74627,-0.8832774,-1.0886921,0.74881375,8.509351,2.2344117,4.3426895,-20.61138,2.3747826,-0.99665487,15.833048,20.967236
25.666018,16.91272,-2.5312335,7.085859,2.1576202,31.963036,7.8627944,11.842191,75.39285,2.117494,20.46332,13.709929,49.659306
30.408298,20.19059,-6.071553,10.744912,-0.018682318,32.305992,8.091012,9.790289,81.67586,0.76698315,35.275143,23.733057,37.20708
8.015473,16.396652,2.678621,-3.2927861,3.5397248,31.657198,8.324012,10.032078,66.48748,-0.4113212,26.400276,16.708817,44.732906
7.841249,8.868801,4.8685527,11.945756,2.3460345,28.749271,7.505209,10.29332,80.05878,1.6750127,20.543142,13.396216,38.012
-10.858438,-7.7328568,1.0419114,5.450905,2.6036708,16.353172,5.7479777,9.089342,57.71989,2.4711814,7.7609606,7.1308155,37.580547
