Air_temperature_base,Soil_temperature_base,VPD_base,SWC_base,Precipation_base,SOC_0_base,SOC_10_base,SOC_30_base,LAI_base,BS_base,PV_base,NPV_base,CI_base
10.229359,9.948717,-1.8168808,0.45430318,-3.1171584,-3.797563,-4.113507,-1.2687447,4.266882,0.30392367,-4.513247,-4.996169,-10.8247175
-25.770763,-24.01978,-2.6289618,-0.57246906,-1.0641711,-1.6198752,-1.9677339,-1.0422671,-8.690919,0.33729917,-2.4314468,-3.59592,-4.0115094
-21.46376,-22.228338,-1.0381066,-0.18081594,-1.0626246,-1.3985386,-1.5144167,-1.0247431,-7.4019,1.6312077,-3.7340608,-2.5396929,-1.3595792
16.130136,15.433931,3.106631,0.54631597,-0.21205185,-2.9940886,-3.2147815,-0.15635037,5.230526,2.7125876,-2.3900127,-0.3562145,-9.1706085
-26.674675,-25.54107,-1.5195746,-0.71520424,2.556787,-1.5981658,-2.243392,-1.4239706,-7.8773575,0.72923005,-2.1629572,-0.8910239,-4.1639657
5.93186,9.196345,-0.11295469,-1.275712,0.3843147,-2.2860026,-1.5348614,0.27464506,4.541675,3.6298769,-2.3613718,-1.399045,-8.131506
-18.216501,-8.756809,-1.6802676,-0.22009882,-0.41507715,-1.6266257,-1.6920079,-0.11896966,-8.22201,-0.15837708,-3.7203894,-0.78237975,-3.9677308
-26.056078,-24.267447,-2.5672739,-0.40569183,-1.3693551,-1.6241729,-2.0382288,-1.0566132,-9.179283,0.37558496,-2.8595636,-3.1536326,-3.7937112
-27.175058,-26.954834,-0.40974447,-0.69708276,-0.92236614,-1.6661988,-2.1006608,-1.0472705,-8.288465,-0.552459,-6.8506107,-3.2591903,-4.0523596
26.290522,15.592902,4.745231,9.41632,-1.4835564,-2.5989616,-4.025366,-0.55843955,7.915038,4.3659215,18.930567,7.5061564,-1.2026389
-26.785603,-24.927383,-2.482892,-0.3841971,-0.82896876,-1.6323656,-1.7615573,-0.7658408,-7.9172435,0.24518223,-2.9867818,-3.7106864,-4.0238094
28.500242,16.716873,4.07365,8.820957,-1.1079615,-2.2121692,-2.4559386,-0.5940171,12.869383,-1.941236,27.611685,9.899279,1.0786401
21.426752,14.430616,-1.0285889,4.529784,-0.57769966,-2.1280594,-1.8037721,-0.37231657,10.980941,-1.244221,19.42375,9.586097,0.38344353
11.2410965,12.888291,-3.3430011,2.9938145,-1.0050995,-2.4042783,-3.882648,-1.1530739,5.259135,2.3772378,14.042391,7.8668904,-9.328254
-25.314531,-23.068583,-1.9878163,-0.07074502,-1.3293481,-1.504944,-1.5795635,-0.6956046,-8.29089,0.7104038,-2.8436887,-3.9585364,-3.6575482
-20.967607,-12.768369,1.1269274,0.61741036,-1.2054713,-1.5209913,-1.6864097,-0.7659878,-6.233949,1.7009561,-3.9106574,-3.243841,-1.1292841
26.99139,7.1792607,0.21888861,-3.0237854,-1.0543944,-3.0190969,-2.7958152,-0.93369025,9.766073,-3.5661528,13.542049,5.139781,-0.8808539
6.1187634,8.634702,-1.2132351,2.2723782,0.9788009,-1.3798245,-1.6701876,0.76776415,-0.74364865,0.66455495,-3.3959997,-1.8812041,-7.733367
-27.862516,-25.08206,-2.7420526,-0.5426843,-0.7895836,-1.5856383,-1.8603742,-0.7019091,-8.624518,0.7814872,-2.9911811,-1.1877892,-3.8247037
8.317493,10.101218,-1.2495248,-0.923494,0.38696733,-2.3276956,-3.0754344,0.114494585,6.225052,0.052384548,-4.042064,-1.7248214,-8.26233
-12.530543,-6.275211,-2.7146318,1.8784564,-1.4412378,-1.2015425,-1.8234506,-0.71510273,-7.5734863,3.9958594,-4.1709943,-3.5118327,-3.6187644
-24.751106,-24.98822,-2.5762286,0.06372516,-0.9363286,-1.4385732,-1.900645,-1.0701789,-8.408599,-0.21995059,-7.2089915,-4.063743,-3.302353
11.910864,-4.354434,-1.516011,0.84489006,-2.4327312,-1.982582,-3.9517403,-0.26712567,-0.0121894255,1.1938963,-4.515273,-1.8400438,-0.9676426
16.559616,7.93738,3.8092942,-1.6616553,0.25550857,-1.625584,-3.7450585,0.3333511,-1.0628748,2.6801763,-4.083871,-1.7264543,-8.503431
31.080997,13.607477,-2.9983528,4.8990374,-1.9898384,-2.660853,-2.8092911,-0.5186173,4.0740314,-3.534436,19.188692,2.0519307,-2.094476
14.18162,8.080518,3.4012444,-0.6916477,-2.5244055,-3.123591,-3.788731,-1.0734626,3.415992,0.72010446,-4.3328695,-3.0184083,-10.193121
-10.908799,-6.0571733,-2.3537643,0.9022298,-1.2702483,-1.2545835,-2.1054878,-0.6432532,-6.4087725,1.6040325,-3.73008,-2.8253305,-3.7939441
-26.973421,-25.427122,-2.9831495,-0.4528444,1.008379,-1.5370213,-2.0580642,-0.7667471,-8.465183,0.35495472,-2.7618325,-1.1215856,-4.2441497
25.23053,14.125839,0.05966837,0.99843276,-0.3187344,1.6807624,0.6476543,-0.5200834,-11.111738,-3.3913445,-9.878441,-0.56522334,2.9769309
25.751684,14.286165,-0.16077341,0.6928184,-0.62403166,1.8374275,0.5102547,-0.663616,-11.005833,-3.8288074,-10.498943,-3.722691,1.1107662
23.325024,13.417228,-0.49563646,1.1729596,6.6405473,1.6012584,0.2564247,-0.91065454,-12.90442,-4.6472545,-10.195122,-4.4449496,-4.951371
19.56466,10.971933,-1.4350183,-3.3267124,5.033071,1.3538147,0.32459858,-1.1506598,-15.301269,-5.085637,-13.273651,-5.965395,-9.472229
7.8013406,6.7019033,0.87228775,-3.3599653,-1.6324788,1.9802742,1.4617357,-0.75337666,-12.284565,-5.823126,-15.308611,-4.396059,-9.955559
6.028825,0.3394921,0.07151287,0.6791489,5.8309193,2.1886485,1.2582358,-0.045079827,-12.681978,-2.2883651,-9.8785925,-1.3792344,-4.9329185
-4.1468687,2.5093935,-1.3493456,1.4783107,4.6871142,4.584687,1.884354,0.13138871,-8.682282,-2.1327577,-9.91848,-2.290374,-3.8185081
5.3145895,9.266379,-1.6780986,-0.80625206,4.027807,2.1993272,1.5145367,-0.9799554,-11.962703,-2.024402,-17.306795,-4.170869,-6.229486
