Air_temperature_base,Soil_temperature_base,VPD_base,SWC_base,Precipation_base,SOC_0_base,SOC_10_base,SOC_30_base,LAI_base,BS_base,PV_base,NPV_base,CI_base
5.292383,2.1046607,1.62465,2.1510212,11.250933,0.65169364,0.3629514,0.075834565,11.215357,1.3750826,14.353704,1.056269,4.734709
3.3991544,1.8756213,4.1508427,2.1941302,9.153014,0.46674776,0.11839644,-0.38083142,9.781258,0.17731857,12.613556,6.1008573,3.755818
4.2683897,2.4554152,4.2042446,2.2661064,9.816845,0.79962856,-0.21139786,0.06465086,11.006195,1.1824191,27.981928,9.90183,4.957607
-0.9373468,2.5566273,-0.840463,1.0532426,8.71697,1.1509627,-0.18066864,-0.4731856,2.028623,1.510016,24.237547,9.625953,5.098321
3.6414423,2.4167604,3.5593987,1.6047504,10.469689,0.70206624,-0.34124428,-0.0055558607,12.146479,0.9291969,28.319607,8.726058,1.4119803
0.5927789,0.7785384,0.5648266,1.439163,-4.826077,-0.021957032,-0.98327404,0.044351712,13.97072,-1.103992,16.62426,1.5674646,-0.021335464
1.1829951,0.409438,1.1929893,2.0126102,-7.9474263,0.70550954,-0.4027365,-0.069682516,3.2185807,0.10041053,-2.5713115,-4.566413,-3.2601593
0.46496218,0.49783817,0.070508786,3.977389,-7.0358458,0.30985478,-0.17549753,-0.07302947,-4.5018463,1.1969169,-14.424322,-4.6673055,-3.9799414
0.43048185,0.6412355,0.046528667,4.0799437,-6.928969,0.32480335,-0.064789176,-0.051648792,-4.317352,1.727261,-13.7258215,-4.7641215,-1.8722471
0.43623132,0.4635856,-0.75832087,4.8440943,-6.973239,0.28492883,-0.08405501,-0.064389095,-3.784597,1.2253096,-14.057912,-5.7941093,-3.9555163
3.2954648,1.6499194,0.32820964,4.1571426,-7.1942053,0.59030807,-0.12609418,-0.03186904,-2.9469645,0.6621915,-12.942979,-4.549884,-2.0654976
3.8865502,1.16133,-0.39055252,5.254813,0.49056092,0.6678684,-0.1205881,0.033777624,-0.15472928,0.9904459,-12.902197,-5.116024,4.2246323
2.767468,1.1092983,0.4821618,5.761526,12.446216,0.15090019,0.20188147,0.04396555,-0.4340953,1.5825671,-9.519635,-5.2255616,5.1000614
0.12038569,2.6354563,-0.19445953,2.2375243,9.479023,1.0408808,-0.19324939,-0.46911576,-2.1578667,1.5406185,23.680382,10.802571,4.8783727
5.688427,1.17994,1.0609435,2.1737118,5.516355,-0.11917948,-0.020945689,0.02592773,9.37785,1.3961191,28.512743,9.348266,1.3636061
