Air_temperature_base,Soil_temperature_base,VPD_base,SWC_base,Precipation_base,SOC_0_base,SOC_10_base,SOC_30_base,LAI_base,BS_base,PV_base,NPV_base,CI_base
-7.7728944,-7.360957,-1.4383757,-1.2125533,-2.9961047,1.4015385,0.3612634,0.08754516,-5.195897,3.3093216,1.5675933,4.6495237,-0.18636304
-5.132593,-6.22478,-1.0706316,-0.28036082,-3.7064397,1.8162385,0.5713287,0.5131835,-5.4775867,3.557121,-7.6077986,-7.5861454,-0.49075475
-5.349683,-6.264096,-1.2691319,-0.38140422,-4.1064205,1.9003993,0.65436286,0.5567721,-6.255962,3.6066954,-8.033222,-7.5312634,-0.433698
-0.71393794,-3.0338447,1.6101084,-1.4092408,-3.0263305,2.3114736,0.5333424,0.72841257,-3.4619148,3.7676394,-3.3127286,-4.130532,0.21706592
-5.760913,-0.58085364,0.9250158,-3.4860778,-3.349966,0.7425242,-0.23819384,-0.040832162,10.698304,3.1989772,12.7019005,10.570802,-0.41100168
2.4283762,4.2322464,1.9809476,-1.971169,-1.1382109,0.4462285,0.4784191,0.24028246,16.113863,3.8048387,24.574331,16.462826,-0.5271979
2.685936,4.187432,2.1343703,-0.20810235,-1.534852,0.42781466,0.4466446,0.21857268,16.868948,4.210224,24.848522,17.12469,-0.7065175
-6.468505,-5.9898806,-2.3384433,-1.5514754,1.0804558,1.7917894,0.40807185,0.10708444,-3.9781349,2.7623856,14.204731,10.477741,0.02224317
-4.327717,-7.6498623,-1.5437607,-1.0461719,-0.51936495,2.2781131,0.3444239,-0.023096915,-5.046594,3.0563018,-3.463673,1.8899142,-0.9569233
-4.930305,-6.082214,-1.143085,-0.43488702,-3.0475883,2.0180433,0.5626841,0.5599804,-6.267528,3.7614005,-10.012816,-8.024833,-0.5986866
-3.5225291,-5.9868054,-1.2501514,-1.3972962,-0.9245193,2.0861852,0.7226585,0.4019278,-4.45621,3.4813564,-7.6349945,-8.789836,-0.14425512
-3.8043005,-3.733806,2.0842032,-3.430761,1.0851618,2.2677808,0.9353346,0.5623923,11.310045,3.7265959,-6.053355,-3.326368,-0.020138307
2.4362373,0.36994115,2.1318014,-3.0401752,1.1741391,0.37805444,0.4501192,0.22029692,15.376605,4.4630613,25.059908,16.886833,-0.5955463
-6.1710463,1.6750284,-2.5969293,-2.900417,-1.778852,0.5820689,0.75151527,0.26023513,13.770143,4.2980385,23.282194,18.122028,-0.44713748
-5.3955956,-5.784895,-1.9306713,-1.3730665,0.5925806,1.9931487,0.4806122,0.18158607,-3.5019355,3.5455072,15.768801,12.38238,-0.17992628
-8.303583,-9.217969,-2.0677547,-1.1655248,-0.46645325,2.1020646,0.3233794,-0.00014701486,-5.2910643,0.58639336,-4.315342,10.515089,-0.8341812
-4.857779,-5.944199,-0.8801936,-0.87553686,-2.7296305,2.0055146,0.70026445,0.49351504,-6.0339236,3.6634197,-9.985051,-7.8291306,-0.7639567
-3.5780702,-6.0669546,-1.2248989,-0.90107125,-2.1122503,2.0195477,0.6979449,0.43861526,-5.507463,3.9121165,-9.698675,-8.51281,-0.62097186
