Air_temperature_causal,Soil_temperature_causal,VPD_causal,SWC_causal,Precipation_causal,SOC_0_causal,SOC_10_causal,SOC_30_causal,LAI_causal,BS_causal,PV_causal,NPV_causal,CI_causal
-7.7809544,-7.8278236,-0.44752944,0.9304812,-0.047159135,0.0,0.0,-0.050760157,-7.7264767,0.008053391,-4.625887,4.909237,-1.4829879
-2.9498348,5.691207,-0.05994907,1.5292138,0.019851299,0.0,0.0,-0.85829026,-6.227847,0.30378,8.805453,4.5315113,-0.904248
6.51789,6.4751577,-1.6356407,1.7306976,0.03052036,0.0,0.0,-0.21543431,27.078169,-2.2755936e-05,9.423321,-1.7575979,6.857067
12.446924,8.9822645,0.66755605,1.4332151,-0.06816297,0.0,0.0,-0.2135877,17.164728,-0.017532518,7.7814713,-2.377827,4.042562
15.96214,9.330831,1.2962745,1.997782,0.074563935,0.0,0.0,-0.119966686,5.632574,-0.017532518,5.638986,2.6618545,-5.807924
10.990948,9.341005,0.23702438,0.8820097,-0.015104746,0.0,0.0,-0.73733914,-2.329932,0.0032200562,2.4864063,-0.35535872,0.53279567
-2.0076635,6.0057898,-1.0425855,0.79521936,-0.0327405,0.0,0.0,-0.73636013,-15.293755,-0.03989281,0.22588545,-0.07882008,1.9686142
-16.714907,-10.98728,0.109007455,0.78726864,0.06533896,0.0,0.0,-0.062263962,4.866572,0.05352184,-0.9264538,0.7747237,-4.075838
-18.638685,-14.8649025,0.17509973,0.48021132,-0.0025173365,0.0,0.0,-0.06498282,0.9247527,-0.046686076,-5.5433474,-0.11149943,-10.628317
-16.431192,-13.456436,0.059714608,0.57754356,-0.0025173365,0.0,0.0,-0.06498282,-1.3861895,0.044767495,-5.326263,0.14978516,-11.883343
-14.017845,-12.2453375,0.25688148,0.5728264,0.015141308,0.0,0.0,-0.10464609,-10.479854,0.008053391,-7.1554327,-0.9935281,-10.68057
-10.221429,-8.695122,0.29342446,0.43869838,0.05052118,0.0,0.0,-0.07346095,-10.394555,0.008053391,-6.237972,0.77821577,-1.1312202
-9.717595,8.526584,0.5256108,1.1061801,-0.041291468,0.0,0.0,-0.08417125,-0.8394303,0.30378,3.581017,3.8755012,-4.89178
-1.3263853,8.859507,0.3438204,1.3617436,1.2665151,0.0,0.0,-0.19928993,14.487366,0.010222907,8.032625,4.8572507,0.68804574
11.512854,12.170456,0.5408926,-3.3028758,0.47374234,0.0,0.0,-0.2135877,18.11955,-2.2755936e-05,9.40343,5.7479615,10.17968
14.56124,12.081258,0.6841224,-0.6713467,-0.1669226,0.0,0.0,-0.2135877,18.194483,-0.017532518,10.980349,1.1784773,5.0370693
10.950427,7.3337917,-0.15513803,-1.1248242,-0.015104748,0.0,0.0,-0.119966686,2.892763,-0.017532518,7.3840585,-1.5365387,-7.86675
9.60623,7.6833982,0.0034433454,-4.994403,-0.19215718,0.0,0.0,-0.88212013,-12.799591,-0.006555501,9.304082,-1.5270665,3.1786768
-3.2732441,4.189737,-1.0830375,-2.030326,0.03939247,0.0,0.0,-1.0030712,-12.534407,0.0021287138,1.2660545,-0.04302682,0.9382194
-13.908059,-10.431315,0.0115597695,0.72895706,-0.008385006,0.0,0.0,-0.1170878,-5.6050243,0.015001509,2.4313927,4.629335,-4.6203766
-14.090236,-12.572621,0.43814027,0.5867189,-0.017335124,0.0,0.0,-0.06938484,-10.633067,-0.024657615,-5.6922283,-0.725522,-9.380645
-16.295948,-14.258297,0.24258512,0.4851998,0.059471294,0.0,0.0,-0.0819453,-5.2621293,0.008053391,-5.847101,-0.8016224,-10.018689
-14.064746,-13.38716,0.43560505,0.35755938,-0.017335124,0.0,0.0,-0.10464609,-10.777201,0.008053391,-7.3109384,-0.89466405,-10.628222
-11.839631,-12.019483,0.26223406,0.31769872,-0.017335124,0.0,0.0,-0.07346095,-10.56215,0.0150015075,-7.837855,-2.0006714,-0.7449292
-11.165291,-9.122353,-0.2730646,0.96162,0.16178603,0.0,0.0,-0.0381997,-9.005349,0.008053391,-5.26549,1.1886913,-1.2085153
-0.9533057,6.6209593,-0.9735639,1.6784755,0.037409052,0.0,0.0,-0.7262803,-8.987021,0.0032200562,8.483074,-0.44368953,-1.2249795
11.311312,11.0821705,0.5610854,1.5203828,0.5592836,0.0,0.0,-0.2135877,21.475138,-2.2755936e-05,8.79719,4.992128,9.042741
24.429209,12.093849,-0.8950996,1.2150539,-0.16446547,0.0,0.0,-0.2135877,20.737698,-0.017532518,6.81237,-2.1104116,4.0617437
11.640476,9.195862,0.98114264,3.1842127,0.074563935,0.0,0.0,-0.119966686,4.814341,-0.017532518,4.864178,2.4479654,-5.603961
11.308824,8.597082,-0.06606932,1.4593382,-0.024430424,0.0,0.0,-0.61540914,-17.473803,-0.006555501,8.106881,-1.9883692,2.7850697
5.3916326,7.1682396,-0.83554673,0.99590564,0.10659909,0.0,0.0,-0.88212013,-15.788778,-0.006555501,2.193663,0.17842734,0.80418664
-13.477899,-10.267779,0.057340264,0.96873254,-0.058872387,0.0,0.0,-0.05054104,7.9627094,-0.03793173,1.845255,5.61797,-9.117066
-18.371002,-13.045821,0.057835683,1.010363,-0.058872387,0.0,0.0,-0.0056674555,10.664668,0.050731465,-5.1871276,-0.082975574,-14.515123
-14.394097,-9.503203,0.21905541,1.0145313,-0.008385006,0.0,0.0,-0.08048281,-6.015013,0.015001509,-2.067839,0.36518756,-9.741461
-11.993331,-8.643449,0.25141284,1.1455569,-0.017335124,0.0,0.0,-0.06792238,-10.085481,-0.024657615,-4.5631547,-0.68946177,-9.5839205
-14.538182,-10.293471,-0.14215691,0.99886847,-0.0025173365,0.0,0.0,-0.032335214,2.3689811,0.051715612,-2.0348458,0.8527114,-1.1064031
-1.103122,9.090936,0.0074999407,2.47125,0.92824066,0.0,0.0,-0.063223004,21.907675,0.010222907,-0.26427966,1.9730456,-8.471082
10.146111,11.428201,0.8631538,2.2085893,-0.101134785,0.0,0.0,-0.21352836,37.568974,0.010222907,6.6640797,6.78735,4.7420087
12.637626,12.226018,-0.2550236,2.2704105,-0.1669226,0.0,0.0,-0.2135877,19.267176,-0.0113851195,12.805189,5.9558053,8.697382
12.832845,8.986423,0.5235763,2.456909,-0.077253915,0.0,0.0,-0.2135877,16.346558,-0.017532518,6.9528375,2.457412,4.185729
13.356053,8.534295,-0.27292663,2.3049524,0.07456394,0.0,0.0,-0.12301661,-8.295552,-0.018670034,7.293385,-0.24491009,-1.0750844
-1.7035156,6.3989015,-1.1573255,1.5045418,0.0061266273,0.0,0.0,-0.87106127,-12.759542,-0.006555501,5.4378614,-0.3987881,-0.13930044
-10.898528,0.0014773943,-0.2024733,1.3434651,-0.035423465,0.0,0.0,-0.3643478,-11.9044,0.015001509,3.7156253,1.9714295,2.485389
-12.978886,-10.336906,0.22252288,0.81639236,-0.017335124,0.0,0.0,-0.10306488,-9.65046,-0.017709495,-0.32291844,1.2441392,-1.2521193
-15.441659,-13.869122,0.040225685,0.82629496,0.013823006,0.0,0.0,-0.100244075,-1.0234576,0.044767495,-6.5630074,-0.8164024,-10.809912
-11.622142,-9.251145,0.28824577,1.1411731,0.024091426,0.0,0.0,-0.10586238,-6.261901,0.008053391,-6.7467995,-1.0275192,-9.267978
-11.545937,-11.622165,0.08479072,1.121545,0.015141308,0.0,0.0,-0.09330192,-10.731695,0.0150015075,-7.5338182,-1.577414,-9.488969
-12.5560465,-10.463133,-0.30256426,0.9784241,0.015141308,0.0,0.0,-0.036737226,-10.902692,-0.024657615,-4.548023,-1.9429189,-1.7209982
-10.553865,-8.69095,-0.40703303,0.8657938,-0.024951125,0.0,0.0,-0.08444019,-4.731806,0.015001509,-1.6251314,0.31186634,-1.4537196
12.151978,8.015644,-2.5399582,1.2938296,-0.3378732,0.0,0.0,-0.21034878,11.296209,0.010222907,0.6560368,2.3099992,-3.0521593
9.721283,7.8918667,0.7119211,1.4811183,0.21036404,0.0,0.0,-0.21543431,29.256767,-2.2755936e-05,10.58237,5.475833,5.803881
15.621739,10.915821,0.47085992,2.7518601,-0.06816297,0.0,0.0,-0.2135877,22.0485,-0.017532518,5.3943367,-3.119896,4.2393374
16.436466,10.268329,0.49280846,3.164878,-0.35159785,0.0,0.0,-0.07428186,15.626047,-0.017532518,5.0243683,1.0160894,-6.4663334
10.097734,7.1799307,-0.28994417,1.3603846,-0.3796618,0.0,0.0,-0.21034878,17.523277,0.013710502,-0.18716767,-0.5308868,0.33156568
-4.3300633,-3.6091423,-1.1202124,1.2825391,0.070674896,0.0,0.0,-0.85388947,-6.5998793,0.051715612,1.9471687,1.0953561,1.9260758
-15.780766,-13.117941,0.30095592,1.1049445,0.013823006,0.0,0.0,-0.10586238,-2.9386048,0.008053391,-6.538001,-0.829596,-9.701429
-16.610415,-13.968926,0.14692049,0.6973991,0.013823006,0.0,0.0,-0.100244075,-0.1318348,0.051715612,-7.891542,-0.85985845,-11.340145
-13.097966,-11.772692,0.40996855,1.2581846,0.015141308,0.0,0.0,-0.09330192,-10.305005,-0.017709497,-7.3229184,-0.34134287,-10.305851
-10.556041,-9.381208,-0.252284,1.0059904,0.015141308,0.0,0.0,-0.062116772,-8.201262,0.0150015075,-7.0394044,-1.0958518,-2.3341756
2.1625051,10.744738,0.012615174,2.4249198,-0.20081837,0.0,0.0,-0.09567785,33.952103,0.013710502,0.890831,0.40637848,-8.064381
10.512396,11.238065,0.49936473,2.0798485,-0.063979894,0.0,0.0,-0.21352836,33.48221,0.010222907,8.954942,5.7827992,3.989604
9.423342,7.959914,0.627823,1.440917,0.21036404,0.0,0.0,-0.21543431,28.713991,-2.2755936e-05,9.755056,5.908054,5.7062144
30.679361,14.8258705,0.7370484,1.0532668,-0.077253915,0.0,0.0,-0.2135877,21.450123,-0.017532518,10.650435,0.8595971,6.6356735
21.769175,10.818609,-0.21037713,-7.0169964,0.20279059,0.0,0.0,-0.10989088,-7.464552,0.0032200562,2.425298,1.2272965,-3.2695308
14.637758,8.4685135,0.099301025,-0.5653757,0.02573815,0.0,0.0,-0.88212013,-13.42951,-0.006555501,1.1835921,0.3732148,1.8408518
-5.0046353,-0.69971955,-0.43495882,0.95575863,-0.14975019,0.0,0.0,-0.22285949,11.887523,0.05352184,-0.35707247,2.2740047,0.95978457
-0.5325186,-8.836479,-0.2156112,1.0203238,0.07694301,0.0,0.0,-0.3872266,-7.9752555,0.015001509,1.1408612,2.9260712,-4.5107713
-14.259198,-11.836879,0.051457703,1.117443,-0.017335124,0.0,0.0,-0.09330192,-10.539143,-0.017709497,-7.554599,-0.3305573,-10.694011
-10.209377,-9.3147545,-0.35508132,0.9338649,0.05052118,0.0,0.0,-0.07346095,-11.061296,0.0150015075,-7.2932377,-2.0650544,-1.7105596
-1.826413,-10.012758,0.230679,1.3089105,0.22945544,0.0,0.0,-0.22534196,-3.353957,0.051715612,0.1845859,2.745961,-5.8195844
-1.3835753,4.2231297,-0.20086971,0.64401597,0.21578227,0.0,0.0,-1.0030712,-16.14286,0.0021287138,5.8943,2.1514053,1.2873147
8.943577,9.025507,-2.982836,-0.88227916,0.01879523,0.0,0.0,-0.21543431,25.155891,-2.2755936e-05,7.7748566,4.1342726,7.3436465
13.340446,10.766822,-1.1277324,-5.159323,-0.071379766,0.0,0.0,-0.21543431,25.112684,-0.017532518,6.2139835,-1.2099092,2.0236888
17.512222,8.738708,0.43734387,1.2040955,0.074563935,0.0,0.0,-0.119966686,3.4423103,-0.017532518,5.04758,-0.18798803,-5.8716235
11.55434,6.83939,-0.8718861,1.2751533,-0.015104746,0.0,0.0,-0.87771934,-11.588568,-0.006555501,1.8264364,1.5051869,0.9108446
-1.5983636,-0.7430635,-1.0633765,1.6751018,0.10659909,0.0,0.0,-0.99867046,-12.659138,0.015001509,0.21239376,1.8349434,2.4186957
-12.423044,-9.450623,0.11024254,0.8456126,-0.017335124,0.0,0.0,-0.10306488,-10.206109,-0.017709495,1.0545082,0.91123384,-2.0631168
-12.503556,-11.912443,0.35216612,1.2089754,0.015141308,0.0,0.0,-0.09330192,-10.726022,0.008053391,-6.9226213,-1.496141,-9.386878
-11.618599,-11.608066,0.13496423,1.1918867,0.05052118,0.0,0.0,-0.09330192,-10.75759,0.0150015075,-7.413314,-1.5902286,-9.668096
-9.012315,-9.49985,-0.33056417,0.84481496,0.05052118,0.0,0.0,-0.07346095,-11.482558,0.008053391,-6.5821166,1.3286787,-1.0598772
10.917606,10.027213,0.038094178,2.944969,0.7211547,0.0,0.0,-0.09785141,31.155634,0.013710502,1.49088,1.2592733,-10.26462
10.957439,9.574671,0.16264224,1.9869888,0.7903367,0.0,0.0,-0.21034878,31.333496,0.010222907,4.0343003,6.218677,2.2195997
9.920502,7.700433,0.54351854,-1.5159906,0.01879523,0.0,0.0,-0.21543431,25.319046,-2.2755936e-05,8.382083,2.7388594,6.044693
13.317885,9.208524,0.60364294,-0.93397224,0.46001765,0.0,0.0,-0.2135877,14.625695,-0.017532518,7.742006,-1.5515543,4.634124
20.702505,9.737519,0.43095845,1.6407682,-0.19215718,0.0,0.0,-0.12301661,-17.138437,-0.006555501,6.7217526,0.045781784,0.5223958
14.11416,9.13613,0.11094378,0.79886615,-0.024430424,0.0,0.0,-0.61540914,-17.85009,-0.006555501,3.9654996,-1.1950518,3.7743497
-0.89626217,6.047669,-1.0263917,1.2398285,0.10659909,0.0,0.0,-1.0030712,-13.877251,0.0021287138,2.297313,0.64226556,0.7024233
-8.358615,-10.857277,0.04043831,0.75460255,0.06533896,0.0,0.0,-0.10985641,-0.26256642,0.051715612,0.26659855,2.9715495,-4.3793745
-18.050316,-15.037802,0.033922523,1.0849489,0.013823006,0.0,0.0,-0.016751759,4.08603,0.05352184,-2.5381563,-0.3001858,-13.295816
-14.776837,-12.630997,0.075281285,0.9289172,-0.0025173365,0.0,0.0,-0.08048281,-3.261028,-0.024657615,-4.997061,-0.01716,-10.663566
-5.5049524,-9.234596,-0.45092934,0.771838,0.05052118,0.0,0.0,-0.036737226,-12.364246,0.008053391,-5.0647416,0.7506911,-2.373006
-9.096437,-8.462383,-0.57352537,0.9369977,-0.056109257,0.0,0.0,-0.0381997,-12.978654,0.015001509,-1.5276585,3.961532,-2.8035574
11.262251,5.5211706,-0.1427036,0.70429903,-0.0013800748,0.0,0.0,-0.87771934,-13.312258,-0.006555501,8.330385,1.3027674,-0.5617665
9.631247,6.9639106,-1.1041241,2.140876,-0.15783165,0.0,0.0,-0.2135877,16.645477,-2.2755936e-05,4.623547,-1.8973389,5.866223
17.736422,8.869184,0.2173152,1.8655952,0.13151887,0.0,0.0,-0.74057806,-6.15492,-0.02453537,11.475955,1.0364277,5.9169292
39.58397,18.047232,0.85234207,3.2411766,1.231559,0.0,0.0,-0.07428186,29.784988,-0.017532518,7.9461365,8.88042,0.82613665
12.445353,9.028318,-0.018466335,3.0505989,0.20279059,0.0,0.0,-0.3877387,6.5054045,0.010222907,1.2114756,-0.3661703,0.2541257
-0.91200864,-0.7402663,-1.0945868,1.654114,0.017428111,0.0,0.0,-0.99867046,-12.494223,-0.0010393145,2.0401502,1.857428,1.8488722
-8.177796,-9.959638,0.22774991,1.0618784,0.059471294,0.0,0.0,-0.11562532,-5.654963,0.015001509,4.1316876,5.5257716,-4.671091
-15.750053,-11.603709,0.11838521,1.0315185,0.013823006,0.0,0.0,-0.10839394,-0.38512227,-0.03973796,-1.117312,0.058249716,-11.148313
-14.655248,-11.7812195,0.12494764,0.8796561,0.05052118,0.0,0.0,-0.10306488,-10.125547,-0.017709495,-0.22190616,0.29959404,-10.170428
-15.165248,-13.958715,0.35365623,1.1377155,0.05052118,0.0,0.0,-0.06792238,-10.280637,-0.024657615,-5.294363,-1.5207145,-10.38757
-11.928541,-12.107015,-0.26487875,1.0405397,0.05052118,0.0,0.0,-0.062116772,-10.511771,0.0150015075,-7.4041986,-1.861287,-0.8666073
-5.895197,-9.979405,-0.02305296,1.0317303,0.17660385,0.0,0.0,-0.03379769,0.056277,0.044767495,-4.6482115,0.13622057,-2.125415
-1.3430814,7.333617,-0.02029571,2.0337605,0.0061266255,0.0,0.0,-0.40164098,4.3702993,0.013710502,3.9436038,1.4858315,-0.87068576
9.283817,8.818998,-1.4057949,1.6987344,0.01879523,0.0,0.0,-0.21543431,29.429785,-2.2755936e-05,8.994151,5.1284986,7.5209208
19.515959,13.369169,1.1034732,1.0243142,0.01879523,0.0,0.0,-0.21543431,32.295444,-0.017532518,11.031097,3.5320702,3.484531
15.520864,9.424497,1.0928216,1.693504,0.02573815,0.0,0.0,-0.12301661,-11.463874,-0.006555501,6.3079433,0.76722836,-0.36575666
5.266273,8.28722,-0.6248422,0.94854444,-0.01583773,0.0,0.0,-0.88212013,-15.000953,-0.006555501,2.7161613,0.1979417,0.95619977
-4.852734,7.2953234,0.027968347,2.3021898,-0.11846776,0.0,0.0,-0.22285949,15.943327,0.30558622,-0.34042734,0.06908638,-0.8642095
-17.547106,-12.388028,0.05448073,0.75279737,-0.04253204,0.0,0.0,-0.05054104,9.470564,-0.03793173,4.718703,1.7826003,-10.406941
-16.034212,-10.484492,0.45427883,0.87158686,0.013823006,0.0,0.0,-0.11562532,-3.4064221,0.015001509,-0.95775056,0.3747919,-9.910129
-14.263433,-9.605523,0.5323158,1.2041421,0.024091426,0.0,0.0,-0.08048281,-5.265514,-0.024657615,-4.8721633,-1.2001259,-9.514024
-12.16272,-8.653468,0.4734097,1.1963251,0.015141308,0.0,0.0,-0.06792238,-10.127216,-0.024657615,-4.6799827,-0.6969549,-9.456988
-11.13878,-9.687127,-0.30935124,0.80477107,0.05052118,0.0,0.0,-0.036737226,-10.334904,0.008053391,-4.1554604,0.86025745,-1.1652582
0.01055012,-11.655861,-0.6472168,0.73055804,0.24318011,0.0,0.0,-0.22534196,-4.5612698,0.051715612,9.364872,3.0798898,-6.5327096
-2.2443635,8.128999,0.100829884,1.8363187,-0.37502807,0.0,0.0,-0.19928993,14.181574,0.010222907,9.1007805,4.179938,-0.6856544
7.898977,7.0748544,0.6697685,1.7185463,0.21036404,0.0,0.0,-0.21543431,28.638075,-2.2755936e-05,8.683954,3.2521017,5.1616645
15.682081,8.436574,0.8901698,1.4261,0.13151887,0.0,0.0,-0.74057806,-6.4826794,-0.02453537,7.8065915,-1.9267513,6.610467
9.519848,6.7457795,-0.2831894,1.952544,0.074563935,0.0,0.0,-0.11857514,2.531806,-0.017532518,5.2567863,0.43347344,-6.364831
11.548977,8.098679,-1.0165743,1.2819622,-0.015104746,0.0,0.0,-0.87771934,-10.1452265,-0.006555501,2.2522311,0.89214694,1.1273228
-2.6546526,3.8795705,-1.0756009,1.3295109,-0.0327405,0.0,0.0,-0.7319594,-19.86809,0.0021287138,1.555585,1.5240864,2.677884
-12.298612,-10.721873,-0.07152228,0.9689989,0.013823006,0.0,0.0,-0.10839394,0.7725635,-0.03973796,3.444578,0.17175071,-4.2113285
-19.399853,-15.151166,0.10088286,1.3559706,0.013823006,0.0,0.0,-0.016751759,4.0652113,-0.040722106,-5.290836,-1.062169,-12.186792
-15.927334,-11.933717,-0.45178604,-0.7658266,-0.035423465,0.0,0.0,0.83986676,-8.215316,-0.017709495,-1.2629042,-0.35937193,10.219322
-9.008117,-5.243588,-1.1836964,-0.011222633,0.46685767,0.0,0.0,0.35331762,13.814062,0.015288697,12.066248,5.9528112,18.831808
-0.727557,8.426794,0.9597499,-3.9208658,0.11689103,0.0,0.0,0.7645984,36.899467,0.0034648383,7.726725,3.47526,14.948533
15.596945,9.123586,1.1937202,-3.741775,-0.0031895842,0.0,0.0,0.6063578,24.776377,-0.0113851195,10.933252,3.0339303,23.353706
15.175169,9.694779,0.99039453,-4.138674,-0.007823316,0.0,0.0,0.6063578,25.282604,-0.0113851195,6.935588,-1.4462434,21.189213
16.063858,11.054416,0.6867543,-1.3263618,-0.1459296,0.0,0.0,0.6983761,17.000948,-0.0113851195,6.1826615,-0.95689315,14.479496
10.728364,6.401585,-3.1715593,-2.259986,-0.13683866,0.0,0.0,0.6983761,13.976236,-0.0113851195,7.6261063,-1.8422415,8.0498085
-5.480794,4.6850224,0.12343518,-0.91803366,0.06667459,0.0,0.0,0.9040139,-8.998141,-0.048577026,11.187407,3.085607,-7.2119336
-15.085632,-9.80939,0.5247655,-1.1482412,-0.017335124,0.0,0.0,0.40697426,-7.0778913,-0.017709495,3.5252554,0.94260174,-2.2411697
-15.910764,-13.749402,0.34083253,-0.2414898,0.015141308,0.0,0.0,0.5049101,-10.26464,0.07844786,-2.9676766,-0.98723185,-1.4558545
-14.601001,-11.454084,0.2769155,-0.43066406,0.015141308,0.0,0.0,0.40697426,-9.915774,-0.017709495,1.0715892,1.4930867,-0.04472665
-13.7933855,-12.734221,-0.0013039857,-2.3091855,0.044797406,0.0,0.0,0.70386803,-12.75265,-0.024657615,-5.0834928,-0.45382223,11.441877
