Air_temperature_causal,Soil_temperature_causal,VPD_causal,SWC_causal,Precipation_causal,SOC_0_causal,SOC_10_causal,SOC_30_causal,LAI_causal,BS_causal,PV_causal,NPV_causal,CI_causal
15.180459,0.20222132,1.0891057,0.7202961,-3.6534514,-1.4114772,0.07313679,3.9791563,-0.48888135,1.7182481,-1.1631806,-1.8520702,0.110530615
36.253628,0.21581617,1.0016643,2.560851,-3.126755,0.20582151,0.31779373,7.371016,2.9788702,1.2331768,-0.8747947,-8.961561,0.036240924
41.859676,-2.9987478,2.430807,2.1792958,-0.04042296,0.96587497,0.38158453,7.4884787,2.406901,3.4715307,-0.60251945,-11.049001,0.036240924
53.06648,1.0949581,2.1039066,4.1546135,0.061272956,0.96659523,0.4016471,6.782088,3.3798382,2.9978673,-0.38079864,-5.9798927,0.036240924
67.24871,13.266104,3.433815,7.97197,-1.0133412,-0.08003637,0.8663758,7.2028174,1.9436098,3.0387726,-0.69434184,-1.4686224,0.16906393
54.56267,12.899602,2.0414033,7.430243,-1.5157244,-0.63956654,0.40652227,2.6254532,-6.3403444,2.7878215,-0.6905877,-11.506053,-0.024752155
42.810265,-0.59212697,2.14845,2.5478275,-4.144588,-0.582794,0.36261386,0.22174895,-9.552977,2.748748,-0.75293434,-18.819002,-0.037223954
26.435,0.24692316,1.0272517,-0.5895358,-3.8843677,-1.8505164,0.07709807,1.0158815,-11.590444,2.924294,-0.9543905,-16.448446,-0.037223954
10.277865,-0.30228275,0.54090947,-0.59420294,-3.9515104,-2.481105,0.023055037,0.9732066,-10.294877,1.2283852,-1.3429968,-17.124063,0.034387898
-35.6826,-4.4864783,-0.40526062,0.48365778,-0.9716241,10.946905,0.49324623,-2.0772884,-12.517173,0.28217444,-0.8548144,-16.918247,-0.13881011
-10.162433,2.3190103,1.0242457,0.73180515,-1.2298054,20.761017,1.1208209,-6.012368,7.228958,-0.17370775,-0.67355055,-16.725164,-0.0034038434
28.995413,5.0615234,1.7653549,-4.515974,-5.118323,26.049435,0.7500668,-7.0294333,11.822756,0.08489229,0.6713346,27.406668,-0.065714486
-9.360549,1.839806,0.8952445,-1.4059619,-2.3961878,20.672878,0.59019494,-5.7486773,6.8734155,-0.6428379,0.81911224,-3.0144744,-0.012319302
-37.389412,2.42867,-0.81989557,-1.2479992,-1.93921,12.385392,0.6942516,-0.051296625,-12.573886,-0.033302914,-0.5218994,-14.1475525,-0.023834314
-22.227377,-1.4155945,1.1155634,0.36715826,-2.1776397,14.819757,0.87582934,-1.9674166,-10.333647,-0.018757876,-0.81801134,-17.71382,-0.082724296
30.626457,4.2636766,1.8554595,-4.788738,0.28419536,25.551516,0.80497414,-6.3955765,14.681317,0.11709562,0.35140032,21.0948,0.38061076
16.972923,1.1421797,1.5857924,-5.0363016,0.12598242,26.455317,0.8925654,-7.5789685,11.979545,-0.061923474,0.9025892,20.305624,0.0060970504
-23.443737,2.603236,-0.84523916,-4.118852,0.23641914,24.560453,0.5488385,-5.8992696,15.881747,-0.020312175,0.59486014,25.692795,-0.24773692
