Air_temperature_causal,Soil_temperature_causal,VPD_causal,SWC_causal,Precipation_causal,SOC_0_causal,SOC_10_causal,SOC_30_causal,LAI_causal,BS_causal,PV_causal,NPV_causal,CI_causal
4.4055996,-1.5899278,-5.1047816,-9.3725,-0.10724791,-1.8272729,-4.824607,-19.502138,-10.733331,-4.745358,-2.15367,-5.494855,78.83218
2.8719077,-0.7937415,-0.617199,-8.731843,-0.16728182,-1.1705781,-4.5271997,-19.502138,-2.1428688,-6.164622,3.2241573,0.46730995,90.2901
-1.6758217,-2.9960368,-7.3878465,-8.507618,-0.030640127,-1.6767431,-5.539683,-19.893993,-1.1988742,-26.830318,0.6396728,0.08151243,43.601547
-1.7603971,-10.340054,2.3717444,-3.742244,0.048661508,-1.5832602,-5.242969,-7.884795,1.5420985,-9.303732,8.318353,3.4425504,-2.2585864
4.2241216,-3.9134371,1.7502729,-1.7540002,0.26462233,-0.8484812,-2.2475069,-4.26139,-0.87109166,-9.326117,-0.7627726,-1.2531378,-60.08359
-1.479138,-5.89281,1.3943049,-2.2726545,-0.04614763,-1.7969898,-2.7382946,-4.451416,4.5685,-11.209214,0.7853549,-5.7778144,-66.2561
-2.8205643,-10.135943,1.3661022,-4.2310824,0.12898871,-2.3577297,-5.2265134,-8.470088,3.9758098,-4.862942,5.070593,-3.18485,-20.048124
-5.023715,-4.415323,2.3298392,0.33870596,-0.544794,-2.0556695,-4.744717,-18.554585,-17.596594,-32.110516,0.6978131,-6.1089845,32.16718
-4.3176055,-3.6645067,2.6883383,1.0670185,-0.544794,-2.0288076,-4.691346,-19.03878,-17.107105,-31.181803,1.2013161,-5.3032656,35.775948
-1.973658,-2.243675,3.9443707,-0.054661423,-0.51628566,-1.8958161,-5.320715,-20.22871,4.025624,-30.480251,1.121801,-3.886775,32.24354
8.326334,-3.274737,0.8432514,-3.3256342,0.13592348,-1.5154828,-3.817398,-17.738476,-12.913408,-27.263374,1.7883664,-3.0804596,56.1122
-17.369133,-13.816152,-7.1191664,-0.15355507,0.1183312,3.0377417,-0.6480199,0.15666685,16.157722,8.740057,6.559646,3.5627873,-53.209114
-30.446583,-25.407616,-20.124378,-5.492444,0.0128101595,1.1848545,-2.5103881,0.43583414,-1.7976882,5.3965173,-5.113483,-4.610954,-27.760677
-29.169113,-20.391874,-6.2460876,4.1407785,0.13238007,1.6147362,-0.4469883,1.0123211,3.727571,7.5477915,-3.6817665,-1.8893337,54.051704
-38.95215,-24.213593,-12.533642,4.723523,-0.6860088,2.1342728,-0.10234063,0.965796,-6.610025,6.5028925,-6.2385917,-3.0035276,108.08814
-13.798455,-6.298495,6.3616533,5.276288,0.3350352,2.1327705,-0.8079664,1.3191273,4.8564873,-0.48978886,0.6567294,0.08705294,121.01838
-14.622573,3.8101819,-3.5097365,5.321068,0.07648521,2.1132092,-0.33012334,1.3483733,-4.2667255,14.302706,-2.0632963,-2.3616924,137.02531
9.755131,5.5561247,8.878203,-1.6176606,0.040360007,2.4616392,-0.64872074,2.6048474,-6.5317717,12.274795,-6.3035703,-4.05173,127.32533
15.865087,6.6807857,6.4884,7.4480515,-0.10585422,2.3685493,-1.7792984,2.8326607,9.501364,16.363823,4.921924,11.7922,133.26373
18.419355,4.837147,11.123104,1.0780272,-0.15856184,2.2727728,-0.41882926,2.7130122,8.83314,13.910327,3.83809,9.170206,134.68188
-11.628611,0.8775426,1.914376,-5.9710927,-0.43016133,2.0407572,-0.66960865,1.6672833,0.91592497,9.72513,1.0676894,0.8891891,90.56595
-32.188744,-22.58383,-6.501242,-2.601218,0.28511193,1.2999796,-0.7723399,1.0868715,-0.18699214,6.2250853,2.4162514,1.3734887,44.49922
-14.489514,-12.589202,-4.253242,0.57596135,-0.01840681,3.374121,-0.84597737,0.541959,6.887197,6.260611,4.794677,1.548387,-42.457882
-20.38783,-14.571203,-4.8716373,1.8193886,0.16784716,3.119811,-0.7879245,0.35715827,0.009707548,6.8994684,1.4198358,0.11218007,-48.30362
-24.282656,-21.355597,6.6149683,1.3147153,0.15643947,2.127766,-2.0334115,0.42334753,-2.3576095,6.6143217,0.3073307,-0.9613388,-8.634847
-50.10963,-31.514,-12.041077,-4.3002105,-0.7142641,1.2931607,-0.91345507,1.1136104,-3.3082502,-0.03465721,-3.8290462,-5.4539514,37.578632
-21.902946,-16.108135,4.8778844,-7.6755753,0.018760573,2.1501565,-0.25397074,1.018121,0.72879744,-2.4034126,-9.120456,-9.104209,110.481346
-13.03093,-6.0960717,-15.419062,-19.97705,-0.78658503,0.069591254,-2.5049012,1.254895,-9.2736845,-6.533008,-22.208195,-28.917824,70.939926
12.359655,2.4010181,-2.5433936,-7.26803,0.033396848,1.8949533,-0.6718638,2.1687748,-1.237857,-1.2901658,-8.905879,0.53053486,123.36844
7.70581,2.7204084,-3.4760978,-10.508875,-0.10404827,2.321971,-0.5546791,2.3235571,-4.525497,-0.7671871,-14.387756,-3.1179981,106.92061
10.325971,2.2689471,-2.542113,-9.216102,0.035918746,2.16155,-1.9409629,2.0951502,-5.402797,0.47471827,-16.84792,-21.086544,85.67773
-18.168585,0.5665416,6.5876875,-10.669565,-0.07233332,1.2194259,-0.73438746,1.4368649,-3.1641269,-2.194922,-10.739214,-1.2439363,112.786255
-29.331272,-22.713343,-9.431501,-19.15925,0.12899257,0.6752092,-0.8315675,1.2036475,-5.808578,-4.6584477,-5.065125,-7.8093405,66.44946
-45.156204,-25.966654,-7.1042542,-6.007581,0.021089181,1.3388219,-1.4032216,1.0662693,-0.76212853,-2.4007769,-4.3667245,2.8899355,41.135216
-21.466705,-13.757707,-13.482078,-3.912622,-0.09790008,2.5171897,-1.7457216,0.3409028,-1.0088433,-1.1531956,-1.6952392,-3.2648852,-50.04732
-24.88136,-16.321497,-15.041796,-4.2647243,0.026003687,2.6717403,-1.7015857,0.28643492,-4.3027077,-1.1085708,-2.4322155,-3.453301,-55.834667
-30.562515,-22.54403,-16.932774,-3.4743187,-0.2113577,1.4701949,-3.3289847,0.25347418,1.0226123,-2.5634317,-11.143161,-3.3704822,-26.72935
-49.884083,-23.961008,-18.037474,-0.12902191,0.13238007,0.812844,-1.4391441,0.94256777,-4.589565,-6.081971,-7.7828555,-1.6629014,37.233196
-18.844942,-12.943212,-0.2799181,6.9328623,0.16063532,1.9993646,-0.51965195,0.834389,2.858953,-3.0939112,-7.6599483,-5.71054,118.12702
-7.058759,-12.381576,0.6809145,-0.40215567,0.35312986,1.6086774,-1.3758451,1.2773836,-5.3014,-7.850918,-19.269268,-17.719538,93.29515
8.799714,4.345435,-5.928781,-2.5599604,0.06856987,2.1204734,-0.90087867,2.3294284,-5.005985,-3.6480794,-13.589533,0.8914851,116.0123
8.258272,4.405745,-2.897011,4.0240507,0.04504685,2.5869029,-0.526598,2.424433,-4.741119,-0.11709473,-9.901656,-3.0449119,116.95393
16.776663,4.935416,5.403075,-4.1238213,-0.113280945,2.4903517,-0.56877697,2.4663434,2.5433602,0.71254545,2.2270048,1.8168827,111.0352
10.066334,3.1782885,-0.12731045,-8.380073,-0.10404827,2.20372,-0.07416591,2.2566745,1.4521381,0.25826287,0.07759835,1.2580732,117.16939
-14.036991,-20.799494,6.2766976,-17.436985,-0.26881212,1.006121,-0.47682613,1.4907768,-0.14387636,10.713949,-0.26230374,4.076475,85.669395
-42.97061,-24.019207,-6.3729906,-10.117097,0.074585654,0.12894458,-1.0895987,1.0731119,-0.6556785,9.380194,1.9678522,3.9539523,46.34197
-23.481096,-15.9447365,-13.354015,0.51981413,-0.18510085,2.5525854,-1.759766,0.48411155,-0.75188005,1.2941521,-0.31267288,-2.958484,-48.58414
-20.955853,-15.567546,-13.465071,-3.8154914,-0.12159476,2.795168,-1.0842116,0.29025796,-0.808889,4.140606,-2.1452413,-2.0251954,-59.5128
