Air_temperature_causal,Soil_temperature_causal,VPD_causal,SWC_causal,Precipation_causal,SOC_0_causal,SOC_10_causal,SOC_30_causal,LAI_causal,BS_causal,PV_causal,NPV_causal,CI_causal
-59.320633,-0.6237665,1.4716516,-0.63765556,-2.298002,2.3633673,1.4794835,-5.780673,0.12578212,-2.1318593,-0.53449154,-1.2188994,0.59796584
-51.81457,-1.2026491,0.968858,1.6871182,-1.8599844,2.3213935,1.7380985,-6.716115,0.31610212,1.1709304,-2.957054,-13.22547,0.5877257
25.420828,0.4440397,-6.6153893,-1.5273155,-3.165759,-2.6322672,-0.5720556,-9.712521,0.21153031,-3.2183535,-2.887598,-26.177933,-9.188584
62.23663,1.2709324,-11.241958,-1.7933806,-1.3197148,-1.0994521,-0.42652518,-9.568899,-0.17531642,-4.357955,-0.86966294,-7.7372317,-9.760153
66.11848,0.9734861,-12.273448,-5.9798965,0.9066529,-1.9467844,0.52650726,-12.918449,-0.71238744,-1.836158,0.14121597,1.4208128,-14.78845
56.416245,1.0778462,-6.3642035,2.824044,-0.39507595,-0.585214,0.8242243,-9.064487,-1.0937058,-1.0468282,0.46687567,0.568343,8.455383
13.41384,0.17926578,-0.9578075,2.2455711,-0.30732745,-5.2957854,-0.25384492,-11.154752,0.81917506,-3.0873623,-1.2016373,-9.21618,4.1251035
-47.796284,-0.90240955,0.99818987,0.57057256,-3.6172347,1.8246089,2.5607646,-6.592231,0.18154296,-1.0954802,-0.56923556,0.913437,-0.30195603
-51.2297,-1.0012575,2.6918814,1.5241424,-2.6676764,1.991772,1.515393,-5.2641478,-0.30562434,-2.0691755,-2.5497746,-16.540419,1.2578051
-25.580153,-0.869068,0.29629245,1.3777804,-1.7437134,0.08609152,1.4224417,-7.406733,0.103072084,-1.648569,-2.6077902,-16.421865,-5.8244205
26.782951,0.49236465,-2.8170447,-2.9224637,-1.4999409,-3.433165,-0.8689315,-11.000354,-0.00683692,-3.5616648,-0.90762395,-22.619282,-7.182929
72.26845,0.88958514,-5.600146,-0.9604603,-0.32506287,-0.07424958,-0.519181,-8.215215,0.7512814,-2.3360505,-0.53436744,-1.8044959,-12.526533
50.2918,-0.0373629,1.0408633,-4.16988,-0.35937908,4.548259,3.8791149,-9.696456,-0.115092255,3.5137973,3.404737,36.06536,9.4906645
10.947716,0.14032984,1.112493,-1.475683,-2.6491146,-5.9095035,-0.043330163,-11.670883,0.63431597,-1.4207482,-2.146857,-10.034278,4.375044
-50.903637,-1.0346761,0.8748727,-0.7783652,-0.85868376,2.9655647,2.7397292,-6.787582,0.22069894,1.5816596,-0.077344455,3.0048962,-0.6136828
-32.385414,-0.6780957,1.1835526,-0.8698929,-0.6692237,1.0635817,1.6009172,-6.921837,0.10695637,-0.9357822,-2.736012,-19.360422,0.3253311
10.461678,-0.1963037,-2.5890841,-2.6076865,-1.450183,-4.1661487,-0.2704462,-11.180128,0.556465,3.5590813,-3.502629,-21.622591,-6.965459
41.40877,0.97394365,-4.366188,-5.434498,-0.089360096,-3.7160654,-1.3508426,-12.243085,1.5008062,0.35409796,-0.89293325,-6.0696993,-11.591414
57.461433,1.178629,-2.1326537,-9.604226,3.6187809,1.6778551,1.4545586,-11.602104,-0.6664787,5.5174727,-0.2326593,25.363888,-9.611376
49.489056,1.4871465,-1.6004615,-6.1574273,-0.25966483,-2.1700096,0.52255577,-13.247022,0.24179691,1.4483389,2.667011,15.659025,9.855702
8.811027,-0.08681497,2.406128,-3.064072,-1.7718271,-4.0835485,0.95324576,-9.478418,0.44102,-1.3032343,-1.0734777,-8.074612,5.882673
-59.836914,-1.010626,-0.22342718,-0.24692836,-3.6985862,1.0929171,1.4272912,-5.1911135,0.115695015,-2.5157142,-1.3603234,-12.199185,0.7600169
-54.385674,-1.2117548,2.4462168,1.4509854,-3.4984818,1.3458573,1.7156028,-5.9182982,0.25201583,0.7610061,-2.5736578,-14.480678,-1.5493317
3.3446498,0.8980388,-3.8118696,3.2279935,-4.045135,-5.0702777,0.66606325,-11.121771,0.08943998,-2.0431428,-1.7590396,-13.507373,-5.3537784
29.891663,1.6148667,-4.3358965,4.249854,-2.6330793,-2.862355,-0.20217422,-11.087102,0.32402903,-3.83168,-1.3113984,-7.873407,-10.077288
52.46928,1.2438043,-8.271494,4.774739,-2.0084388,-3.3359842,0.70320094,-10.650319,-1.9309025,-3.652721,-0.16243024,-8.888475,-13.692833
58.344982,1.2685164,-5.653562,4.924656,-2.043035,-4.0293617,0.9330206,-9.630907,-1.4522207,-3.3450618,0.35692856,-7.382377,-11.441264
-16.942656,0.0766857,1.5967351,3.1722744,-1.6198485,-0.75184613,1.8851792,-7.1803546,0.9599687,-1.9088042,-0.21232168,-1.6902463,-0.38065466
-52.539528,-1.0929837,0.51564085,2.4631872,-1.8937621,3.8051238,1.8737719,-6.3555684,0.19140457,-0.6745694,-0.21905485,0.046183024,-6.770897
