Air_temperature_causal,Soil_temperature_causal,VPD_causal,SWC_causal,Precipation_causal,SOC_0_causal,SOC_10_causal,SOC_30_causal,LAI_causal,BS_causal,PV_causal,NPV_causal,CI_causal
34.211567,6.625272,0.056803465,-0.80990845,7.2584434,9.685037,7.153432,2.7731018,148.5317,0.79655945,21.584494,21.859064,45.14123
22.891293,9.857766,0.32737613,-1.0029874,7.0374966,10.383888,10.934926,2.3462713,96.10369,-0.7239383,25.993889,19.770184,52.40005
-27.04295,-3.4200344,0.045461938,-3.5851943,0.27395633,8.071836,3.4844177,2.3659422,106.11554,-0.9020447,11.389659,14.212415,31.51141
-23.707272,-12.83693,0.34980732,-7.892799,-0.014714699,6.1214304,6.2135,3.5965536,72.09433,-1.1985548,4.653187,-3.1973016,31.052847
-16.372435,-4.8995457,0.039503925,-2.3179352,3.7832744,4.260886,1.7375343,1.1735842,-34.28054,1.0567384,2.796845,5.0008783,16.81943
-5.0505333,-0.45907918,0.094773464,3.177149,-0.7657881,10.558393,3.9943821,2.40494,132.99773,5.4692044,17.450966,5.5827565,32.55392
19.832592,5.10494,0.056803465,5.553794,7.136254,11.258097,6.458483,2.5806546,133.49417,3.4390988,23.370691,22.761866,51.679012
31.676178,7.410268,0.091793545,8.733533,4.5443473,12.110155,7.646594,3.1496887,146.04962,0.9763239,37.13711,22.633781,52.84742
13.865739,5.7365203,0.091793545,-5.969568,-0.91337997,10.8137455,7.29712,2.4495347,140.18799,0.0014508648,15.0870075,8.274428,43.860497
-9.524851,-0.43451124,0.2535063,3.7528462,0.5548312,8.800742,6.4164004,2.6913252,98.75569,-0.4961771,14.6131315,4.9322762,33.711628
-24.611647,-17.331137,0.10051334,-4.720075,-1.3470505,5.007553,3.8508196,0.9742136,26.304535,-2.8557088,6.606903,-1.3745322,11.8550625
3.7049892,8.897911,0.07645069,0.49254784,6.6967306,9.755086,11.284959,2.582185,92.424416,0.20706345,14.559269,4.141332,52.352627
