Air_temperature_causal,Soil_temperature_causal,VPD_causal,SWC_causal,Precipation_causal,SOC_0_causal,SOC_10_causal,SOC_30_causal,LAI_causal,BS_causal,PV_causal,NPV_causal,CI_causal
34.04708,0.12001608,-0.3127694,-0.31346297,0.5475262,-0.34555945,-0.18507838,0.0,4.5452714,3.7532394,-6.324707,0.0,-9.031338
-52.81658,-0.20746341,-1.1338681,-1.9947225,-0.3639916,-1.5977979,-1.4155918,0.0,-7.3286843,0.17751652,-2.3219028,0.0,-4.0272603
-43.838757,0.060583632,-2.247145,-2.4024744,-0.4531996,-1.0275513,-0.9332307,0.0,-7.2053356,1.4642284,-6.011763,0.0,-0.59600025
35.358955,0.16025001,1.12591,-1.4470389,0.06631957,-0.31623966,0.30079737,0.0,3.9798055,5.138296,-4.0089703,0.0,-8.852947
-54.43281,-0.20746341,0.18675405,-2.1096153,1.7357035,-1.4402415,-1.0225167,0.0,-6.549961,1.0938504,-2.4919863,0.0,-4.151432
7.0237665,0.06834106,-1.6732886,-4.1244254,-0.9711241,-0.5741976,-0.38811022,0.0,3.174384,0.48749724,-4.606614,0.0,-6.685487
-39.51582,-0.01438009,-0.7951701,-2.8316364,-0.4802884,-1.5919251,-1.3459879,0.0,-8.160491,0.66159505,-2.1270194,0.0,-2.9116266
-52.498177,-0.20746341,-0.8812675,-1.7642063,-0.93256956,-1.2880399,-0.9622107,0.0,-7.633158,0.8731489,-2.6370223,0.0,-3.8247228
-53.173706,-0.20746341,1.2872854,-2.0872061,-0.14463095,-1.4204737,-1.1704477,0.0,-6.8590035,-0.9655977,-6.07663,0.0,-3.7153277
54.61347,0.0400193,-1.1141775,5.770892,2.0852945,-0.0809983,-1.274634,0.0,3.8541336,4.9498367,14.811004,0.0,0.7680134
-55.659065,-0.20746341,-0.9245232,-1.877985,-0.42740834,-1.4554855,-1.0080098,0.0,-5.2836695,0.99056274,-2.8065188,0.0,-4.2383423
51.39481,0.06834106,0.4461545,7.841025,2.6240997,-0.7982024,-1.4389578,0.0,8.76084,-2.3251624,32.038177,0.0,2.0627186
41.845528,0.06834106,-1.8256042,2.8216786,-0.4246479,-1.6380336,-0.62607855,0.0,6.3803,-1.6172239,20.523285,0.0,0.99463594
35.38666,0.16025001,-4.6845307,-0.22469401,-0.12538809,-0.89881796,-1.077487,0.0,2.3704312,3.413975,5.6169696,0.0,-10.2642765
-46.556408,-0.20746341,-0.48927477,-2.266931,-0.5529247,-1.195228,-0.556,0.0,-7.3422923,0.7641114,-1.1364762,0.0,-4.0965223
-40.659225,-0.2785387,-2.9389129,-2.681494,-0.02420343,-1.2550527,-0.9436675,0.0,-3.6206617,1.011686,-4.787576,0.0,-0.8026384
45.6749,0.0400193,-3.5185962,-4.3169603,-0.14469832,-0.06284324,-1.6829462,0.0,5.23679,-7.771891,11.850455,0.0,-1.6178242
8.287364,0.076839626,0.59367144,0.7471324,0.39739287,-0.27414373,-0.35985547,0.0,0.667895,1.5771381,-5.977924,0.0,-7.422906
-55.30116,-0.20746341,-0.9753806,-1.9910716,-0.36306494,-1.5901467,-0.9179923,0.0,-7.082646,0.8184973,-2.338455,0.0,-4.3551903
10.196783,0.06834106,-0.45169175,-3.4768822,-0.3170713,-0.57832575,-0.5433963,0.0,3.500972,1.3860393,-5.4219937,0.0,-7.475193
-24.338709,0.03064619,-3.7246456,-0.54338145,-0.35858157,-0.40344316,0.1896201,0.0,-9.5549965,5.0392575,-0.6892012,0.0,-3.7884853
-46.47012,-0.5549231,-2.963515,-2.459555,-0.6463089,-1.4595534,-1.8303975,0.0,-7.141373,2.213612,-8.247447,0.0,-2.4283288
8.116522,0.06834106,-2.471426,0.5460967,-1.0435221,-0.8160598,-0.7117684,0.0,0.92471033,1.1294687,-7.3089924,0.0,0.06240411
21.066263,0.16025001,-1.3553406,-2.6482253,0.026751304,-0.71598846,-0.5241363,0.0,1.3538865,4.0867105,-4.3051248,0.0,-10.685704
47.38282,0.04851787,-2.7330136,3.2222376,-1.6556848,-0.638631,-1.7688189,0.0,2.931817,-6.5251446,10.920145,0.0,-1.8169637
31.428982,0.16025001,-0.8756169,-3.7018504,0.08471924,-0.9277309,-0.074558645,0.0,1.409868,2.501112,-7.4331827,0.0,-9.885786
-24.232872,0.03064619,-3.4650776,-1.7271249,-0.51735497,-0.9319675,-0.96662664,0.0,-8.17659,1.926773,-1.8938473,0.0,-3.6467285
-54.922516,-0.20746341,-1.0986537,-2.212626,-0.28266385,-0.76053923,-1.3712188,0.0,-7.4053125,1.8458422,-2.663408,0.0,-4.283534
41.245785,0.025911735,-1.2985805,1.022826,-2.681859,-0.8539175,0.21151686,0.0,-9.530514,-3.0786288,-10.973111,0.0,2.2471879
42.452663,0.01173066,-1.2739146,0.5615179,0.57577914,-0.7862159,0.35869524,0.0,-9.505263,-5.098263,-11.535748,0.0,0.69952935
38.783726,0.01173066,-1.4682333,0.58355457,0.8383038,-0.79747987,0.2614512,0.0,-12.467208,-3.6841056,-13.075758,0.0,-6.482358
33.1328,0.03282574,-1.9006586,-0.8315011,1.1421719,-0.9469241,0.16839737,0.0,-14.285904,-5.3392696,-16.503077,0.0,-11.756424
20.375542,-0.18466324,-3.096225,-1.0342268,0.42607877,-0.88706195,0.27106762,0.0,-11.13683,-8.883336,-15.76956,0.0,-10.012192
9.366406,0.094278604,-0.32038715,0.33447304,2.5847917,0.011004269,0.2215661,0.0,-13.525953,-1.7821608,-12.646327,0.0,-7.594291
-12.144965,0.06084151,-3.3405616,3.001564,2.523003,-0.004183173,0.31238216,0.0,-8.866624,-2.4389293,-9.218492,0.0,-3.1023464
11.21927,0.07410842,-3.0884447,-0.1290201,1.1116045,-0.49040422,0.23727229,0.0,-11.820744,-1.9137594,-14.323361,0.0,-8.299498
27.328884,0.012655554,-2.0958803,-0.18689734,-0.063220136,-0.977229,-0.02697143,0.0,-10.771819,-4.653969,-19.373306,0.0,-9.092442
42.29406,0.012655554,-0.9972335,-2.024791,0.45785308,-0.42028722,0.33960146,0.0,-5.6795673,-5.813179,-21.212742,0.0,0.17375848
40.39039,0.03282574,-1.2117661,-0.48469198,-2.7822986,-0.15942298,0.26792622,0.0,-7.8200016,-3.0350442,-15.596451,0.0,0.5106549
41.934647,0.03282574,-0.91292495,-0.23508412,0.5766985,-0.78813434,0.3156181,0.0,-8.47452,-5.6355944,-14.554277,0.0,1.2678738
42.318573,0.04700681,-1.2569737,0.2892734,0.6559542,-0.8233855,0.31246808,0.0,-9.180878,-5.6018534,-13.340717,0.0,2.1642022
41.115616,0.01173066,-1.4115587,-0.10589334,0.31495488,-0.18293068,0.35056546,0.0,-7.9302616,-5.085154,-12.329326,0.0,0.7074158
38.945145,0.01173066,-1.5175035,0.91775274,-1.4586207,-0.8524859,0.2557267,0.0,-11.639818,-3.6285968,-10.483948,0.0,-6.0191603
-65.63386,0.07873098,0.5242109,0.06386843,0.33258358,-0.70597917,-0.4549827,0.0,-4.73373,1.6480175,12.215025,0.0,-2.8674746
-48.126686,-0.01438009,-0.72683257,-1.7376016,-0.9129561,-0.38784647,-0.6597127,0.0,-7.171902,0.9314762,-1.3142478,0.0,-2.592014
35.70498,0.17443109,-2.542628,2.2675276,-4.1420016,0.98695964,-0.56839615,0.0,2.6633217,0.88528645,-4.22597,0.0,8.645245
10.595692,0.105908796,-1.8352258,-2.30648,-0.7714865,0.20014541,-0.5878142,0.0,2.2537699,-1.6837835,-4.8682504,0.0,9.459495
44.905106,0.08252213,-1.7847031,-3.1674557,-0.19254276,0.16039214,-0.45132267,0.0,7.7909927,-0.841459,13.239574,0.0,9.594653
50.88865,0.054200374,0.98417866,-4.81145,1.6869355,-0.17640159,-0.5509612,0.0,0.21681535,5.9414744,16.394764,0.0,3.4857867
1.5997705,0.08252213,-1.8065495,-2.383337,-0.46995267,0.11470887,-0.43194047,0.0,3.7967029,1.0537697,2.026658,0.0,0.7505542
8.663657,0.06834106,-3.1496308,-2.0088646,-0.5230117,0.19797127,-0.79491633,0.0,0.4850364,0.30526793,-5.449451,0.0,0.2930705
-42.526505,-0.01438009,0.2754259,-0.9988785,-0.46261546,-0.050373502,-0.78881276,0.0,-5.825422,1.2943375,-2.3932416,0.0,-0.079714194
-68.26664,0.0634644,-0.24709737,0.27047554,0.032575756,-0.15292402,-0.3948717,0.0,0.13157804,1.1511161,13.535367,0.0,-2.9026012
-43.752148,0.07004441,-0.8498148,-1.4154055,0.6659248,-0.20457473,-0.8065162,0.0,-6.1918316,1.9293791,-2.3885083,0.0,-2.7900934
-43.636673,-0.029646663,-0.4068237,-1.1045274,-0.7204742,-0.095174685,-0.7000766,0.0,-0.7391588,1.3618742,-1.755036,0.0,0.36119404
-27.309849,-0.074028105,-1.8357301,-2.1213908,-0.6325062,0.25834095,-0.39163613,0.0,2.1471853,1.6949012,-1.4609882,0.0,1.4583929
7.6335874,0.08252213,-1.5676581,-0.87951183,-0.5897528,0.2219877,-0.33593053,0.0,4.1326756,1.308539,-4.872014,0.0,8.809488
35.427124,0.13419716,-1.326684,-1.9195132,-1.4761392,0.23217729,-0.49453577,0.0,5.9900203,-0.5334145,13.325485,0.0,8.721293
36.501694,0.08252213,-2.9014225,-2.510512,-0.48015264,0.21288313,-0.6912333,0.0,5.1846385,-3.6388566,10.815608,0.0,8.053708
44.044975,0.054200374,-1.8409882,-3.9343553,-0.5515805,0.46734804,-0.6429983,0.0,1.934958,5.128665,4.9759674,0.0,7.976614
4.49818,0.08252213,-2.2524874,-5.43169,0.69828516,0.21565513,-0.5865102,0.0,2.369164,1.0804442,0.52552986,0.0,0.42296517
-20.176283,0.13096039,1.0702775,-5.1593337,-1.2449551,0.10666186,-0.40195644,0.0,-0.04587417,1.7980156,-0.61347985,0.0,0.21756876
-32.95657,0.03064619,3.26971,-1.6241091,0.6199855,0.1621731,-0.40778273,0.0,-4.6060576,1.258953,-1.5185219,0.0,-0.44182953
-48.175045,-0.01438009,2.8575335,-0.95734435,1.0712662,-0.41075128,-0.20819195,0.0,-6.3818965,0.94547254,-1.9876577,0.0,-2.2847476
-57.071846,-0.4166196,0.5571696,-1.0450953,0.12875637,-0.59606653,-0.7328899,0.0,-0.76466453,1.6608431,-2.0087564,0.0,-2.684237
