Air_temperature_causal,Soil_temperature_causal,VPD_causal,SWC_causal,Precipation_causal,SOC_0_causal,SOC_10_causal,SOC_30_causal,LAI_causal,BS_causal,PV_causal,NPV_causal,CI_causal
8.179351,0.0665465,-0.02538995,1.1254389,22.77091,1.6017555,-0.063513055,-0.6225121,21.06511,0.8714353,9.366466,-1.2045493,1.8751563
10.293164,0.09155267,1.5890526,2.2069776,20.879587,3.5632992,0.19173245,1.2265179,24.055727,2.902312,9.585722,14.911935,1.029286
9.766719,0.09155267,1.5355048,1.5005759,27.721392,2.6604855,1.0401931,0.3726373,23.651306,0.5967152,13.405653,18.298033,0.97236973
-1.2081034,0.089943916,-0.36156318,0.9898169,29.130371,0.08334343,-0.37523428,-1.0784692,2.5350425,0.9271838,11.072442,14.135945,0.67988545
6.159349,0.06719684,1.5841123,0.3244302,22.417192,4.0679317,1.0132856,-0.24725258,24.199936,-0.04733728,13.828584,15.269253,1.6344671
3.5136535,0.064096116,1.0475037,0.94827616,-9.409791,2.144052,0.1080003,-1.9005915,27.343403,-4.0326104,11.506931,1.055616,1.7528135
0.47747812,0.13746056,0.3685081,1.3049929,-9.253421,0.9103775,-1.3922421,-0.8311919,5.3784986,-1.3494151,-0.4755947,-6.7665677,0.5833207
-0.09764856,0.04765132,0.27412573,2.0486803,-9.00223,0.4647317,-0.80497485,-0.34306422,-7.9224963,2.223804,-8.224369,-8.822378,0.12358675
-1.5760391,0.04765132,0.2368005,1.9272715,-8.267121,0.50097346,-1.0026088,-0.37717563,-9.485937,2.0304897,-8.005715,-6.4216514,-0.60124326
-0.62228817,0.04765132,0.4361615,2.3969243,-10.2954645,0.39664352,-0.82968867,-0.33242095,-8.830072,2.5092194,-8.015688,-9.395372,-0.58830976
4.6581182,0.045853414,0.3913939,2.5191123,-9.808046,0.47923315,-0.8727944,-0.124113694,-6.293562,1.8251412,-8.190516,-9.6824,-0.9288393
3.139174,0.04435899,0.28637555,2.5391173,-1.1796216,0.105710365,-1.3047358,0.1522771,1.4941072,-1.4189787,-7.4224863,-5.4741125,0.40387058
1.5220053,0.03158448,0.837879,2.6735308,23.069582,0.6617763,-0.6726642,0.72613937,3.1731603,1.4201982,-5.5682244,-4.42986,1.9399989
5.0365925,0.089270934,-0.07283097,0.6893897,24.71591,0.45246735,-0.69394374,-0.8237721,-1.7225914,0.08245041,7.502585,18.53673,1.7179067
9.6508045,0.06211733,0.6541398,0.723617,12.844466,4.9981904,0.43979067,0.1821908,40.42678,1.3092735,13.4915285,18.831968,1.6012001
4.0418983,0.08615617,0.5156254,0.54675496,-9.080511,0.7299825,-0.58856946,-2.3902931,20.728455,-5.144427,12.056536,-0.43786493,0.83337724
1.983442,0.044985764,0.43017557,1.9983896,-9.04106,0.80602247,-1.0965146,-0.92496693,0.6228679,1.9914784,-8.420267,-14.26016,-0.07803123
-1.3011934,0.03808054,0.18390143,-0.9611305,2.4111962,0.1733698,-0.26535875,0.26240307,-19.718748,-4.06337,-8.816131,-4.9172597,-0.34110326
5.008409,0.04336535,0.34698325,-0.8083754,9.09343,0.10413284,-0.3361481,0.40291387,-20.317333,-2.888584,-9.753247,-4.2218666,-0.37844515
4.7175603,0.044233005,-0.015100678,-1.8003743,11.145431,0.039731156,-0.66707796,0.44398046,-18.70267,-3.7469316,-9.644863,-5.273284,1.823157e-05
4.0757804,0.026503231,0.86599123,3.1384528,22.166264,0.6059184,-0.1863282,0.3207925,-17.557962,-0.28026956,-7.502845,-5.7542944,0.6075404
4.8080626,0.04591456,1.4340792,3.5607555,18.466833,0.8003743,-0.123313054,0.43792772,-19.160103,1.3250667,-2.0068142,-4.283985,2.2543557
-0.5561144,0.03226889,0.14989679,-0.6663643,-7.285934,0.9296187,0.3369348,0.32324654,-10.7437525,0.8843277,-7.6670084,-3.1618586,-0.5873444
-4.9702168,0.03226889,0.37865132,-0.39573205,-7.9892836,0.45658925,-0.09152697,0.27579713,-16.55889,-3.264608,-8.4347725,-7.492963,-0.8746684
-5.48428,0.01759038,0.34014538,-0.5425808,-7.9512854,0.39839762,-0.25777295,0.3116028,-26.28954,-2.4953315,-8.7819395,-8.814776,-0.49262404
-4.3762274,0.016674543,0.27761805,-0.4105546,-9.70646,0.49545798,-0.12833402,0.33909184,-25.92605,-3.470143,-8.264637,-7.990481,-0.48678094
-1.3174548,0.028443994,0.6340706,-0.8747952,-3.286142,0.071252674,-0.6043659,0.3969195,-22.970701,-4.2146983,-10.557596,-8.686582,-0.008015152
3.4198048,0.030133085,-1.4253873,-0.8145761,-7.323726,0.21946293,-0.42141026,0.50169444,-25.459263,-3.717329,-10.663386,-10.49232,0.19689982
5.139423,0.02863866,-1.485145,-1.8825002,9.135288,0.06761959,-0.9138008,0.4702997,-21.051945,-3.202811,-9.631442,-8.44797,0.06535368
3.9195855,0.02863866,-1.3556052,-0.8735287,5.411074,0.045693003,-0.54569745,0.17827332,-22.239552,-2.7703946,-9.294288,-10.2973795,0.56156224
-1.5138632,0.027870085,0.63626933,-0.7467184,-2.9738054,0.16170079,-0.62754357,0.39267367,-21.661083,-3.81755,-9.862515,-7.367998,0.82722586
-1.5663868,0.022486195,0.6059142,-0.8757575,-2.12165,0.19192111,-0.43650892,0.4217928,-27.680603,-3.7548149,-9.036425,-8.842312,0.030270949
-4.931709,0.016674543,0.32496226,-0.43019795,-8.957387,0.34562775,-0.23465428,0.35004252,-26.421612,-3.9814107,-8.855761,-8.564031,-0.4887774
-4.9854856,0.01759038,0.49365103,-0.43282944,-9.056252,0.34562775,-0.2218835,0.34978372,-26.673416,-3.9846036,-8.666794,-8.531459,-0.48216087
-6.138515,0.01759038,0.5251929,-0.39125246,-8.861233,0.34562775,-0.22067326,0.34978372,-25.974546,-4.174469,-8.673154,-8.54036,-0.49272943
-0.42371675,0.031930983,-1.1575744,-0.5994349,-7.889969,0.37883732,-0.25364122,0.52063,-26.986647,-4.2001038,-11.299361,-9.271785,0.01094397
3.4075775,0.02863866,-1.3696905,-1.0354949,3.45101,0.2254555,-0.4051769,0.37847897,-26.983967,-3.5282428,-9.528386,-9.441273,0.1275822
4.9138126,0.02863866,-1.3716496,-0.9098502,-3.4662256,0.3134114,-0.47492847,0.43182337,-26.185198,-4.2146645,-10.047525,-7.9805255,0.59218925
2.9767964,0.030133085,-1.3173574,-0.91932166,-5.917172,0.17960699,-0.41962978,0.15862563,-25.434359,-3.901338,-9.672116,-8.507267,1.6266433
2.9927347,0.030133085,-1.6371425,-0.9862463,-7.804879,0.33565083,-0.40864536,0.45009083,-25.692287,-4.431451,-10.397689,-8.608113,0.24515687
-0.057756837,0.016674543,0.6297595,-0.64336646,-7.22653,0.33425036,-0.25457525,0.5009806,-27.26577,-3.9168346,-10.978227,-9.078694,-0.4356989
-2.2729323,0.022486195,-0.18873364,-1.0799352,-2.0207613,0.19054285,-0.36979464,0.37200648,-27.617546,-4.009206,-9.696894,-8.710732,0.0043086857
-4.4206977,0.016674543,0.3991144,-0.51306707,-9.555685,0.409428,-0.22260934,0.33909184,-26.452785,-4.099856,-8.781723,-8.711207,-0.51167876
-4.49889,0.016674543,0.27063298,-0.43282944,-8.957289,0.35724387,-0.22492185,0.3512205,-26.057413,-4.1653647,-8.593173,-7.921661,-0.42515382
0.14656329,0.031930983,-1.3378794,-0.5290991,-8.22594,0.5064607,-0.14977898,0.47496188,-25.554035,-4.3697524,-10.160621,-8.142512,-0.15239234
2.9917352,0.02863866,-1.574592,-1.0462874,0.7369809,0.31288397,-0.41818443,0.38311526,-29.886915,-5.006253,-9.956368,-6.6251082,0.24160607
3.1805186,0.024187634,-0.80271673,-0.34901986,17.440859,0.40425244,-0.21085224,0.27830875,-29.417671,-3.4830232,-9.785201,-6.7746906,0.17477402
4.3299484,0.02777101,0.066230536,-1.7610759,10.028458,0.10308376,-0.468465,0.40977645,-22.270115,-3.4958122,-9.002605,-4.798924,0.8797775
4.1740594,0.04485978,0.50659025,-0.792491,-8.3192215,0.27887493,-0.2111477,0.41950428,-16.704443,-4.1118727,-9.277042,-4.016142,0.9978113
-0.69296986,0.022486195,0.53856975,-0.7547278,0.31059211,0.18373609,-0.44122937,0.41764262,-22.448174,-3.7477818,-9.07719,-7.2639623,-0.2178838
-0.69087595,0.016674543,0.20195778,-0.7740343,-8.269842,0.49640286,-0.038213663,0.4082818,-25.903599,-2.8630402,-8.808263,-7.4721837,-0.5939764
