Air_temperature_causal,Soil_temperature_causal,VPD_causal,SWC_causal,Precipation_causal,SOC_0_causal,SOC_10_causal,SOC_30_causal,LAI_causal,BS_causal,PV_causal,NPV_causal,CI_causal
-0.077083245,-5.024107,-2.0239434,-0.43740267,-8.844463,0.047522407,-0.55707717,0.13541466,-6.7157564,2.5806918,-1.2174753,-0.6806312,-1.3749226
-0.07629592,-3.8079693,-1.4748061,-0.3228744,-5.868162,0.20358732,-0.7150749,0.57462394,-7.0379734,5.6114006,-3.5879624,-13.857175,-1.4056424
-0.077083245,-3.9052076,-1.4056342,-0.29181707,-5.8076797,0.2913356,-0.8592487,0.5767503,-7.6784916,5.2965755,-3.0091376,-13.454956,-1.2612549
0.016660951,-0.16635154,2.4000208,-0.61901736,-4.7552404,-0.122763574,0.028004982,1.886239,-3.720467,5.9464474,-1.8596624,-9.723131,0.30438638
-0.14408089,-2.660288,0.72807753,-2.4574945,-5.8809967,-0.64109933,-0.68463045,-0.3618039,13.386443,1.597966,5.723159,20.155571,0.40574214
0.03732257,-1.4013044,0.43855366,-1.5132742,-5.418784,-1.160855,-1.495464,-0.030018263,13.966515,1.8065597,7.050605,23.718977,0.14626709
0.03732257,-0.1143606,0.83203286,-0.60017335,-5.8313003,-1.160855,-1.2277427,-0.032916114,16.240002,3.5472515,8.2186165,25.923536,-0.38353541
-0.042828716,-6.9618635,-3.9658198,-0.66828185,1.4203726,-0.48212746,-0.123963535,0.18392004,-9.221991,2.993785,5.134583,20.483809,-0.98395455
-0.077083245,-4.9055557,-1.5378293,-0.43905336,-3.4202645,-0.027696673,-0.78080624,0.23439075,-6.162794,4.395763,-1.672341,0.40429103,-1.5437728
-0.077083245,-3.702316,-1.3934317,-0.17822681,-5.603854,0.2907865,-0.914321,0.6912266,-7.7102375,5.7801857,-4.775505,-14.48498,-1.1419369
-0.08130728,-3.739001,-1.1796073,-0.6741757,-1.9194677,0.099754125,-1.1791339,0.6958084,-5.908511,6.0800867,-2.824781,-13.376055,0.21614784
-0.013183223,-2.465456,1.8098971,-1.0033786,1.5260323,-0.21633802,-0.2877975,1.3089414,13.290057,4.2542725,-3.896104,-12.435079,0.34639722
-0.06887959,-2.0731263,2.769255,-2.9872828,0.40238062,-1.1143397,-1.3324013,0.081660874,14.524409,2.4874022,6.629751,29.097048,0.04643628
-0.0047692694,-2.126593,-2.006894,-3.2515526,-3.835313,-1.1233771,-1.2373353,0.35356826,16.13222,2.4120035,11.35258,32.192158,-0.6291768
0.008662807,-6.242646,-3.193947,-0.9666788,0.8803875,-1.0309857,-0.22840455,0.25058165,-8.804363,3.9027655,5.878377,23.865107,-1.0007087
