"siteID","year","month","site","lat","lon","type","source","NEE_qc","GPP","NEE","RECO","Air_temperature","Soil_temperature","VPD","SWC","Precipation","SOC_0","SOC_10","SOC_30","LAI","BS","PV","NPV","CI"
252,2004,4,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.908333,22.97469,41.3358,63.3702,9.883,9.686,3.592,32.773,1.352,20,20,10,0.75,35.25531,46.905838,15.690512,0.74373335
252,2004,5,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.918683,63.18265,10.644191,79.12843,11.824,13.509,4.176,29.404,1.435,20,20,10,1.1,30.790823,65.30443,2.1340675,0.72793335
252,2004,6,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.976389,354.873,-224.6217,131.877,15.247,16.443,3.902,28.001,2.247,20,20,10,3.75,23.675665,68.69901,6.739655,0.71080005
252,2004,7,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.973118,447.5904,-300.4675,146.57296,16.302,17.67,4.075,27.554,3.551,20,20,10,1.8,16.850168,71.44396,11.2280035,0.7212333
252,2004,8,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.953629,327.0407,-195.8983,131.13,17.837,18.355,4.042,27.259,4.101,20,20,10,1.2,16.623709,61.74904,20.121046,0.7428166
252,2004,9,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.984722,225.9453,-114.4836,110.775,14.987,15.084,3.693,26.63,1.706,20,20,10,1.1,23.124466,60.269714,14.572245,0.73141664
252,2004,10,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.971774,-1.498571,95.55037,94.15568,11.175,12.067,2.233,27.147,1.631,20,20,10,0.7,19.867214,55.136932,22.433388,0.7266833
252,2004,11,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.909028,9.84852,35.6022,45.4506,5.613,7.251,0.76,28.15,0.999,20,20,10,1.2,22.562286,50.115356,24.339916,0.74861664
252,2004,12,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.860215,6.30106,21.592275,27.814967,1.49,3.376,0.468,28.576,1.909,20,20,10,1.15,20.772945,42.76276,32.65884,0.77913326
252,2005,1,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.987231,18.539674,17.085371,35.5322,3.863,4.924,1.154,29.177,2.231,20,20,10,1.05,28.424969,36.786057,31.344898,0.7861668
252,2005,2,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.962798,24.150392,3.494792,27.476176,1.458,3.135,0.95,29.476,2.652,20,20,10,0.4,23.294294,35.681335,37.33977,0.81743324
252,2005,3,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.97043,63.60952,-7.07699,56.03312,6.5,7.472,1.787,26.513,0.908,20,20,10,0.45,29.243177,36.034786,32.573414,0.7446667
252,2005,4,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.958333,277.7523,-159.0087,118.2657,9.625,11.56,2.572,24.598,1.627,20,20,10,1.1,33.187637,57.533745,7.133723,0.74373335
252,2005,5,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.982527,497.4198,-307.87774,188.74412,12.531,15.004,3.929,23.454,1.334,20,20,10,1.35,28.265793,64.64386,5.4123745,0.72793335
252,2005,6,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.975694,470.79,-266.8392,204.417,17.065,19.681,6.475,15.64,1.318,20,20,10,1.35,28.018808,67.694145,2.7595406,0.71080005
252,2005,7,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.943548,183.30486,16.340782,200.76189,18.051,19.892,4.457,20.784,2.336,20,20,10,1.7,18.596899,74.22819,5.93387,0.7212333
252,2005,8,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.961694,40.93581,54.86442,95.41087,16.122,17.913,4.344,20.032,1.764,20,20,10,1.25,18.390305,72.36067,7.631395,0.7428166
252,2005,9,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.775694,32.16,47.8248,80.1972,15.632,16.467,4.041,17.926,1.544,20,20,10,0.9,23.71482,65.68024,8.470218,0.73141664
252,2005,10,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.985215,35.43579,25.353846,60.53556,13.316,13.243,2.595,21.006,1.584,20,20,10,1,26.867922,59.966934,10.735018,0.7266833
252,2005,11,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.988194,16.03629,31.5834,47.4318,5.592,6.866,0.944,26.97,1.372,20,20,10,0.9,21.113306,58.58924,17.387272,0.74861664
252,2005,12,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.950269,-0.4340124,31.14508,30.646135,3.013,3.742,0.554,29.362,1.461,20,20,10,0.15,20.194225,42.15335,34.653763,0.77913326
252,2006,1,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.916667,-0.8937672,26.552709,25.202039,1.008,1.685,0.81,26.437,0.522,20,20,10,0.9,21.532303,41.318157,33.40845,0.7861668
252,2006,2,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.936012,0.9221464,18.291028,19.112128,1.818,1.855,0.602,27.226,2.329,20,20,10,0.1,27.835947,34.13584,35.19921,0.81743324
252,2006,3,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.891801,2.3319502,22.044937,24.466967,4.038,4.207,1.341,29.246,2.079,20,20,10,0.35,24.164612,31.6409,41.68855,0.7446667
252,2006,4,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.757639,24.01857,19.99695,43.6782,9.145,10.07,2.799,32.769,1.309,20,20,10,0.7,23.41944,44.625664,29.540579,0.74373335
252,2006,5,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.889785,27.347394,32.55961,61.08705,13.709,15.448,3.578,32.491,4.443,20,20,10,1.05,25.10615,66.07753,7.3886356,0.72793335
252,2006,6,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.898611,284.8527,-131.9622,153.771,16.609,19.534,5.463,31.642,0.78,20,20,10,1.9,28.700466,67.98648,1.6682459,0.71080005
252,2006,7,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.933468,324.3716,-171.13922,151.93937,21.705,23.942,9.081,24.232,2.206,20,20,10,1.95,17.991138,69.44133,11.128821,0.7212333
252,2006,8,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.993952,71.56598,24.363334,96.05505,15.714,18.382,2.436,33.595,5.02,20,20,10,1.2,17.817038,61.51367,19.138544,0.7428166
252,2006,9,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.858333,31.3047,36.687,66.993,17.814,18.509,4.596,30.227,0.217,20,20,10,0.65,22.846493,64.50488,10.484256,0.73141664
252,2006,10,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.946237,24.06406,24.916126,49.04603,13.778,14.542,2.31,30.953,1.271,20,20,10,0.8,25.119637,57.43462,15.070099,0.7266833
252,2006,11,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.977778,36.8346,-0.2379654,36.5205,8.636,9.529,1.404,35.686,1.598,20,20,10,1.35,19.914677,59.10845,18.238266,0.74861664
252,2006,12,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.995968,32.06919,-2.9987416,29.111263,5.371,6.182,0.988,38.237,1.952,20,20,10,1.45,21.569197,47.274933,28.704739,0.77913326
252,2007,1,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.991935,45.08702,-4.710605,40.13477,6.604,6.482,1.223,39.044,2.08,20,20,10,0.8,22.724213,48.769096,25.844337,0.7861668
252,2007,2,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.96131,73.9354,-33.02964,41.3308,6.194,6.212,1.143,39.202,2.274,20,20,10,0.55,16.854822,46.542706,33.418907,0.81743324
252,2007,3,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.931452,162.68335,-88.7406,73.5847,7.02,7.444,1.926,39.507,2.108,20,20,10,1.15,22.994947,48.3599,26.438643,0.7446667
252,2007,4,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.917361,410.349,-251.9523,158.0769,12.597,14.205,5.469,31.263,0.053,20,20,10,2,36.069412,56.370934,5.6385775,0.74373335
252,2007,5,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.988575,452.6062,-233.97219,218.78157,13.905,16.012,3.152,31.732,2.652,20,20,10,2.25,31.364622,64.08405,2.9590697,0.72793335
252,2007,6,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.984028,415.236,-177.4404,238.3503,16.829,18.794,2.421,31.685,2.321,20,20,10,1.55,15.6137495,67.24151,16.530514,0.71080005
252,2007,7,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.969758,71.88404,78.41729,150.2415,16.876,18.174,4.57,33.337,2.448,20,20,10,1.75,16.138977,65.57916,17.005198,0.7212333
252,2007,8,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.935484,26.141494,69.51161,95.65298,16.614,17.888,3.731,34.833,2.808,20,20,10,0.95,19.674944,62.998962,15.575651,0.7428166
252,2007,9,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.968056,42.6321,45.8898,88.7808,13.454,14.813,2.829,33.496,2.322,20,20,10,1,25.440252,61.13189,11.215571,0.73141664
252,2007,10,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.995968,11.817324,54.85419,65.75131,9.836,11.024,1.653,35.817,2.052,20,20,10,0.8,23.816671,58.483646,15.155439,0.7266833
252,2007,11,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.988889,6.8376,30.9618,37.1511,6.434,6.334,0.83,37.864,2.034,20,20,10,0.5,18.529636,51.794395,26.731195,0.74861664
252,2007,12,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.984543,1.4588476,18.643245,20.041252,5.537,3.288,1.257,33.364,2.579,20,20,10,1.05,27.101078,35.06729,35.683468,0.77913326
252,2008,1,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.977823,1.8262007,29.975915,31.75454,7.935,5.34,1.608,38.947,2.369,20,20,10,0.75,24.545002,35.245842,36.607525,0.7861668
252,2008,2,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.966236,3.197714,25.367663,28.645359,7.293,4.799,1.976,37.389,2.696,20,20,10,0.35,23.595675,33.30658,40.32869,0.81743324
252,2008,3,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.981183,7.569952,19.706917,27.289052,7.743,6.386,2.119,39.436,7.48,20,20,10,0.35,16.405184,37.769634,43.217003,0.7446667
252,2008,4,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.920139,10.96749,30.9231,41.4891,10.595,9.773,3.533,36.786,2.871,20,20,10,0.95,25.75373,50.43351,21.684183,0.74373335
252,2008,5,"BE-Lon",50.5516,4.7462,"CRO","FLUXNET",0.831317,28.072484,35.48012,64.35011,17.846,16.921,7.475,31.148,5.041,20,20,10,1.4,33.21641,62.00524,3.096955,0.72793335
