"siteID","year","month","site","lat","lon","type","source","NEE_qc","GPP","NEE","RECO","Air_temperature","Soil_temperature","VPD","SWC","Precipation","SOC_0","SOC_10","SOC_30","LAI","BS","PV","NPV","CI"
228,2007,11,"AU-Ade",-13.0769,131.1178,"SAV","FLUXNET",0.966667,168.2961,1.760373,170.3595,28.135,30.413,11.965,24.1,5.832,15,15,10,1.35,8.855697,48.35087,39.544758,0.57486665
228,2007,12,"AU-Ade",-13.0769,131.1178,"SAV","FLUXNET",0.997984,252.99193,-49.44066,211.23462,27.875,30.392,9.979,30,6.944,15,15,10,1.45,9.568624,59.55972,27.428915,0.58915
228,2008,1,"AU-Ade",-13.0769,131.1178,"SAV","FLUXNET",0.998656,228.10482,-25.807872,202.59802,27.614,29.791,9.062,30.2,13.984,15,15,10,1.6,6.7707014,71.816086,19.535276,0.57720006
228,2008,2,"AU-Ade",-13.0769,131.1178,"SAV","FLUXNET",0.628592,151.22891,-38.42703,103.46272,26.376,29.072,6.332,32.3,15.3,15,15,10,1.25,6.7145267,72.151184,18.457424,0.5707833
228,2008,3,"AU-Ade",-13.0769,131.1178,"SAV","FLUXNET",0.883737,180.42651,-26.862089,154.13603,27.127,30.403,9.596,29.4,7.306,15,15,10,1.75,4.51675,71.66551,22.201834,0.6297
228,2008,4,"AU-Ade",-13.0769,131.1178,"SAV","FLUXNET",0.951389,145.3359,-51.7773,111.7527,26.606,31.799,17.95,22.9,0.643,15,15,10,1.7,2.1790535,59.92705,36.234997,0.6797167
228,2008,5,"AU-Ade",-13.0769,131.1178,"SAV","FLUXNET",0.973118,76.04176,-13.562283,66.57312,25.511,31.017,20.48,15.1,0,15,15,10,1.1,2.9522781,39.67873,55.719353,0.69449997
228,2008,6,"AU-Ade",-13.0769,131.1178,"SAV","FLUXNET",0.9875,36.639,0.01440327,37.3566,25.198,29.791,19.386,13.1,0,15,15,10,0.6,17.380877,24.285982,56.243343,0.67581666
228,2008,7,"AU-Ade",-13.0769,131.1178,"SAV","FLUXNET",0.990591,58.59,-20.011988,37.62563,24.378,29.02,20.775,12.5,0,15,15,10,0.7,16.870329,25.259426,55.773575,0.64708334
228,2008,8,"AU-Ade",-13.0769,131.1178,"SAV","FLUXNET",0.992608,73.82743,-34.90693,38.64708,25.695,31.769,22.664,11.9,0.039,15,15,10,0.7,18.332983,23.410492,56.370514,0.6567166
228,2008,9,"AU-Ade",-13.0769,131.1178,"SAV","FLUXNET",0.989583,68.1237,-7.67625,60.1248,28.26,34.815,19.268,12.4,0.108,15,15,10,0.8,19.211506,22.601988,56.159267,0.65073335
228,2008,10,"AU-Ade",-13.0769,131.1178,"SAV","FLUXNET",0.994624,100.45674,-10.048092,87.2526,29.753,35.325,20.89,14,0.681,15,15,10,0.9,22.247643,22.893383,51.936565,0.59133327
228,2008,11,"AU-Ade",-13.0769,131.1178,"SAV","FLUXNET",0.993056,104.6664,5.35473,109.8813,28.906,33.125,14.436,17.6,4.759,15,15,10,0.9,18.228672,27.886152,51.037346,0.57486665
228,2009,2,"AU-Ade",-13.0769,131.1178,"SAV","FLUXNET",0.991815,242.08268,-111.94764,133.59332,26.512,29.369,6.772,29.2,11.002,15,15,10,0.95,6.7501316,77.65751,14.013778,0.5707833
228,2009,3,"AU-Ade",-13.0769,131.1178,"SAV","FLUXNET",0.976478,286.53548,-101.46083,189.51695,28.117,31.134,14.636,23.7,2.063,15,15,10,2.5,5.850367,68.744606,23.627268,0.6297
228,2009,4,"AU-Ade",-13.0769,131.1178,"SAV","FLUXNET",0.970139,131.3553,-41.7045,89.7138,28.661,34.872,17.364,14.1,0.376,15,15,10,1.4,1.4025316,56.485077,40.871723,0.6797167
228,2009,5,"AU-Ade",-13.0769,131.1178,"SAV","FLUXNET",0.729839,62.10447,-12.858862,50.38833,26.618,31.131,19.393,12.6,0.34,15,15,10,1.05,6.2105927,33.555786,58.82682,0.69449997
229,2010,10,"AU-ASM",-22.283,133.249,"SAV","FLUXNET",0.940188,56.74395,-10.26751,46.53782,21.002,24.554,14.704,7.532,1.265,10,10,5,0.5,29.808355,21.23558,45.67902,0.75245005
229,2010,12,"AU-ASM",-22.283,133.249,"SAV","FLUXNET",0.821909,55.19271,-1.4674873,53.06363,27.522,32.628,24.919,6.841,2.639,10,10,5,0.5,32.579666,19.217875,44.58732,0.79341674
229,2011,1,"AU-ASM",-22.283,133.249,"SAV","FLUXNET",0.918011,61.24918,-6.171759,55.64779,29.386,34.683,25.6,5.626,1.781,10,10,5,0.5,31.371365,19.748775,45.35646,0.7740333
229,2011,2,"AU-ASM",-22.283,133.249,"SAV","FLUXNET",0.96503,108.5182,-7.498708,100.52364,26.499,29.519,14.256,10.694,5.721,10,10,5,0.65,22.258368,32.45556,41.880814,0.5231666
229,2011,3,"AU-ASM",-22.283,133.249,"SAV","FLUXNET",0.943548,139.81806,-31.90799,108.0226,23.875,26.904,10.799,10.781,4.039,10,10,5,0.6,16.960493,35.76426,43.625683,0.60455006
229,2011,4,"AU-ASM",-22.283,133.249,"SAV","FLUXNET",0.967361,107.6253,-41.9133,65.3103,20.468,24.641,15.364,4.409,0.007,10,10,5,0.7,18.848602,30.93559,46.866165,0.7678667
229,2011,5,"AU-ASM",-22.283,133.249,"SAV","FLUXNET",0.994624,42.8296,-19.28138,23.189891,15.111,19.437,10.671,3.924,0,10,10,5,0.5,20.23284,24.582354,51.95747,0.7837
229,2011,6,"AU-ASM",-22.283,133.249,"SAV","FLUXNET",0.972222,17.48772,-4.86231,12.11586,12.414,14.095,8.722,5.839,0.5,10,10,5,0.3,20.311247,23.879244,52.327217,0.7873834
229,2011,7,"AU-ASM",-22.283,133.249,"SAV","FLUXNET",0.952285,10.159971,-3.245359,6.629691,14.265,16.64,10.662,4.275,0.032,10,10,5,0.3,21.759336,20.561821,54.270817,0.7686999
229,2011,10,"AU-ASM",-22.283,133.249,"SAV","FLUXNET",0.807796,0.1454489,17.20128,18.441404,24.989,27.95,24.029,4.856,0.897,10,10,5,0.4,28.350248,13.530811,54.015934,0.75245005
229,2011,12,"AU-ASM",-22.283,133.249,"SAV","FLUXNET",0.938172,3.135836,7.791602,10.892346,28.947,35.343,30.235,3.432,0.361,10,10,5,0.3,31.978077,10.266279,53.092102,0.79341674
229,2012,1,"AU-ASM",-22.283,133.249,"SAV","FLUXNET",0.941532,20.62368,21.723188,41.9337,29.898,34.68,30.905,5.2,1.723,10,10,5,0.45,31.808846,12.2454405,51.49912,0.7740333
229,2012,2,"AU-ASM",-22.283,133.249,"SAV","FLUXNET",0.960489,8.686341,12.229677,21.053768,27.807,33.733,27.793,4.678,2.297,10,10,5,0.35,32.822365,10.70363,52.091064,0.5231666
229,2012,3,"AU-ASM",-22.283,133.249,"SAV","FLUXNET",0.991263,52.30754,2.1322916,54.41244,24.266,28.269,18.037,7.627,1.013,10,10,5,0.45,26.116314,18.663176,50.883118,0.60455006
229,2012,4,"AU-ASM",-22.283,133.249,"SAV","FLUXNET",0.968056,23.8359,3.34077,27.2559,21.358,24.54,16.945,6.43,1.08,10,10,5,0.3,25.261108,16.80182,53.543114,0.7678667
229,2012,5,"AU-ASM",-22.283,133.249,"SAV","FLUXNET",0.956317,12.117993,-2.1646618,9.965818,16.039,19.332,13.218,4.437,0,10,10,5,0.2,24.187994,15.549126,55.490543,0.7837
229,2012,6,"AU-ASM",-22.283,133.249,"SAV","FLUXNET",0.970833,7.15446,-3.69684,3.49821,12.881,15.889,10.036,4.027,0,10,10,5,0.2,24.760994,15.523013,55.049675,0.7873834
229,2012,7,"AU-ASM",-22.283,133.249,"SAV","FLUXNET",0.944892,5.688965,-2.9761395,2.7914725,11.976,14.904,10.025,3.888,0,10,10,5,0.2,26.471756,14.454146,54.50385,0.7686999
