"siteID","year","month","site","lat","lon","type","source","NEE_qc","GPP","NEE","RECO","Air_temperature","Soil_temperature","VPD","SWC","Precipation","SOC_0","SOC_10","SOC_30","LAI","BS","PV","NPV","CI"
262,2002,10,"CA-NS6",55.9167,-98.9644,"SHR","FLUXNET",0.990591,6.061678,18.112618,24.309921,-1.819,0.111,1.469,34.234,0.189,280,160,155,0.3,12.075005,52.496628,30.364702,0.7057834
262,2002,11,"CA-NS6",55.9167,-98.9644,"SHR","FLUXNET",0.966667,-0.969342,10.53489,9.42633,-9.646,-3.207,0.504,11.317,0.034,280,160,155,0.4,2.5339434,27.027735,62.157406,0.719
262,2003,4,"CA-NS6",55.9167,-98.9644,"SHR","FLUXNET",0.944444,6.32853,7.14684,12.94434,-0.664,-0.155,2.934,11.052,0.017,280,160,155,0.2,12.556635,34.031837,51.168945,0.6140667
262,2003,5,"CA-NS6",55.9167,-98.9644,"SHR","FLUXNET",0.972446,43.95831,-4.886251,37.36554,11.529,8.589,6.681,50.467,0,280,160,155,0.75,12.019608,42.367786,42.96157,0.58243334
262,2003,6,"CA-NS6",55.9167,-98.9644,"SHR","FLUXNET",0.957639,122.8143,-54.3318,66.5577,17.032,16.35,10.026,29.719,0.483,280,160,155,1.65,11.747325,62.60435,23.742977,0.57785
262,2003,7,"CA-NS6",55.9167,-98.9644,"SHR","FLUXNET",0.952957,128.01946,-44.65519,81.50272,19.77,19.468,11.235,20.724,0.706,280,160,155,1.8,11.567114,68.3917,18.12702,0.5761834
262,2003,8,"CA-NS6",55.9167,-98.9644,"SHR","FLUXNET",0.973118,99.34136,3.831569,102.83785,20.142,19.659,10.534,16.991,0.624,280,160,155,1.6,11.167487,67.909454,18.57641,0.6292
262,2003,9,"CA-NS6",55.9167,-98.9644,"SHR","FLUXNET",0.977778,39.7305,15.91956,55.455,10.542,10.357,4.239,20.448,1.799,280,160,155,0.65,9.994755,60.21566,26.138828,0.6817833
262,2003,10,"CA-NS6",55.9167,-98.9644,"SHR","FLUXNET",0.980511,8.162703,21.711656,29.422627,2.848,2.661,1.784,26.435,0.592,280,160,155,0.3,12.999364,51.156586,30.963882,0.7057834
262,2004,4,"CA-NS6",55.9167,-98.9644,"SHR","FLUXNET",0.970139,1.287063,11.47026,12.67224,-1.952,0.333,2.634,9.38,0.187,280,160,155,0.25,10.412149,20.26924,63.987213,0.6140667
262,2004,5,"CA-NS6",55.9167,-98.9644,"SHR","FLUXNET",0.936828,12.701258,6.773655,19.178522,3.999,3.736,4.756,37.764,0.517,280,160,155,0.6,11.034794,35.17656,51.33211,0.58243334
262,2004,6,"CA-NS6",55.9167,-98.9644,"SHR","FLUXNET",0.951389,66.0216,-17.42043,49.2936,12.425,9.399,6.931,63.855,1.773,280,160,155,1.25,11.3010235,47.200886,38.591805,0.57785
262,2004,7,"CA-NS6",55.9167,-98.9644,"SHR","FLUXNET",0.821909,133.19615,-52.77192,95.139,18.258,16.666,9.314,30.6,1.452,280,160,155,1.85,12.80199,67.61322,17.257156,0.5761834
262,2004,8,"CA-NS6",55.9167,-98.9644,"SHR","FLUXNET",0.951613,136.14332,-41.20954,95.3591,13.521,12.748,4.606,29.833,0.697,280,160,155,1.75,13.364259,71.129684,13.088307,0.6292
262,2004,9,"CA-NS6",55.9167,-98.9644,"SHR","FLUXNET",0.970833,50.1015,16.91022,65.8656,10.785,9.209,3.665,31.248,1.357,280,160,155,0.55,11.905699,62.51636,20.548237,0.6817833
262,2004,10,"CA-NS6",55.9167,-98.9644,"SHR","FLUXNET",0.975806,8.816183,19.907301,27.797979,1.267,1.924,1.853,30.398,0.688,280,160,155,0.3,14.536998,51.4689,28.536978,0.7057834
262,2004,11,"CA-NS6",55.9167,-98.9644,"SHR","FLUXNET",0.91875,2.668317,12.12447,14.05446,-8.716,-1.65,0.573,14.978,0.153,280,160,155,0.2,2.645741,12.345172,76.343124,0.719
262,2005,4,"CA-NS6",55.9167,-98.9644,"SHR","FLUXNET",0.981944,8.21154,8.62047,16.78992,3.88,0.881,3.89,15.573,0.272,280,160,155,0.4,11.557861,20.65245,63.48754,0.6140667
262,2005,5,"CA-NS6",55.9167,-98.9644,"SHR","FLUXNET",0.956317,26.397771,7.805428,34.65614,8.935,5.645,6.202,56.615,1.666,280,160,155,0.6,13.237346,40.038002,43.42114,0.58243334
262,2005,6,"CA-NS6",55.9167,-98.9644,"SHR","FLUXNET",0.964583,102.168,-45.8391,57.2967,14.623,10.648,7.699,60.335,2.95,280,160,155,1.9,13.054237,61.66462,22.30114,0.57785
262,2005,7,"CA-NS6",55.9167,-98.9644,"SHR","FLUXNET",0.965054,155.85591,-42.95174,113.24114,18.649,15.1,8.173,47.592,3.461,280,160,155,1.8,12.253969,70.919136,14.947368,0.5761834
262,2005,8,"CA-NS6",55.9167,-98.9644,"SHR","FLUXNET",0.982527,126.16659,-23.996449,102.24885,15.626,13.422,4.697,44.849,2.428,280,160,155,1.2,12.481285,71.77787,13.017314,0.6292
262,2005,9,"CA-NS6",55.9167,-98.9644,"SHR","FLUXNET",0.711111,52.2216,13.65564,66.1629,9.657,10.05,3.06,63.41,1.988,280,160,155,0.65,9.911621,63.151997,22.66652,0.6817833
263,2002,10,"CA-NS7",56.6358,-99.9483,"SHR","FLUXNET",0.953629,5.922271,26.186785,31.49569,-2.402,-1.465,1.336,11.1,0.411,275,180,85,0.2,11.11997,47.85391,36.260067,0.7370666
263,2003,4,"CA-NS7",56.6358,-99.9483,"SHR","FLUXNET",0.963889,2.143203,11.13399,12.07965,-2.108,0.297,2.722,7.244,0.2,275,180,85,0.1,14.830622,29.55167,53.069416,0.65376663
263,2003,5,"CA-NS7",56.6358,-99.9483,"SHR","FLUXNET",0.945565,22.006094,19.138036,40.28109,10.563,12.641,8.226,17.687,0.657,275,180,85,0.3,14.032379,36.88715,46.656773,0.61079997
263,2003,6,"CA-NS7",56.6358,-99.9483,"SHR","FLUXNET",0.950694,97.9479,-20.25711,75.2223,15.995,18.904,9.393,16.174,1.186,275,180,85,1.05,10.65867,51.67208,35.652496,0.59081674
263,2003,7,"CA-NS7",56.6358,-99.9483,"SHR","FLUXNET",0.909946,167.95304,-30.648305,132.80741,18.514,20.425,9.737,13.641,1.549,275,180,85,1.35,10.584545,59.928276,27.507668,0.5914166
263,2003,8,"CA-NS7",56.6358,-99.9483,"SHR","FLUXNET",0.93414,115.46694,20.455598,131.97785,19.301,18.736,9.575,12.069,0.902,275,180,85,0.95,9.533895,60.343426,27.601013,0.61918336
263,2003,9,"CA-NS7",56.6358,-99.9483,"SHR","FLUXNET",0.900694,35.8728,48.0123,75.3018,9.919,9.169,3.559,11.881,2.011,275,180,85,0.4,10.802494,53.890953,31.607065,0.6474832
263,2003,10,"CA-NS7",56.6358,-99.9483,"SHR","FLUXNET",0.775538,7.594659,25.542636,30.590428,2.538,2.944,1.683,12.154,0.632,275,180,85,0.1,15.539314,44.845154,34.945312,0.7370666
263,2004,5,"CA-NS7",56.6358,-99.9483,"SHR","FLUXNET",0.947581,22.906055,10.835833,32.1563,1.97,4.804,3.888,13.066,0.395,275,180,85,0.3,16.080101,27.141327,54.24307,0.61079997
263,2004,6,"CA-NS7",56.6358,-99.9483,"SHR","FLUXNET",0.990278,49.0056,21.25944,71.0676,12.491,13.835,7.122,19.84,2.23,275,180,85,0.55,13.286526,40.85115,43.174015,0.59081674
263,2004,7,"CA-NS7",56.6358,-99.9483,"SHR","FLUXNET",0.867608,128.16516,-43.18858,90.55193,17.825,19.118,9.79,16.078,0.279,275,180,85,1.25,10.017168,59.21202,28.493994,0.5914166
263,2004,8,"CA-NS7",56.6358,-99.9483,"SHR","FLUXNET",0.896505,144.32887,-43.84485,88.84631,13.106,13.105,5.18,13.78,1.111,275,180,85,1.3,10.127214,63.314808,24.280725,0.61918336
263,2004,9,"CA-NS7",56.6358,-99.9483,"SHR","FLUXNET",0.94375,41.8317,19.75203,55.8069,10.286,8.237,3.905,14.73,2.225,275,180,85,0.3,13.599434,53.332203,28.165277,0.6474832
263,2004,10,"CA-NS7",56.6358,-99.9483,"SHR","FLUXNET",0.97043,7.888663,24.688369,28.411128,0.493,0.479,1.847,15.873,0.667,275,180,85,0.15,16.669397,46.77635,30.72907,0.7370666
263,2005,4,"CA-NS7",56.6358,-99.9483,"SHR","FLUXNET",0.958333,5.98443,13.66329,19.12599,3.291,0.897,3.85,9.146,0.224,275,180,85,0.2,18.90796,15.79528,61.43476,0.65376663
263,2005,5,"CA-NS7",56.6358,-99.9483,"SHR","FLUXNET",0.954973,19.819819,12.709008,31.90179,8.252,8.514,6.013,21.493,1.394,275,180,85,0.35,15.524077,35.655426,45.959896,0.61079997
263,2005,6,"CA-NS7",56.6358,-99.9483,"SHR","FLUXNET",0.952778,79.0305,-21.91596,56.8077,14.887,15.809,8.823,19.202,1.806,275,180,85,1.15,11.688626,52.757465,33.233894,0.59081674
263,2005,7,"CA-NS7",56.6358,-99.9483,"SHR","FLUXNET",0.942876,137.04263,-32.14235,103.77715,18.074,17.919,8.7,16.218,4.084,275,180,85,1.35,10.824318,62.99356,24.030851,0.5914166
263,2005,8,"CA-NS7",56.6358,-99.9483,"SHR","FLUXNET",0.915323,101.7699,-11.703864,88.33543,14.692,14.053,4.327,17.089,2.995,275,180,85,1.1,12.0406065,60.942417,24.47612,0.61918336
263,2005,9,"CA-NS7",56.6358,-99.9483,"SHR","FLUXNET",0.490278,28.49595,26.07228,53.1333,8.76,8.008,3.08,18.395,2.133,275,180,85,0.35,10.805635,56.48981,27.906635,0.6474832
269,2002,4,"CA-SF3",54.0916,-106.0053,"SHR","FLUXNET",0,30.3402,18.51912,45.9873,-2.778,-3.559,2.372,12.702,0.945,215,170,160,0.3,13.096231,33.59098,50.092606,0.56074995
269,2002,5,"CA-SF3",54.0916,-106.0053,"SHR","FLUXNET",0,60.84432,19.241297,76.47111,6.016,12.995,7.002,21.956,0.407,215,170,160,0.45,13.119259,40.583958,43.722588,0.52854997
269,2002,6,"CA-SF3",54.0916,-106.0053,"SHR","FLUXNET",0,97.3968,15.54825,108.7266,16.145,13.001,9.89,21.881,1.658,215,170,160,1,9.424295,58.971474,28.921148,0.5172667
269,2002,7,"CA-SF3",54.0916,-106.0053,"SHR","FLUXNET",0,129.90488,-3.371498,121.9726,18.771,12.941,10.863,21.386,1.153,215,170,160,2,8.788337,67.45146,21.842081,0.5006666
269,2002,8,"CA-SF3",54.0916,-106.0053,"SHR","FLUXNET",0.670699,83.84911,13.886915,91.30523,13.995,13.585,5.873,20.317,1.342,215,170,160,1.3,10.289415,67.86673,19.940367,0.5184167
269,2002,9,"CA-SF3",54.0916,-106.0053,"SHR","FLUXNET",0.686111,40.7172,15.96909,56.5062,8.582,9.623,3.52,18.803,1.277,215,170,160,0.7,10.729023,65.66616,20.441462,0.54513335
269,2002,10,"CA-SF3",54.0916,-106.0053,"SHR","FLUXNET",0,0.04641041,29.122268,31.00558,-2.638,1.94,1.321,18.577,0.313,215,170,160,0.3,9.655845,52.114017,32.1018,0.5758667
269,2002,11,"CA-SF3",54.0916,-106.0053,"SHR","FLUXNET",0,-14.96295,37.194,22.34034,-7.123,-0.49,0.794,10.471,0.253,215,170,160,0.2,12.489303,43.7547,37.183956,0.57131666
269,2003,1,"CA-SF3",54.0916,-106.0053,"SHR","FLUXNET",0,25.878707,-25.138551,1.4701099e-06,-17.393,-6.544,0.604,7.974,0.156,215,170,160,0.1,7.505237,22.295155,62.358624,0.63106656
269,2003,4,"CA-SF3",54.0916,-106.0053,"SHR","FLUXNET",0.660417,23.53734,-7.03593,15.05001,2.792,1.016,4.078,20.066,0.296,215,170,160,0.4,16.457853,35.48802,45.16111,0.56074995
269,2003,5,"CA-SF3",54.0916,-106.0053,"SHR","FLUXNET",0.982527,52.60545,-12.04102,40.75539,10.73,7.518,7.634,23.4,0.788,215,170,160,0.65,12.68021,44.752502,39.527924,0.52854997
269,2003,6,"CA-SF3",54.0916,-106.0053,"SHR","FLUXNET",0.994444,99.7737,-27.06339,71.9625,14.51,12.018,7.314,21.181,2.028,215,170,160,1.4,9.671273,61.72011,26.347795,0.5172667
269,2003,7,"CA-SF3",54.0916,-106.0053,"SHR","FLUXNET",0.983871,122.53556,-19.358198,101.98535,16.975,15.027,7.864,18.647,1.349,215,170,160,2.1,8.769248,65.21027,23.88442,0.5006666
269,2003,8,"CA-SF3",54.0916,-106.0053,"SHR","FLUXNET",0.992608,104.94864,-1.4655157,103.15622,17.996,15.89,9.207,15.152,1.397,215,170,160,1.4,7.7928944,64.01769,25.36501,0.5184167
269,2003,9,"CA-SF3",54.0916,-106.0053,"SHR","FLUXNET",0.695833,36.5163,22.41288,58.6131,9.046,10.019,3.976,16.352,0.817,215,170,160,0.35,10.930305,62.49945,23.301643,0.54513335
269,2003,10,"CA-SF3",54.0916,-106.0053,"SHR","FLUXNET",0,25.960268,33.99894,60.24292,4.135,5.018,3.038,17.194,0.39,215,170,160,0.2,15.041158,49.239845,30.055145,0.5758667
269,2003,11,"CA-SF3",54.0916,-106.0053,"SHR","FLUXNET",0,-25.28184,40.8579,16.08459,-9.616,-1.732,0.819,9.561,0.02,215,170,160,0.2,18.738068,41.755222,33.71732,0.57131666
269,2004,4,"CA-SF3",54.0916,-106.0053,"SHR","FLUXNET",0.699306,22.04532,-12.14622,12.21771,1.996,0.616,3.623,24.218,0.712,215,170,160,0.4,16.211435,33.89617,46.904144,0.56074995
269,2004,5,"CA-SF3",54.0916,-106.0053,"SHR","FLUXNET",0.961022,37.93656,-12.055714,24.9085,5.51,3.991,4.655,26.168,1.177,215,170,160,0.5,13.546002,40.010662,43.840294,0.52854997
269,2004,6,"CA-SF3",54.0916,-106.0053,"SHR","FLUXNET",0.907639,62.5755,4.05759,64.5426,11.922,9.186,6.293,26.547,3.677,215,170,160,0.85,11.717062,52.28833,33.062786,0.5172667
269,2004,7,"CA-SF3",54.0916,-106.0053,"SHR","FLUXNET",0.917339,101.38271,-15.591202,82.93151,15.72,13.838,6.328,22.506,3.371,215,170,160,1.85,11.518906,67.12668,19.33977,0.5006666
269,2004,8,"CA-SF3",54.0916,-106.0053,"SHR","FLUXNET",0.975134,117.64469,-22.456152,96.96087,12.609,12.341,4.596,20.651,2.071,215,170,160,1.8,11.478771,68.86554,17.57425,0.5184167
269,2004,9,"CA-SF3",54.0916,-106.0053,"SHR","FLUXNET",0.611111,68.3709,13.239,82.2246,8.422,8.532,3.15,22.62,2.377,215,170,160,0.7,12.404048,62.7967,20.524967,0.54513335
