"siteID","year","month","site","lat","lon","type","source","NEE_qc","GPP","NEE","RECO","Air_temperature","Soil_temperature","VPD","SWC","Precipation","SOC_0","SOC_10","SOC_30","LAI","BS","PV","NPV","CI"
333,2011,8,"IT-CA2",42.3772,12.026,"CRO","FLUXNET",0.819892,17.065841,63.18761,82.80224,24.111,28.378,14.785,22.724,0.006,15,15,10,1.15,23.362095,46.316936,28.458387,0.71596676
333,2011,9,"IT-CA2",42.3772,12.026,"CRO","FLUXNET",0.00625,57.9873,9.50571,75.8244,21.613,23.096,10.453,21.496,4.008,15,15,10,0.85,24.446611,35.765484,37.91839,0.6660667
333,2011,10,"IT-CA2",42.3772,12.026,"CRO","FLUXNET",0.834677,126.72273,-60.60655,67.89155,15.306,16.064,6.383,20.964,1.277,15,15,10,1,23.332096,45.690163,28.942904,0.6499
333,2011,11,"IT-CA2",42.3772,12.026,"CRO","FLUXNET",0.982639,149.9124,-82.3098,66.5679,11.211,10.491,3.721,21.734,0.762,15,15,10,1.4,17.261772,55.89468,24.792418,0.75479996
333,2011,12,"IT-CA2",42.3772,12.026,"CRO","FLUXNET",0.71371,43.17463,10.218809,51.33755,8.629,8.141,3.082,21.365,0.854,15,15,10,1.4,16.566288,58.624523,22.738224,0.81345004
333,2012,1,"IT-CA2",42.3772,12.026,"CRO","FLUXNET",0.96371,36.5521,-4.661656,30.378853,6.45,5.564,3.162,21.252,0.737,15,15,10,1.15,17.068384,57.816616,23.002096,0.7915833
333,2012,2,"IT-CA2",42.3772,12.026,"CRO","FLUXNET",0.958333,34.09994,-8.433345,25.695769,4.255,4.073,2.968,21.268,2.458,15,15,10,1.15,18.259676,53.24468,26.627094,0.71935004
333,2012,3,"IT-CA2",42.3772,12.026,"CRO","FLUXNET",0.922715,165.65129,-88.68201,77.37476,11.674,12.329,6.478,20.771,0.099,15,15,10,1.6,18.61258,58.045647,21.66242,0.72268337
333,2012,4,"IT-CA2",42.3772,12.026,"CRO","FLUXNET",0.951389,209.7348,-92.0109,116.97,12.941,14.757,4.415,13.282,1.92,15,15,10,1.7,21.361288,64.451126,12.684679,0.6918333
333,2012,5,"IT-CA2",42.3772,12.026,"CRO","FLUXNET",0.874328,98.84846,18.195047,117.09413,15.847,19.815,6.327,13.383,1.905,15,15,10,1.3,20.677902,62.872417,14.880324,0.6895333
333,2012,6,"IT-CA2",42.3772,12.026,"CRO","FLUXNET",0.868056,53.5137,2.3022,75.9816,22.413,26.014,13.91,13.183,0.132,15,15,10,0.9,20.568548,42.473873,35.314518,0.7397
333,2012,7,"IT-CA2",42.3772,12.026,"CRO","FLUXNET",0.920699,103.27154,-19.163611,83.62126,25.394,29.383,17.459,14.232,0.077,15,15,10,0.7,19.512094,27.891289,51.244843,0.7487666
333,2012,8,"IT-CA2",42.3772,12.026,"CRO","FLUXNET",0.86828,47.57694,6.978658,53.01992,26.213,28.995,18.841,13.494,0.045,15,15,10,0.7,20.832417,26.281288,51.34517,0.71596676
333,2012,9,"IT-CA2",42.3772,12.026,"CRO","FLUXNET",0.956944,66.2175,34.8744,101.2587,20.671,21.563,7.263,17.291,2.727,15,15,10,0.85,25.963387,38.92419,32.921455,0.6660667
333,2012,10,"IT-CA2",42.3772,12.026,"CRO","FLUXNET",0.890457,20.23153,32.34726,52.83795,16.756,17.75,4.947,17.433,3.981,15,15,10,0.95,19.679193,58.89581,19.489676,0.6499
333,2012,11,"IT-CA2",42.3772,12.026,"CRO","FLUXNET",0.870139,18.27693,33.3498,51.9309,12.474,12.057,2.639,23.009,6.301,15,15,10,1,18.385,68.22436,11.806931,0.75479996
333,2012,12,"IT-CA2",42.3772,12.026,"CRO","FLUXNET",0.944892,9.648688,11.209228,19.891057,6.591,6.498,2.537,28.735,1.954,15,15,10,0.95,17.31387,65.68742,15.217738,0.81345004
333,2013,1,"IT-CA2",42.3772,12.026,"CRO","FLUXNET",0.938172,28.51535,3.0660736,30.597372,6.399,6.171,1.893,28.403,2.791,15,15,10,0.85,15.835965,56.607906,25.595322,0.7915833
333,2013,2,"IT-CA2",42.3772,12.026,"CRO","FLUXNET",0.969494,41.49516,-17.606652,23.240896,5.392,5.136,2.488,28.565,3.699,15,15,10,0.9,15.880642,53.17904,29.066612,0.71935004
333,2013,3,"IT-CA2",42.3772,12.026,"CRO","FLUXNET",0.971102,157.38204,-85.49645,70.20911,8.391,9.116,3.099,27.96,3.322,15,15,10,1.25,17.848385,57.396294,22.956936,0.72268337
333,2013,4,"IT-CA2",42.3772,12.026,"CRO","FLUXNET",0.960417,336.024,-213.081,126.4935,13.283,12.343,4.68,19.654,1.397,15,15,10,2.9,21.97903,70.5679,6.093711,0.6918333
333,2013,5,"IT-CA2",42.3772,12.026,"CRO","FLUXNET",0.928091,301.5091,-177.73447,124.09331,14.982,14.576,4.62,12.947,3.35,15,15,10,2.7,22.120321,70.18258,6.5630665,0.6895333
