RECO,RECO_base_01,RECO_causal_01,RECO_base_02,RECO_causal_02,RECO_base_03,RECO_causal_03,RECO_base_04,RECO_causal_04,RECO_base_05,RECO_causal_05,RECO_base_06,RECO_causal_06,RECO_base_07,RECO_causal_07,RECO_base_08,RECO_causal_08,RECO_base_09,RECO_causal_09,RECO_base_10,RECO_causal_10,RECO_base_11,RECO_causal_11,RECO_base_12,RECO_causal_12,RECO_base_13,RECO_causal_13,RECO_base_14,RECO_causal_14,RECO_base_15,RECO_causal_15,RECO_base_16,RECO_causal_16,RECO_base_17,RECO_causal_17,RECO_base_18,RECO_causal_18,RECO_base_19,RECO_causal_19,RECO_base_20,RECO_causal_20
33.73823,28.657522,34.01102,41.40181,37.691257,64.87942,51.39089,32.822643,24.92747,33.359535,28.985222,47.316444,38.19389,27.875978,27.510628,65.00336,70.71416,35.317886,28.427454,49.155994,43.192112,38.175907,36.45491,38.290096,46.23622,55.600677,60.21952,35.487488,38.723667,52.22679,40.740883,35.397137,24.336763,42.318913,46.67329,75.942764,85.570755,31.120224,47.094044,34.067455,33.087166
29.903127,40.59132,24.14114,43.255623,29.514475,57.801052,47.505592,25.749329,21.477,27.91738,24.13977,39.052258,30.477173,32.85781,26.623606,45.221985,43.254333,36.697342,31.116333,29.34549,23.838516,37.82243,31.561935,45.155945,38.46153,46.391094,36.391056,45.676704,35.935173,32.74173,20.333195,38.551758,20.846518,29.25206,27.67799,40.400913,25.410677,26.716324,34.03883,28.982956,24.659948
41.88007,45.025066,29.458763,30.852442,23.912355,52.869164,49.069435,35.896152,36.49916,22.178001,36.30485,45.35902,36.461403,25.342989,30.042389,39.056923,46.347702,32.917923,37.127396,34.3736,35.736862,25.240171,28.84397,38.850063,45.400955,42.948593,36.186047,38.316833,36.690292,30.73429,28.54151,28.156689,27.792143,34.276543,36.94106,42.189045,48.50888,24.219004,37.74384,27.966541,27.529734
124.8624,68.46871,55.347996,72.608505,49.527493,95.23995,76.749985,72.19805,87.18959,57.70222,51.785076,64.568665,41.4413,54.931496,41.917522,74.09599,61.959667,56.97768,59.79357,64.51848,72.48322,85.382835,67.523285,70.90462,61.410503,76.22244,70.91886,73.4197,61.86027,61.511215,64.99571,73.949814,59.809334,74.04791,59.150604,79.00669,76.719604,59.319702,66.94365,61.523552,74.34599
239.91117,136.55507,137.68004,101.02679,95.349174,132.72673,135.62076,141.07327,143.19234,116.93846,105.94428,130.94261,157.60605,117.30124,116.785416,100.122406,94.9307,98.47432,93.4777,121.2794,112.16911,142.13135,151.57944,110.57524,113.38162,103.89598,109.784615,118.26562,123.96909,108.42393,108.42206,102.447044,105.95265,141.89925,147.42642,129.93626,145.43158,119.31679,112.684006,109.5837,123.49213
251.9466,177.76634,173.5451,162.23224,171.3288,153.18414,159.42505,168.02516,168.1318,144.43405,132.0265,161.79697,155.02275,125.75902,128.19685,116.0674,105.13974,155.16852,163.4012,199.12509,205.77592,161.03242,161.73763,138.16008,120.230774,128.8328,128.25644,191.25092,184.25516,136.36458,151.89944,131.03465,149.75902,152.34033,150.19057,166.38644,155.24098,160.35553,139.3622,203.87088,193.73466
217.44888,131.5498,123.480156,118.8265,89.66929,135.51158,124.58343,137.73427,142.25533,141.84966,127.15511,127.79944,112.561195,138.40514,154.02278,156.3547,160.74,148.13991,146.59567,148.26181,135.49683,147.54092,143.78134,164.5522,164.93372,123.74356,130.30084,133.1917,135.55754,163.71945,144.9933,130.24065,115.48658,157.12321,132.7895,135.98346,141.46388,166.93147,143.67264,141.36794,141.27919
157.55006,80.59609,60.281464,105.00749,80.95165,95.37072,85.644035,106.30459,91.15525,100.99719,61.893753,104.00747,71.9034,101.57787,94.62591,125.86578,89.61285,110.7788,90.16769,78.601395,47.793736,88.11524,64.243256,99.01534,93.23461,73.771126,63.52921,102.96545,70.50811,105.027954,71.99572,97.8572,83.3687,84.7878,63.496437,88.66216,46.994076,127.162834,86.4346,101.36315,96.9837
141.0492,70.51891,51.30048,98.18362,79.14263,110.580574,84.49627,92.31655,83.74725,76.87879,51.198765,101.321045,78.60278,84.86666,83.285065,85.85322,72.87993,92.19017,75.465355,57.517006,55.92649,96.59851,76.937004,83.49849,80.98086,64.71352,66.5138,75.98853,60.993732,87.91566,75.52971,104.61115,90.6831,81.0902,66.5422,97.65342,70.145454,91.78996,82.126816,76.5351,65.022095
84.32775,65.82681,51.97803,76.03507,58.4365,75.39355,69.38147,71.118576,62.670124,57.31107,44.58193,70.5891,51.778507,43.551502,46.704727,61.696068,53.269142,51.64059,48.102394,57.876945,75.26051,79.63433,70.73823,58.1323,62.025124,53.680737,53.93839,59.392677,64.33909,71.50573,64.30265,66.34583,60.17916,72.74469,60.81476,63.82621,62.548264,69.02327,75.627846,61.783394,65.31386
43.8978,49.772957,41.99445,42.607964,39.56841,68.89542,52.056,54.646942,54.7728,39.963795,35.942913,49.145294,48.23958,26.76656,23.167297,42.511723,37.199547,35.580444,29.652353,47.096264,58.611275,32.029663,37.894104,34.526394,35.974144,42.400898,50.420887,50.098812,46.414886,42.623615,53.45975,44.422493,41.41796,47.05235,42.16969,42.716373,32.235985,58.44237,65.809685,48.656124,52.528343
63.9501,53.36731,43.653843,45.133812,23.377298,65.838135,47.771587,62.365852,68.26564,40.232124,46.089855,47.736267,31.475346,49.09067,38.82334,55.68104,48.137573,47.59164,42.654484,44.001263,50.36571,43.89383,34.84095,54.818214,48.011143,60.197914,53.400745,47.044125,40.304226,32.305523,38.35103,49.37745,43.717487,46.592846,43.137836,56.315193,51.513668,52.83427,50.2503,28.349598,36.709484
153.29128,103.74404,88.432686,134.12582,126.77998,122.7981,125.60495,141.01619,142.33772,115.71622,113.42263,128.14638,114.4801,115.80744,110.178345,113.75087,99.5225,82.72981,77.83392,152.36119,155.99417,136.49634,143.16847,111.79142,93.97283,119.258934,112.5835,129.4877,129.14128,129.44397,138.9198,113.16227,130.04387,117.932816,122.00894,145.53325,143.97707,95.30914,95.81795,129.37953,129.2603
255.5136,196.83446,192.23454,167.10034,175.00674,164.60585,160.6074,189.28056,185.41129,148.4994,125.78215,152.85774,144.74727,145.9235,145.13791,158.33539,151.52011,170.51088,175.59549,205.95523,203.90756,172.0653,169.84528,173.86157,165.7509,158.74425,135.8324,176.91785,182.77954,151.55524,151.75157,146.4366,170.53006,134.99677,146.7467,151.58336,148.10799,166.90755,156.07059,185.58696,182.92464
186.10292,161.52861,135.36116,198.79489,182.07532,230.24013,192.2426,172.83177,185.14613,186.64966,171.92685,173.75536,143.29424,160.45311,142.65543,233.88588,195.50853,166.58978,152.3401,171.8334,167.80429,196.13655,161.42177,212.34912,181.45503,215.2604,200.89436,205.32991,173.82771,179.46432,176.2335,173.8677,146.725,197.11946,163.52727,181.3459,187.92958,181.88454,146.8643,143.0596,156.23132
120.24094,63.89033,41.018764,101.965935,87.18897,81.513145,77.96407,99.465515,87.47901,81.59258,73.132225,103.511665,71.07434,89.76296,84.93942,100.848595,71.029724,110.52842,92.13199,76.08795,47.602715,85.98751,64.89285,83.332,71.91036,69.01098,65.14518,86.97704,77.83219,110.177284,91.78478,87.580246,52.953785,89.231125,55.666775,82.06765,44.588642,118.49922,89.239525,105.77873,103.12939
107.766,110.134315,84.18958,113.15878,92.14836,111.50607,97.926735,104.29225,120.861916,128.2689,109.21665,114.94166,89.56291,110.30769,98.34645,127.31953,84.24194,101.30272,78.18547,78.57546,67.61831,133.57681,89.04373,96.60389,83.17889,94.87518,91.03694,83.7689,69.021454,109.58838,95.49194,120.57667,124.493965,104.36601,82.52626,121.01859,102.72768,119.51486,106.63384,98.47239,115.39869
135.01306,96.511765,101.328125,84.84039,64.05786,98.035904,93.527504,96.39108,78.85723,79.39765,66.66395,88.74406,88.2827,64.18224,76.2997,79.11329,87.87523,55.6737,46.600464,86.42276,94.75669,116.50967,97.45526,76.791954,71.89992,73.72351,65.13409,83.0835,81.723366,93.39541,88.09551,77.51815,76.8437,98.22043,99.52145,102.13971,97.84171,110.192696,98.52042,112.92415,106.11718
84.6336,56.036064,39.66624,50.474636,34.057945,66.04584,48.475605,53.10774,40.33236,35.05905,32.934402,51.309277,40.623444,37.149864,31.305231,49.70751,42.722946,35.978806,30.733807,47.81223,46.933372,44.598644,37.54857,41.307323,38.67991,45.344215,41.815025,50.97964,39.268837,46.304886,51.277267,43.842846,35.681324,45.296864,37.095135,46.67284,34.072605,40.17311,48.775856,46.852337,44.82079
40.35084,53.76446,49.386436,41.23086,33.65744,76.53708,56.735832,38.4074,26.641733,36.481686,30.914976,45.00307,41.935165,33.348774,36.837196,57.91252,70.92817,35.249683,31.138348,54.559437,54.060326,40.23855,37.57479,40.367237,44.06076,61.463894,60.86658,38.80346,38.760487,54.723545,48.892467,35.85023,24.727285,44.400566,50.316147,78.849434,87.57399,32.29879,47.38478,36.859028,37.7534
30.011968,60.59199,43.385242,45.549732,38.576683,61.587498,39.263123,40.831306,39.92893,39.51226,29.551277,44.379055,33.927307,28.711237,25.164253,37.579628,30.020391,40.17506,29.526442,57.18907,54.4414,37.317112,28.127348,45.79917,36.925674,47.272636,45.191673,51.07695,40.856586,45.09476,33.611156,32.91064,22.088928,37.997383,27.2842,47.61149,37.4361,41.680225,33.789658,37.44052,34.399437
25.597628,48.728806,48.07704,41.785843,37.721004,56.752346,33.626366,34.32939,35.361362,28.02287,27.05209,37.88573,27.67076,26.358086,26.340754,30.634338,28.001268,32.65965,27.882118,33.667698,38.380463,25.003376,24.041546,33.774574,32.10829,47.223866,42.978916,42.639694,37.390663,36.276974,34.779743,27.532507,24.201849,35.37933,28.366358,39.495464,29.775347,33.973526,32.985504,31.145031,34.072144
45.20916,59.456608,46.10208,50.903286,38.111637,64.70979,53.793846,51.316856,49.414425,35.75863,37.871284,59.25057,44.424854,41.62052,40.486633,43.953053,48.175766,47.23249,45.663578,50.01745,54.230534,39.78521,40.395554,52.42914,45.74316,44.53003,51.375423,46.942497,39.614,45.470768,47.71202,39.424168,36.801067,41.88117,35.17751,55.058052,46.55706,40.48471,48.759716,47.812004,55.312305
79.3779,79.713455,56.484924,93.67923,64.83833,100.92486,78.56731,89.462906,85.95918,83.291916,52.861168,90.66305,62.34192,70.283264,53.10366,67.780495,40.31034,70.825,61.065742,67.2239,68.447365,94.66358,77.0882,81.56458,67.983505,82.170654,71.19901,98.85853,55.218266,89.12613,81.42793,87.35776,72.62038,63.108437,45.575497,86.9371,59.01785,97.70433,92.905334,94.72177,83.94542
127.69024,84.62454,51.25927,130.56982,95.02709,99.61239,82.17477,142.95563,138.67842,114.258316,93.5881,117.37999,103.07487,107.207375,117.85785,116.76302,76.087326,97.08314,66.76138,102.28412,77.184586,97.75331,71.14791,112.85517,95.60844,99.04367,81.03357,88.78646,65.12487,104.43178,124.91408,122.522804,121.4129,89.38179,70.89925,108.93994,109.03148,95.14263,105.48219,114.58211,113.46604
150.6819,150.72217,143.86595,142.09558,109.7111,150.52164,144.91562,196.96797,195.5093,130.59789,129.24016,113.338715,105.44273,139.91295,140.73448,150.9543,147.75278,157.73949,169.48708,166.34402,150.21835,171.71916,167.89366,165.53165,152.5777,186.6845,180.71472,158.20374,147.05182,158.05254,146.95195,154.99814,149.01976,143.78639,129.00586,151.75511,141.07602,159.39943,142.76639,158.46507,159.34688
193.82316,161.52977,165.40068,140.94334,119.22789,144.29163,143.40274,158.10776,155.23349,152.84735,137.8971,150.50185,128.07164,128.03015,133.01587,156.90724,167.74597,136.57068,127.47768,143.7378,126.695305,172.66298,175.3911,164.02196,164.94174,138.55261,136.56822,146.91139,122.68667,148.53543,109.507614,142.4861,132.91986,152.0626,156.73755,158.13985,164.3794,149.19574,139.60529,113.91833,106.749596
208.07169,150.08963,147.25291,125.133286,127.73728,151.7009,158.57289,151.20331,137.17688,151.75737,146.02153,155.89973,143.23843,117.5144,113.36522,148.25821,154.35538,113.30165,114.50021,149.06987,135.5766,156.28023,153.32854,154.2161,155.19806,122.55704,113.414024,114.01708,114.09359,133.39761,119.40345,125.07998,114.88366,127.758255,135.19142,152.53915,159.11862,163.40833,158.77408,145.55615,123.13018
125.1657,77.83902,70.705414,82.35248,66.806145,97.80451,111.68602,101.99893,85.97094,70.39763,58.518887,83.29325,80.01512,58.34106,67.174736,90.46866,93.6761,74.08167,74.237434,83.902466,84.87819,119.90736,110.12673,80.95642,80.34529,80.6489,76.37852,98.83491,106.41556,84.68215,84.7192,83.44408,81.44649,95.63917,103.84026,106.13742,102.35781,93.33124,85.589355,77.61942,79.500275
44.50546,55.86289,43.57892,49.780254,38.013897,70.087,57.05208,56.15673,52.76661,38.842907,45.294823,60.7062,53.428806,47.3416,43.67392,60.687218,60.657948,44.248222,45.24469,45.825047,52.39722,41.3579,44.172432,52.02348,50.93162,50.310734,54.027588,42.26721,41.098263,42.085613,40.954002,37.552223,39.87216,49.765152,46.07637,53.792427,47.14627,43.66884,56.002308,47.995728,46.84356
22.419541,34.99459,20.439583,31.051514,31.209742,55.018898,53.03867,25.964304,24.637089,28.404016,26.61932,38.246933,25.95719,25.60837,26.100649,38.563995,43.132656,33.33966,28.52859,25.865034,25.904953,36.54708,30.249804,34.116467,36.616505,39.06338,27.800344,37.47179,42.73785,34.85839,25.311527,30.590075,18.544655,34.37661,27.080189,34.015156,17.679434,32.625362,35.13989,26.93133,25.42365
