RECO,RECO_base_01,RECO_causal_01,RECO_base_02,RECO_causal_02,RECO_base_03,RECO_causal_03,RECO_base_04,RECO_causal_04,RECO_base_05,RECO_causal_05,RECO_base_06,RECO_causal_06,RECO_base_07,RECO_causal_07,RECO_base_08,RECO_causal_08,RECO_base_09,RECO_causal_09,RECO_base_10,RECO_causal_10,RECO_base_11,RECO_causal_11,RECO_base_12,RECO_causal_12,RECO_base_13,RECO_causal_13,RECO_base_14,RECO_causal_14,RECO_base_15,RECO_causal_15,RECO_base_16,RECO_causal_16,RECO_base_17,RECO_causal_17,RECO_base_18,RECO_causal_18,RECO_base_19,RECO_causal_19,RECO_base_20,RECO_causal_20
54.2619,55.975285,59.451267,61.106537,51.28345,63.06981,59.78591,61.66065,59.388218,68.800735,76.3845,67.28322,65.73175,51.032085,58.211926,64.52938,58.902374,58.795208,52.768948,60.41439,51.20135,63.61118,63.659397,58.467533,61.81599,61.77377,66.511894,62.06962,60.014324,50.843468,57.307533,61.012672,61.224155,70.14832,59.036217,60.91695,69.043755,62.818287,54.49304,60.16638,71.45788
133.16391,106.689445,104.490364,105.18485,112.354416,121.45119,104.98729,122.36737,106.832306,114.46149,124.53263,109.593575,117.00793,119.41589,104.07731,95.42476,89.946976,110.34814,114.76572,121.97306,112.87782,120.93587,99.38674,107.83204,103.05,114.04453,122.15545,113.94869,102.96108,115.246025,106.29929,110.51639,118.03214,113.5836,92.18512,117.709236,112.96412,121.740654,92.97517,124.971954,113.0093
165.7638,149.471,147.8225,139.87482,157.30423,145.69553,141.14896,156.59348,160.1643,166.73576,136.5006,153.73666,158.19685,152.48813,159.24243,174.93494,168.64978,159.90071,154.33325,116.38072,135.76598,184.96524,187.0431,147.72377,141.65431,180.82512,195.23123,163.5846,155.99092,164.57895,174.40907,172.07918,147.4287,149.26186,154.51039,149.26277,135.82108,161.3038,163.17772,173.32034,166.74408
370.6918,171.37305,167.75406,158.91666,161.92456,171.92694,177.343,152.03716,152.4868,156.77263,142.06883,152.3627,147.55223,174.26454,169.96632,172.07355,172.86623,161.47897,146.26817,161.63704,173.279,177.72299,193.36627,172.77069,167.23752,158.93658,159.32867,170.87897,173.83789,191.06082,175.0144,161.60168,158.30946,172.61046,180.70639,187.65247,183.2062,149.19241,153.58281,163.6975,181.7311
161.07135,160.8807,154.12389,158.765,160.2923,147.19841,167.84825,152.62404,148.9342,146.96625,144.45116,146.11565,141.55475,163.31393,167.20045,173.99153,172.26285,161.29477,150.71373,154.78119,173.77869,177.35841,191.45523,153.7626,163.06769,160.77078,161.63129,162.21423,165.07254,158.4423,168.95644,147.63135,151.71182,165.8609,166.72699,166.82579,167.93478,145.54285,137.35176,159.0249,151.4083
112.6662,105.7745,99.88522,96.947655,98.024155,110.59277,105.27429,104.27078,96.32298,122.05634,127.589,115.365875,110.37584,117.881615,104.2777,101.43886,106.89616,95.91136,108.13425,112.09819,111.275116,113.100266,90.68509,86.68165,90.93019,113.15946,118.30801,94.47065,104.64421,131.9908,118.9562,110.31029,114.858574,103.05411,103.05449,116.303856,119.12241,108.99972,104.991714,120.77004,118.61287
72.90456,58.1938,59.752773,70.252884,57.922333,62.868023,61.155308,63.2849,66.19338,68.33141,72.998566,66.57143,66.73882,48.58422,54.61432,60.87034,59.221546,59.738804,62.469463,54.192215,53.976917,58.592983,66.4516,61.411705,63.20669,49.961086,63.809864,59.548397,66.65004,63.774235,64.3536,60.446793,61.78109,64.571365,60.669147,61.72367,74.47677,65.1157,59.69495,56.797546,73.629745
52.1781,51.58894,71.287865,55.761547,52.856773,59.2399,58.887123,51.117626,60.06906,49.375175,60.964268,48.808643,54.97737,43.92453,56.620247,39.000698,47.289215,51.692062,55.597767,43.314716,44.514004,53.232616,54.700905,53.591415,56.035824,46.598515,57.787174,48.150005,47.833996,54.970966,61.52965,53.2063,58.26258,48.128864,55.952896,45.442646,58.49051,53.452213,55.1691,50.590202,61.603783
21.581239,34.6069,28.172567,36.609673,31.352234,30.484076,31.308504,43.55588,39.713253,37.304474,34.905712,35.85386,31.682533,31.814478,29.878977,32.144943,36.427074,35.246655,32.471405,25.10663,21.721506,32.492737,28.074266,32.90762,29.755371,26.881208,29.993502,38.592983,34.265106,35.276203,29.04453,50.566673,41.979206,35.377205,35.24624,30.719568,32.94574,39.755306,31.042257,29.663954,28.404049
36.3144,42.172256,45.51282,47.58264,41.216755,48.19415,46.186344,48.354954,50.508656,50.41332,51.167625,54.725315,52.056187,41.8273,43.22606,54.143814,49.448444,44.368156,47.280563,44.955643,40.171608,44.240894,46.937363,46.900826,48.489147,48.84063,51.743202,50.427437,43.745186,44.172176,43.136166,49.956757,49.838314,39.499626,42.109272,46.722572,49.766342,56.44288,48.99509,44.046238,45.887226
