RECO,RECO_base_01,RECO_causal_01,RECO_base_02,RECO_causal_02,RECO_base_03,RECO_causal_03,RECO_base_04,RECO_causal_04,RECO_base_05,RECO_causal_05,RECO_base_06,RECO_causal_06,RECO_base_07,RECO_causal_07,RECO_base_08,RECO_causal_08,RECO_base_09,RECO_causal_09,RECO_base_10,RECO_causal_10,RECO_base_11,RECO_causal_11,RECO_base_12,RECO_causal_12,RECO_base_13,RECO_causal_13,RECO_base_14,RECO_causal_14,RECO_base_15,RECO_causal_15,RECO_base_16,RECO_causal_16,RECO_base_17,RECO_causal_17,RECO_base_18,RECO_causal_18,RECO_base_19,RECO_causal_19,RECO_base_20,RECO_causal_20
143.95098,91.20148,66.355995,107.50967,95.9856,144.48267,133.70442,86.85238,55.257072,51.195374,52.638645,111.79888,97.29009,75.62702,67.77664,81.2156,98.99908,95.17708,127.16909,126.70989,122.23947,77.81353,56.477203,94.07165,95.34087,76.807594,107.436226,60.44669,63.503002,54.026485,47.393997,82.99151,98.664375,117.829994,94.5864,69.42102,81.842545,76.72063,78.6646,41.981808,65.98468
45.95905,83.788864,115.7286,77.326706,66.78417,96.72158,104.396515,117.575554,135.18936,41.244225,54.01304,81.916374,73.37222,57.224854,61.57532,83.83709,96.49835,73.6202,110.34923,128.20076,129.74829,130.58757,182.24367,84.58702,91.248566,72.48701,108.84501,51.218575,58.41919,57.33916,63.7749,68.34901,98.472244,57.47573,61.384094,70.238304,83.668434,88.277,123.68574,54.756348,102.62176
216.3735,76.84137,80.06966,87.01429,73.3495,61.04739,55.4468,160.48392,193.2563,62.469666,78.2521,63.061596,72.76903,46.701393,54.029488,70.88682,113.94508,104.94468,162.62039,72.63639,77.011795,125.869194,179.43948,75.378174,74.26531,70.04741,108.25196,32.278557,33.197716,97.60814,127.29366,62.133038,56.043343,49.891014,63.342392,70.898285,79.416534,112.401245,172.9532,44.18288,67.27857
196.4315,71.35793,95.45659,77.952446,67.49518,65.11909,67.14563,164.74466,197.65808,69.691986,94.42961,47.84006,73.24199,53.979168,78.320404,72.26815,121.242645,119.71832,175.24303,70.19698,76.88658,125.378075,183.79918,88.435326,91.24122,65.3118,109.17077,27.366379,35.593468,113.7629,141.342,48.113987,55.285328,50.091774,75.02775,72.24459,78.9443,143.33469,185.87794,46.7557,82.37336
319.587,73.29347,99.93573,93.314575,88.27872,84.8945,94.28888,164.46521,188.40527,81.24212,100.711716,98.394424,96.75398,61.1214,81.18619,94.674805,128.02943,138.85811,183.98564,80.88544,80.13495,135.88017,183.85469,102.87941,94.24714,78.611145,120.95212,56.060562,52.679935,102.389,139.01424,85.35594,80.17642,78.75411,102.21983,96.87861,96.96843,145.02367,201.78845,61.982403,92.747765
322.2667,74.317894,96.860405,106.38699,87.420074,81.49805,89.3379,163.72171,192.20744,80.71843,98.96918,83.794655,98.67096,86.43454,95.59065,84.02173,126.88035,136.91124,178.88959,83.58622,79.723206,139.03708,188.0896,98.24563,96.65882,86.65621,116.43972,55.408043,50.242245,135.2626,158.58894,129.31854,98.31978,73.810684,100.59309,97.81311,102.30677,147.68921,197.30305,67.79438,89.73176
276.49768,111.479866,126.90427,110.977165,94.14965,111.919464,113.959015,164.24239,195.9966,124.61209,127.32763,148.49518,167.365,109.84635,117.23491,107.03988,132.93195,147.1801,186.27193,125.265175,104.44829,190.81726,206.3075,134.7727,126.14787,170.14058,176.49586,130.21469,126.269295,164.89357,174.78755,164.97406,138.56154,83.89739,108.28664,122.7905,128.85818,158.94969,208.08395,117.41,140.46129
487.5976,95.58262,107.989845,122.353165,100.171776,115.43039,127.04909,178.50975,204.44467,99.62752,114.6256,115.02309,146.54395,99.60274,120.3743,87.93156,129.73453,169.35048,174.36333,133.52177,112.32304,165.42078,189.80608,120.57485,107.31703,124.50873,122.82414,118.59942,110.781105,169.55664,169.4136,143.83792,110.30981,86.15738,113.096825,130.56694,144.28448,165.51599,198.69923,114.27333,134.85751
434.8773,112.1899,132.10376,110.24342,108.493614,124.06676,144.12863,164.01726,203.52168,117.73551,123.06848,127.16994,157.74707,117.045685,117.47072,87.22369,128.19182,142.71332,175.7674,117.11668,110.33784,167.2883,199.06688,108.024796,105.11757,155.65459,172.0959,105.75661,115.99296,146.46442,164.08685,147.08636,116.54686,85.596146,111.282135,136.20314,148.3642,162.50174,201.33592,144.02455,161.61763
271.1619,95.705154,134.7706,123.99114,111.52603,148.95311,147.10985,163.50679,194.25868,83.11705,96.07418,116.877846,129.5853,116.14205,116.75572,108.60375,127.21116,129.88715,173.43683,148.92342,132.34525,148.93494,193.99976,97.65928,98.96457,91.547035,130.89813,79.54166,74.38096,119.413506,155.49057,117.20191,108.9182,100.56756,118.83901,131.03142,139.9368,152.45569,204.89214,102.26791,113.0456
161.08189,116.08261,156.8201,121.71237,133.62505,132.62013,146.31442,163.56224,181.69557,82.90908,94.0298,117.47815,119.86563,97.61336,115.465805,104.072685,134.2235,98.69569,168.89992,147.81737,147.17729,162.35143,184.6922,96.56478,106.854774,89.70823,120.65349,72.94552,94.90841,112.80492,146.36424,104.09639,111.39087,101.26572,103.27,94.66204,128.30565,121.710045,175.97858,83.68829,114.9237
119.0436,91.106186,85.64262,102.67076,101.22354,157.14853,152.18854,81.40423,57.179543,40.295567,53.600864,107.02417,131.07504,97.6584,96.04042,89.72247,98.96305,109.911934,132.6074,127.296165,125.62454,68.443016,69.9484,108.80905,101.68531,97.50243,113.26026,57.198635,76.555374,55.797314,57.567825,73.039734,119.52125,126.842545,107.43273,65.983246,84.620605,94.773674,88.52684,62.82435,86.28406
99.944,53.341072,58.40528,75.22352,67.197784,101.740234,121.1844,67.42607,61.557716,36.41997,47.918972,75.41968,107.042984,86.6214,91.95204,85.406845,96.15115,70.63103,109.333626,117.90616,120.33415,64.69752,70.15304,86.73659,86.38472,89.39574,106.21148,50.458984,59.779526,52.438705,45.85377,60.530247,115.10306,74.113174,75.181984,58.72836,63.237892,73.21479,83.96102,45.327427,77.65679
