RECO,RECO_base_01,RECO_causal_01,RECO_base_02,RECO_causal_02,RECO_base_03,RECO_causal_03,RECO_base_04,RECO_causal_04,RECO_base_05,RECO_causal_05,RECO_base_06,RECO_causal_06,RECO_base_07,RECO_causal_07,RECO_base_08,RECO_causal_08,RECO_base_09,RECO_causal_09,RECO_base_10,RECO_causal_10,RECO_base_11,RECO_causal_11,RECO_base_12,RECO_causal_12,RECO_base_13,RECO_causal_13,RECO_base_14,RECO_causal_14,RECO_base_15,RECO_causal_15,RECO_base_16,RECO_causal_16,RECO_base_17,RECO_causal_17,RECO_base_18,RECO_causal_18,RECO_base_19,RECO_causal_19,RECO_base_20,RECO_causal_20
50.0681,53.55009,43.57727,45.626106,49.642845,48.00284,46.95832,40.04818,46.365887,52.90373,61.42825,34.82363,39.78928,40.479725,57.110764,27.871243,29.332561,50.681107,66.77789,49.167538,69.96319,40.19798,42.764805,46.12052,54.305023,42.38442,36.45551,38.76636,41.91355,53.72168,52.17003,39.98015,44.455162,42.82093,38.23216,38.379326,40.53251,48.459335,44.451683,37.62792,40.466805
127.9278,106.18061,100.782646,90.88125,91.65453,116.12116,136.23007,124.15902,145.11688,142.02577,126.38254,119.02045,135.2331,111.492805,123.3074,94.31831,104.32645,115.73204,122.180534,110.75718,108.91067,130.57126,91.592026,112.47812,111.03517,134.7594,152.18747,119.30034,100.412506,103.9605,108.69733,98.580086,96.304634,122.51452,113.49021,119.367775,109.69972,106.099335,108.14158,104.44777,99.60765
209.51009,160.74626,181.90825,178.3421,156.88536,155.3466,149.83325,176.72437,187.82045,180.92426,178.9475,148.92848,153.7727,128.45702,144.46907,157.71693,155.14828,165.33907,174.16737,154.77005,182.03046,162.63727,152.56079,158.3904,164.33221,149.77539,155.33485,169.64142,172.70465,144.03943,133.73866,156.66835,165.76056,149.5342,161.62553,161.89114,170.76729,144.05856,156.57457,150.2645,146.73117
200.45747,137.4803,141.26639,117.27735,103.3541,124.516464,112.37671,149.92715,158.71075,147.98915,155.30623,158.63184,141.5079,152.34094,137.67154,127.83029,130.0834,155.33302,158.62671,126.18385,136.99101,127.38708,126.91718,126.39937,113.34752,156.48198,148.80537,147.61137,144.26059,130.00084,125.434364,127.77286,124.19928,118.67602,137.18387,135.5843,125.14082,141.01907,133.82434,138.37958,130.21375
100.6599,111.47344,101.67065,78.82749,82.598526,94.08156,88.18868,102.8161,108.902084,96.120056,99.04772,94.81308,84.403046,89.109116,85.74195,101.87219,90.29116,91.53326,98.558846,87.20127,94.57997,90.52221,87.97466,91.50464,86.4577,84.38787,90.03268,81.14354,92.855865,75.91701,84.613205,93.42892,101.99189,103.47914,95.95349,81.23942,76.48533,82.955925,93.57405,99.683586,100.975876
62.93589,91.75609,73.1254,63.250706,59.460896,65.03221,54.72621,84.19578,69.84823,84.147354,84.36403,72.22672,62.49093,47.337353,43.09235,54.045624,48.569183,69.16755,67.36235,70.24839,79.10853,73.57278,68.23381,74.45499,64.46828,70.88733,52.944218,60.807,63.74594,68.06037,70.92453,63.581482,68.74897,62.41936,49.629524,61.108902,58.441875,58.36554,55.379322,61.4777,45.9932
129.6147,145.99571,142.45183,109.73063,110.64724,129.88731,142.72252,140.2583,173.66653,152.87428,143.07411,142.86734,160.5673,123.7901,144.9192,130.3758,153.30925,144.04613,133.66068,122.38991,130.85158,149.27905,153.23535,134.904,139.46204,167.48175,182.63402,169.99287,178.12112,144.53796,151.98459,120.04554,130.93935,137.24748,141.84644,129.94287,133.3034,130.1771,147.61287,124.272964,120.1458
206.9498,154.58594,184.6345,184.5789,127.30095,161.65875,158.04617,158.09975,168.46849,159.77626,163.37646,176.21925,170.11421,163.3283,157.06659,168.51372,176.45975,159.29407,157.01103,147.5607,183.46089,193.56586,163.88982,167.25826,162.59744,172.6471,169.61931,171.18637,167.7113,139.12987,146.7664,143.70355,154.44263,149.13083,177.27007,142.40881,151.01227,143.74126,150.50642,163.8584,152.13045
213.83149,131.04024,146.00916,107.29203,98.72623,130.95757,129.67587,128.9881,162.29102,139.6704,153.73006,120.90523,127.562386,117.47909,131.90834,127.92662,136.42844,143.72105,153.28601,122.11032,142.34512,132.03581,129.69135,137.10469,137.64973,153.11105,166.79224,159.46704,146.37689,112.067764,114.0202,126.73662,117.57413,124.02523,138.72546,131.46797,129.24739,121.37101,137.5408,124.36568,114.04919
136.0878,94.91752,72.76893,60.223946,55.36908,78.8707,73.84579,85.848305,92.88958,98.700584,90.69933,71.19252,70.18723,81.965454,76.01751,89.58439,81.78816,75.9356,82.19689,80.712494,88.400185,79.0062,73.11265,81.80632,71.09159,80.60101,75.297104,75.91788,85.05338,66.00139,69.64229,78.95094,74.889946,88.20524,68.71995,75.488815,76.2317,79.52347,84.200935,80.04302,68.29224
30.287124,46.52468,48.773823,38.150528,33.597446,42.264217,42.570236,41.594933,63.984165,36.36583,32.643547,44.081135,45.52026,44.204674,37.619926,28.43594,29.202955,56.468086,54.807953,36.618866,51.840836,29.134218,29.790207,35.15667,25.556904,40.751095,32.49645,34.495575,42.942963,50.671238,50.920975,34.424053,36.709213,37.820015,33.22361,41.157867,42.486115,35.354683,38.7236,40.41479,37.605495
55.43575,75.99763,70.61425,70.22323,65.239296,64.407265,55.434937,74.24555,69.145775,69.01431,76.20408,63.54625,68.349014,58.279484,46.192394,48.16768,48.953716,67.33461,78.31204,67.81323,74.99833,73.97185,77.94614,63.81034,59.557312,50.97815,42.92655,45.911858,55.63999,71.21102,75.92328,71.69812,77.413864,65.38735,46.684875,52.064526,56.5738,55.784134,54.064182,63.623127,53.281166
87.8643,121.13023,113.26632,96.59653,89.53376,103.4218,108.24234,142.36902,156.4642,135.88652,125.5363,126.84904,145.86208,107.03304,103.63637,125.20196,128.00398,136.05013,135.6662,101.4255,120.33325,133.82346,127.48599,106.298805,103.893394,138.49794,118.779205,136.85304,127.67063,108.851135,111.04205,104.61251,102.7379,122.02717,98.30386,99.27426,99.49811,104.92502,95.62596,106.68093,113.12112
143.76901,148.50894,160.03401,141.2515,125.27182,163.15811,155.65163,163.99873,159.55443,168.25734,168.5682,153.2043,173.52734,162.38542,168.77191,180.46278,189.21626,153.28426,160.13593,147.74092,172.18327,193.94962,184.11885,140.88983,146.5293,181.55833,190.71024,165.05487,186.30316,142.07181,156.56387,127.53754,174.99472,154.50989,175.3861,154.08257,160.30347,132.34174,148.9678,146.87552,152.78474
114.44456,130.24225,135.34576,105.64722,104.7862,117.89417,106.50377,136.53546,161.08498,145.09412,151.59833,122.91017,120.98464,134.12762,126.380745,117.77245,123.437416,143.00737,144.91583,108.26451,125.30277,118.00023,121.11829,113.49957,108.742424,149.3087,149.34052,142.07361,137.24074,98.24286,105.79374,124.238495,122.445946,117.452866,141.19742,121.01061,130.17828,108.303825,114.40142,117.13825,116.98274
93.1914,87.165245,88.09984,73.425705,81.31642,72.087654,64.936295,83.65088,97.56502,76.65529,82.47063,74.022964,75.03216,74.99721,68.16477,66.92892,69.53897,72.002464,88.15772,75.48917,78.51081,82.81328,79.03252,75.3042,66.874916,74.668655,65.98303,51.86147,83.912186,72.88897,85.75635,80.18643,88.0401,78.926895,66.237335,69.22007,70.19774,65.8095,77.18365,81.0474,69.63064
36.69036,49.219604,51.12151,42.02642,37.736618,41.13698,48.687595,36.547684,59.783688,31.721966,32.60424,45.547142,47.203583,31.602116,39.95552,28.23231,33.442287,54.623795,57.07587,36.18363,40.08884,35.102562,34.196793,44.02451,39.4886,42.247112,49.057938,43.821712,48.136024,46.16854,56.56355,43.38447,39.756123,43.006577,38.32405,46.64591,42.89854,36.36428,41.5799,41.394783,34.786053
44.13408,69.47565,72.24005,65.50476,58.344387,57.64875,53.603394,56.405113,56.75668,54.641075,51.261578,56.951576,60.28034,55.317127,41.18401,41.392284,44.96821,63.36989,75.32352,68.31285,78.16411,57.9167,69.44364,62.981007,60.117134,46.98209,42.580357,47.323193,49.5123,59.928555,57.65423,57.848656,51.6814,64.82415,55.877888,53.432186,64.84906,54.5587,55.50754,59.53308,48.58588
79.9986,110.15804,99.19573,94.09616,88.65986,110.24595,112.13203,134.4104,146.68744,136.6665,126.727425,121.49053,135.10802,107.59487,105.38957,124.13076,127.370186,132.27371,125.283264,109.53702,104.31228,110.725494,89.29206,90.5364,81.05466,139.62738,110.704315,132.97581,113.19275,117.6129,101.13219,108.35599,99.04155,118.52238,74.255844,94.50679,106.27633,114.91619,96.41962,111.682365,105.37916
156.01184,155.73224,177.81955,153.71866,126.55684,147.14034,148.58879,155.39296,175.49094,165.10965,170.8485,155.32782,172.3067,159.06424,153.48108,165.76682,182.55423,157.8436,156.52126,157.76474,184.9527,159.98546,156.73888,156.0617,167.801,162.62308,162.04713,174.16864,181.17151,136.46721,139.54698,144.48051,150.41122,147.98518,174.08412,144.29872,151.26103,136.52289,141.44914,147.44716,142.10806
144.73187,148.65285,152.05598,140.10275,104.80699,124.56225,114.12389,158.59225,163.39648,152.68024,164.62004,156.1287,144.46585,157.8044,146.76326,148.41907,160.75853,151.41231,154.73404,127.36557,133.9322,133.76387,132.11647,132.48112,116.337166,157.65294,144.81693,160.71317,151.74405,113.474945,116.55576,130.56181,125.72814,120.93412,150.22289,133.05472,134.25311,138.28357,143.40158,131.81343,135.30954
87.6999,108.0894,110.49152,88.781425,81.15938,96.276184,87.38979,98.75711,114.28013,116.60416,112.55562,93.59094,95.29986,88.53457,104.832634,110.95887,92.82309,86.854225,100.288284,92.74218,99.220726,84.08705,96.597336,96.627914,106.24564,89.19355,93.83229,103.095955,100.883224,85.13002,92.028206,98.32403,107.6408,104.53572,105.42494,89.85912,96.95339,94.39473,101.01353,113.39307,103.973946
43.37799,49.329597,50.08398,39.7972,35.672726,46.8755,49.63066,47.88736,71.33179,45.12778,48.703636,45.352608,51.09904,31.32567,40.231667,31.514187,32.07834,60.9435,57.661957,35.483738,40.066772,32.70283,38.22323,35.761417,41.741283,42.672264,54.897526,48.09482,60.88198,47.72362,55.85994,40.743526,37.782726,40.52947,50.8485,45.854458,43.7877,36.57862,41.946968,39.937107,36.446793
52.05272,71.21266,74.929375,47.872364,53.15036,51.861324,56.29171,45.07457,48.71666,48.832657,53.31745,48.814423,49.81766,55.507305,46.05011,39.62787,45.893276,64.11449,66.53589,60.65095,62.018204,53.631985,60.79921,49.662285,61.87453,49.876984,46.054543,38.04188,44.17893,57.800957,61.115055,47.9724,51.55323,50.662,51.52535,50.01924,45.295876,50.302067,49.576614,47.48682,47.483727
94.7925,137.97684,133.58266,110.80497,101.65017,125.16622,135.89554,136.53671,163.10072,158.21817,142.93942,135.48123,163.02007,131.21951,147.71976,136.50345,147.32227,145.4878,145.70963,124.83709,129.72266,145.47258,137.21275,126.397964,117.75259,152.97304,172.21677,171.36046,155.22131,130.99673,142.68022,110.70056,119.37998,142.12672,141.92374,138.7526,143.56883,130.69797,147.47276,124.04456,120.77679
137.55723,155.12325,169.16405,171.95361,125.12719,143.03624,141.63661,148.5843,155.8464,156.28772,166.05347,165.79439,167.12149,164.37416,147.21024,164.29517,183.18086,142.89,145.85223,151.83098,178.86192,162.2017,160.44472,146.28654,151.83408,175.65184,170.92242,165.97487,174.94296,141.32086,140.59848,137.5131,139.31412,155.02505,176.79192,138.35796,145.60854,141.71094,123.2064,165.84464,145.10393
175.89214,132.33385,153.18257,118.990685,99.970825,136.62735,135.20493,143.43977,160.62932,150.66612,154.00787,131.3792,132.91905,133.36081,142.68817,127.91708,140.22739,146.65688,151.506,125.457695,142.07716,126.35505,131.79227,147.29726,147.19427,153.07956,165.70496,159.67853,146.03821,117.78974,110.7219,133.71292,130.97174,118.93491,145.66776,133.51283,130.47011,129.86156,144.56233,119.708626,120.02901
