RECO,RECO_base_01,RECO_causal_01,RECO_base_02,RECO_causal_02,RECO_base_03,RECO_causal_03,RECO_base_04,RECO_causal_04,RECO_base_05,RECO_causal_05,RECO_base_06,RECO_causal_06,RECO_base_07,RECO_causal_07,RECO_base_08,RECO_causal_08,RECO_base_09,RECO_causal_09,RECO_base_10,RECO_causal_10,RECO_base_11,RECO_causal_11,RECO_base_12,RECO_causal_12,RECO_base_13,RECO_causal_13,RECO_base_14,RECO_causal_14,RECO_base_15,RECO_causal_15,RECO_base_16,RECO_causal_16,RECO_base_17,RECO_causal_17,RECO_base_18,RECO_causal_18,RECO_base_19,RECO_causal_19,RECO_base_20,RECO_causal_20
51.9642,31.268484,28.711731,36.390305,19.052397,60.21824,46.97455,33.19452,29.8163,42.875904,35.41103,31.86856,37.570515,48.534397,26.697645,37.333004,19.340658,39.542137,29.878529,30.671665,17.855034,30.610106,23.502274,57.800167,53.310432,38.22377,35.376408,40.929592,28.306911,28.410948,26.52459,53.144737,57.908348,40.06787,36.842278,42.722355,51.09006,35.910946,35.639225,38.780796,46.486603
91.49495,97.20643,92.519196,107.844894,110.26639,100.29068,126.97598,111.38975,118.29989,103.22068,101.469894,119.99183,82.19889,106.99908,92.99035,91.69179,105.41179,115.20636,117.09796,110.968285,86.98656,90.866455,89.22993,97.408,79.628105,118.79424,99.46541,108.01854,94.62385,113.94307,73.39895,85.27859,76.65026,73.59032,81.4913,112.428665,124.73497,116.05765,147.24886,103.29675,125.3377
89.61821,114.40833,98.718544,111.73899,108.93136,112.77404,110.54476,129.99884,138.03416,136.47435,119.66313,122.02015,108.1783,108.000046,111.88762,132.65932,117.140915,126.78652,121.73007,125.26482,117.08442,111.39837,93.234024,118.931625,91.97671,112.02543,105.96159,129.33073,126.87852,122.70589,115.032585,130.63623,107.48448,112.242516,101.20843,113.38211,118.96809,124.35372,137.77727,110.36816,128.06305
68.0547,26.414633,31.87196,25.605473,31.292042,59.479565,47.443928,36.006485,42.41993,45.38777,41.274437,56.372337,46.198906,41.439728,45.06292,32.412163,28.369534,38.935905,44.36202,34.05462,32.921993,41.93156,33.52203,35.6921,41.127995,33.639637,41.160538,38.995483,36.017063,33.76147,35.107708,56.38511,53.697456,40.6728,43.882145,36.77161,36.50235,47.52654,49.461536,32.808582,27.461517
17.324102,9.387037,13.173737,2.4135416,4.500094,11.413678,5.3538003,9.958118,16.102943,6.1447854,0.020574331,11.987724,8.51546,17.291157,12.891727,14.222283,10.536836,11.823513,6.58436,6.184421,6.4017773,9.537557,8.712394,17.043352,23.781162,7.717037,7.6027327,12.247258,14.970766,7.0104494,9.554304,15.109007,19.43757,6.667756,6.9572315,8.834608,8.867569,10.880393,8.445226,4.7186537,3.9526978
6.7479,3.160685,5.074406,4.496964,3.3905723,5.075192,0.86844116,0.90845937,8.650487,1.3724005,-3.712284,6.273533,5.9306993,10.151886,7.112715,5.688666,5.3142557,7.796731,2.832173,3.582796,4.367398,4.740164,3.5192356,4.9271283,10.520485,-0.001528956,3.4841144,4.498761,1.2821715,-1.534263,2.6055276,9.95559,10.884844,-3.9417696,-2.114944,3.8673913,4.8349915,7.1372733,17.141762,3.8995557,4.5740056
7.609384,1.633383,3.9337447,4.2849727,3.3732154,6.2309804,3.197695,-0.3438433,3.7767267,0.9230594,-0.24572104,5.5174146,4.491712,5.1911774,6.261395,4.531198,2.8895948,2.4443824,0.89235127,2.683365,4.65426,2.9744794,0.94169736,3.2106755,9.237075,0.82231027,3.0355873,5.3198676,4.0565953,-1.4823418,1.3631113,1.3466994,2.4379041,0.16874905,-0.43304992,3.0470977,4.594521,5.8500967,12.492032,3.9323025,2.4315908
7.689488,0.12442957,2.1362464,5.308964,4.2123494,6.548344,3.0032713,1.4461654,3.5296268,1.4033909,0.48626405,3.303495,4.6018176,5.306391,7.0705485,4.531198,2.0220284,2.3022332,0.9905507,2.9179542,3.702586,3.8530962,1.1148763,-0.70954144,6.118255,0.30963105,3.0111673,2.0883186,2.8514562,-2.0513613,1.4737736,0.37437794,-1.1628629,0.6219197,-0.5474609,3.5365775,4.003068,7.032025,12.690315,4.654678,3.068867
8.878785,2.6746168,5.5367723,4.968638,3.8042483,5.5289903,3.0032713,1.0474044,4.054487,1.9229954,0.7501474,3.5550084,4.6018176,6.2386284,7.1981816,4.1891484,2.0220284,1.4787418,0.20633268,4.0204244,5.865394,2.2736661,0.9382024,4.262128,14.197165,1.2428488,3.1934636,4.3523717,5.7861934,-0.47825393,0.5211598,0.4099264,0.026718756,0.37521875,-0.57318735,4.4517007,4.523683,6.8990765,12.894594,3.4732203,3.7665548
6.445086,3.4849184,-0.39524034,3.2173002,3.7629197,5.673409,1.3225303,-0.74642634,4.996174,3.0075786,-2.0701551,2.9250011,4.5294414,11.923658,10.832335,9.095708,6.5487022,5.446854,2.1238441,5.8676186,8.044748,5.192705,2.8628027,10.303161,17.625134,2.1990414,3.7311728,10.003488,9.929582,-1.364392,0.72423047,1.7571611,3.3059795,-1.355352,4.034046,7.9614854,6.9591074,7.14663,7.609897,3.098227,2.9655862
11.45604,10.279629,10.877652,7.488998,11.895313,16.720669,16.906502,11.206603,21.071783,10.281732,4.804472,14.633773,15.280733,17.18392,13.6285515,18.700556,15.58582,17.897837,10.429743,12.438347,14.14381,16.905355,13.793094,20.065016,29.74205,10.803007,15.075822,16.374256,16.073307,10.383394,12.488563,20.418894,20.793358,7.299708,10.960823,13.409331,10.143569,13.909198,13.170666,11.7689705,10.042694
23.139392,32.59716,39.4473,22.433075,34.86869,51.91576,46.794643,32.826195,46.19348,36.056873,36.11282,24.376911,31.864687,37.044727,42.682625,37.75026,29.908413,33.45197,48.8252,27.269365,27.427052,28.373396,28.200268,34.78048,41.9155,41.32941,43.61099,30.028305,28.504,37.29013,37.272095,40.87208,44.42783,39.29316,43.637085,33.542187,34.811806,30.1336,37.283806,38.988464,31.92256
49.6143,71.74751,39.71613,72.93856,74.57826,76.613976,57.5437,47.086056,45.04945,70.1809,47.817226,50.824406,55.09441,60.315456,52.863777,57.989143,34.65456,50.889084,62.229958,44.38773,28.710213,42.349842,41.29097,61.017136,56.17139,71.124916,62.28059,67.28558,38.277,56.353317,48.827694,57.2674,69.44612,59.576557,57.93063,44.614494,52.044594,47.662327,43.949326,52.190243,56.67969
118.3735,127.92459,129.82797,139.78375,129.77002,135.7411,142.66635,150.48427,159.50877,146.1859,119.7969,146.81694,136.43504,133.71461,139.82854,140.77422,130.14313,162.60054,168.42664,148.10713,133.77997,139.50754,131.97368,167.58086,166.7395,146.02762,158.6244,157.10748,168.36633,174.00514,152.50798,163.8426,164.8897,126.94897,123.96346,148.4538,150.21881,167.91531,168.46857,163.96638,164.8802
99.86247,135.09706,158.76648,164.92743,169.76932,125.98271,141.44331,140.93776,153.27826,183.67715,141.34338,168.80095,152.83784,139.63098,144.55014,138.78276,176.1585,151.46962,196.635,151.86467,153.30995,126.60889,147.97997,191.90602,152.04568,140.16383,136.92168,138.15817,144.99203,167.9231,166.8974,142.16338,147.19263,141.52281,141.3926,161.02098,150.13135,176.39824,178.7152,166.92146,172.35858
57.7746,41.36295,43.426224,43.27678,44.49472,69.524055,57.8017,43.30384,54.233253,56.846954,60.034588,55.665417,51.898212,50.125885,48.294212,47.867073,40.69748,47.18282,50.557213,50.860416,46.996395,49.057743,48.296337,57.947037,53.307365,52.288837,70.157745,42.169945,50.85854,54.642258,52.956062,60.459213,70.632675,46.46214,54.482185,55.186127,61.483986,53.838436,59.788834,51.023933,49.482952
