RECO,RECO_base_01,RECO_causal_01,RECO_base_02,RECO_causal_02,RECO_base_03,RECO_causal_03,RECO_base_04,RECO_causal_04,RECO_base_05,RECO_causal_05,RECO_base_06,RECO_causal_06,RECO_base_07,RECO_causal_07,RECO_base_08,RECO_causal_08,RECO_base_09,RECO_causal_09,RECO_base_10,RECO_causal_10,RECO_base_11,RECO_causal_11,RECO_base_12,RECO_causal_12,RECO_base_13,RECO_causal_13,RECO_base_14,RECO_causal_14,RECO_base_15,RECO_causal_15,RECO_base_16,RECO_causal_16,RECO_base_17,RECO_causal_17,RECO_base_18,RECO_causal_18,RECO_base_19,RECO_causal_19,RECO_base_20,RECO_causal_20
40.6875,83.416595,65.72605,139.25398,113.64065,117.50738,108.95373,109.83164,100.75839,70.92171,87.686935,74.05449,85.82225,125.89658,137.54622,85.0654,82.97712,77.7874,80.86431,108.89677,126.385475,94.35259,82.09341,71.27573,58.97465,155.80597,150.52762,80.646515,60.959923,124.57438,97.42827,85.19334,134.72481,91.47852,92.58072,109.95096,113.9515,72.67032,58.93087,151.81593,143.60838
42.54068,89.30158,77.25028,96.47407,89.67486,75.286095,69.639244,68.6557,76.11347,63.634052,76.905685,69.45529,72.10074,71.58697,65.400536,93.37405,92.12306,64.88501,60.32655,74.841,74.01141,73.29719,62.840504,72.71727,65.46562,94.710754,95.097786,60.52431,54.50125,76.015816,85.51174,48.777416,76.91243,76.46758,85.83137,76.50684,77.3003,69.83958,75.50006,101.89796,93.39671
152.61889,181.66283,186.70815,143.85185,143.98955,99.34426,91.37925,128.3226,128.911,113.6932,114.73859,147.98264,149.31839,117.56103,115.48321,157.77336,143.9382,129.80333,118.40963,117.79264,148.98773,146.3066,171.76363,153.62802,163.03102,106.03307,107.75038,108.631805,102.54518,158.73422,176.57051,158.89275,153.15234,150.65424,155.43832,119.1426,136.68651,114.18198,112.13527,124.97964,130.7797
130.014,152.79683,173.15324,140.96307,137.07854,123.61161,117.9144,136.86082,136.21355,93.26443,97.727135,131.18254,137.11353,119.36035,118.663025,112.63439,112.52991,116.06956,104.70885,133.11617,160.23044,147.6638,145.88899,125.56059,136.00606,105.68472,113.27251,113.533646,104.69305,124.31634,131.25911,143.93362,142.8523,110.34564,111.94775,142.49504,159.7716,114.67801,113.45014,118.47884,121.44217
196.49474,191.76614,192.1446,162.61755,150.61693,142.29973,158.0881,148.87267,149.59717,127.190865,133.29384,155.94386,156.05733,181.80713,168.72159,133.6713,116.17365,185.1355,176.36447,168.7063,174.21051,182.55347,171.84268,147.25803,141.93633,129.63931,151.05194,155.8726,146.53569,166.30142,195.7962,156.8562,162.57724,169.48381,143.5602,193.09734,189.96815,153.50543,155.77164,199.49068,206.49098
128.63357,209.48314,231.51143,174.19296,184.43184,140.05568,130.09637,146.28012,158.50926,158.0604,165.2892,171.58987,168.15695,155.46533,150.62411,152.41367,154.38416,159.58308,162.41335,183.18631,194.41504,197.82057,216.95357,166.19202,159.16335,148.33229,175.98892,136.36566,137.43742,179.94106,205.64482,180.73013,180.45242,208.55478,216.68721,187.86784,182.22946,135.63918,136.07391,197.0331,195.27173
98.2017,125.12088,116.21935,158.3548,158.284,115.79118,113.68773,103.12517,100.66721,109.45349,97.87431,139.00266,136.75273,91.0261,86.21108,119.02113,126.8562,127.02186,112.57868,112.91466,102.23084,134.0923,114.351654,124.973335,133.72856,113.42844,107.94475,110.62365,109.3913,112.1794,98.54474,137.96571,129.27121,122.18625,115.37284,125.689,133.25371,114.70081,112.361374,115.47056,111.29859
91.29624,136.9399,135.67627,169.13124,162.40938,91.516075,100.64918,112.1294,103.19935,132.78346,123.08619,136.4885,144.83147,89.00711,92.50559,131.84634,137.83542,146.86009,137.6789,144.51982,167.58742,134.59818,147.8701,126.92515,130.98735,116.81365,123.120415,115.66986,115.49609,86.901985,86.43746,147.8058,139.76945,129.88026,123.383446,109.39276,112.12634,109.41394,105.62065,112.78296,114.93871
52.3698,86.32028,94.91269,108.56201,98.44101,90.538376,92.53787,91.51404,90.1537,78.83116,84.90696,72.821075,76.195,82.16924,77.17572,78.5171,83.14313,74.29557,79.04108,82.37765,71.02696,76.97746,75.234055,83.48357,67.812645,104.40724,104.09238,61.54383,57.288017,77.52211,77.63916,83.84878,89.871895,96.119286,96.94388,78.6148,77.314285,90.38795,75.25772,105.626656,104.745544
42.62469,84.37652,61.697407,135.6132,135.09558,100.85141,82.96599,111.42788,95.63429,66.94941,60.836693,103.54848,120.986786,129.0354,135.61888,73.868065,53.63259,70.79321,72.784485,102.23834,109.51541,104.46411,86.26247,67.89157,66.070915,146.17705,144.19482,86.19517,82.47794,126.26933,94.81077,83.74103,126.21922,88.908775,97.48793,109.36258,110.11238,72.10216,55.341644,156.14893,152.55061
