RECO,RECO_base_01,RECO_causal_01,RECO_base_02,RECO_causal_02,RECO_base_03,RECO_causal_03,RECO_base_04,RECO_causal_04,RECO_base_05,RECO_causal_05,RECO_base_06,RECO_causal_06,RECO_base_07,RECO_causal_07,RECO_base_08,RECO_causal_08,RECO_base_09,RECO_causal_09,RECO_base_10,RECO_causal_10,RECO_base_11,RECO_causal_11,RECO_base_12,RECO_causal_12,RECO_base_13,RECO_causal_13,RECO_base_14,RECO_causal_14,RECO_base_15,RECO_causal_15,RECO_base_16,RECO_causal_16,RECO_base_17,RECO_causal_17,RECO_base_18,RECO_causal_18,RECO_base_19,RECO_causal_19,RECO_base_20,RECO_causal_20
105.01126,72.728096,85.43113,65.15976,78.37489,65.00127,87.09039,81.4328,84.29834,63.30373,65.76962,72.087845,81.74963,106.105446,100.078545,68.36494,76.12733,69.89988,73.3537,60.97372,67.14774,80.1946,83.16412,77.036934,80.57101,69.11126,66.14008,73.29667,64.39647,53.852444,72.38468,81.02,79.32484,83.05818,92.30599,68.82925,74.04041,86.19218,96.09272,46.603275,71.5398
131.7075,121.121796,106.22265,149.8544,138.63274,132.23405,137.75406,133.0706,135.87642,109.97961,121.34209,127.74701,136.39122,104.70635,101.09769,124.11691,130.73112,125.49004,132.22656,147.87128,143.28989,126.117805,126.06175,121.40713,121.93472,113.88512,116.48839,109.489876,109.0056,146.37222,121.81629,135.14679,118.3604,122.78983,129.2994,146.17079,157.71114,117.955826,146.33257,134.24716,128.25528
162.9608,114.88529,120.20506,149.79614,147.20987,134.31908,132.18562,148.88928,135.83759,117.86032,130.6944,145.8601,132.90387,118.82672,112.14392,123.39798,130.23239,158.27704,147.55296,140.47621,145.44478,135.06209,121.94165,137.06839,121.273544,130.23972,137.32898,116.33222,114.56935,149.68059,136.20505,130.45338,129.57141,136.05876,134.34094,142.52304,154.32094,150.31929,157.30098,140.49171,144.25533
192.35159,119.6497,122.22122,154.90463,143.41725,133.318,131.15364,143.29802,131.95572,108.33812,127.9094,132.62683,132.67557,117.61576,112.6382,124.57788,129.29832,134.70224,144.49637,144.77866,144.25273,129.81549,140.71,137.30685,134.44307,124.857155,141.79578,122.88083,117.57023,148.35616,137.25633,149.13887,151.43306,129.66512,130.34451,159.94202,161.40587,138.6351,156.33913,135.20839,138.41971
150.4027,124.51743,111.80178,155.86952,145.60364,130.4845,133.17194,144.43484,132.47893,117.08247,125.68965,134.65628,141.902,120.14341,116.92065,124.66247,129.82149,121.11509,123.81066,141.12608,148.19855,121.54805,117.965065,134.96059,123.863304,119.50798,117.92609,141.74341,124.25985,142.06917,122.99021,148.59888,142.61636,123.04025,129.20753,157.89165,160.85149,131.88431,148.8118,131.74773,124.10153
170.30842,100.86633,92.74868,154.87614,140.12532,129.40376,127.4881,119.41299,102.94366,132.94725,126.09523,141.14102,126.83361,112.88522,122.888275,134.02509,123.41459,128.24374,123.71113,164.245,166.88664,124.50182,108.66246,132.01447,109.805626,124.2739,127.34358,132.82785,119.79619,157.68237,131.49933,137.25809,115.64268,97.439995,114.076935,155.74811,154.49231,154.63031,134.76212,127.23803,116.263115
78.9903,97.3558,89.33408,128.2455,117.22249,127.7543,121.3896,79.19897,74.0536,121.15838,122.45981,132.3649,123.50707,71.6141,80.674675,132.68483,123.16426,94.22991,96.40931,149.81297,138.17415,108.40406,100.29235,89.431595,101.349655,112.83317,116.03435,129.70627,130.90157,143.793,127.43142,108.95155,95.73991,72.3908,74.27314,82.03239,80.82783,98.00796,84.51088,105.274376,96.28638
64.70382,78.66368,75.42432,63.03754,59.88471,63.080627,63.79524,62.60874,64.996414,97.23078,76.5927,63.083,80.96553,51.230785,64.44232,59.280437,59.92289,94.92102,89.63621,71.470345,64.25449,64.91487,70.526596,51.60382,55.591263,62.29031,58.17794,63.836056,66.47675,82.23766,66.19427,75.22181,63.86309,45.688217,55.561237,70.01039,69.13554,57.946484,63.906166,70.901985,72.52818
19.9911,58.964413,56.535156,63.92704,48.597626,87.45716,72.37327,52.057396,53.043762,96.955154,89.15635,73.08315,69.837975,67.88154,66.28856,69.76632,66.25861,59.524178,57.503063,63.622314,64.61657,55.90182,53.93982,50.30269,50.032814,71.27068,69.68025,53.43483,50.89237,99.656296,93.96032,69.05706,59.273365,48.969593,50.71896,76.032295,85.00743,67.85588,70.796394,69.125175,69.613785
14.298502,55.60599,53.328693,49.61875,45.14608,58.57476,52.61114,49.711376,46.721367,38.6336,42.699078,61.60295,61.896667,60.330086,53.942364,44.61832,47.55501,53.16713,49.41783,49.791374,41.251167,52.026123,53.51398,52.883293,66.07908,47.516792,48.331993,49.068985,48.658924,78.097626,81.4426,62.64488,58.79985,50.44616,49.958187,59.012653,51.73702,49.90087,60.193146,35.862614,29.539837
81.27611,48.805237,56.58071,48.05851,49.16179,49.990837,42.630104,41.9282,48.81796,28.438585,20.961903,38.322437,46.897118,48.88848,46.864723,51.637905,47.726944,48.447704,58.501453,48.63401,45.37906,37.453598,40.39251,39.88508,37.99076,40.98932,43.764145,20.345392,23.136665,48.98107,57.916622,41.797966,51.769363,54.17419,55.805984,44.39239,36.123154,61.217052,48.873013,30.021376,36.169678
31.6473,55.709873,59.19107,64.88665,52.109108,62.567272,58.42711,35.5224,34.67603,58.14329,48.844555,37.279507,39.630398,69.28856,53.976818,54.33152,58.144287,61.051342,54.94208,44.55402,43.053715,44.870518,44.74714,47.674084,42.258553,44.34466,48.281994,54.974194,54.718224,46.044254,52.048717,81.97355,58.26208,60.16514,56.94522,40.24227,38.604385,61.29798,53.972305,35.012302,41.05711
34.16634,70.42722,58.62443,71.25049,58.218174,67.02525,60.648277,41.387383,40.154762,62.323593,60.199314,39.29077,43.658375,69.3887,51.33719,62.888374,69.67321,65.656746,63.61377,49.810246,55.528397,51.483986,51.786396,53.924236,48.089092,49.694466,51.31373,64.317505,63.628162,47.261974,61.793636,79.662285,59.821194,61.83666,61.20428,40.672012,41.67318,63.87054,48.78407,32.881207,43.379898
44.7225,68.26038,69.50723,61.925922,65.30098,69.958,76.78595,51.262024,56.672123,46.86878,51.117897,64.1628,71.574524,83.39234,87.585014,71.02711,71.24537,62.198444,54.748737,64.048225,72.29691,65.42161,69.670044,58.953457,61.843475,51.45652,62.663292,74.063416,77.823265,55.883568,72.7561,60.360508,70.03186,66.87904,76.877884,61.67843,73.24248,72.30243,81.154625,57.178947,78.18993
75.72401,81.97967,89.08902,88.09952,86.70081,92.10176,100.265076,84.14646,79.25826,76.18819,75.93182,87.04572,96.55666,89.0476,92.75939,81.19584,82.464226,98.08848,90.04862,100.497444,107.0492,93.43552,100.76935,88.99736,99.1921,95.0292,97.47661,96.410095,98.90236,90.327835,97.900696,94.4251,89.65776,73.43223,82.12056,84.32211,90.8529,84.44183,90.026085,93.38729,90.285446
136.29925,98.35141,94.15582,139.95216,135.72388,121.95281,119.47131,141.3394,134.7446,102.13491,118.51311,139.04967,132.33705,110.708015,112.30823,117.304985,113.8509,120.16027,132.78728,143.58325,146.8737,119.37566,125.66773,133.02908,119.567406,117.98315,140.13948,121.13044,108.777306,143.51903,138.08081,122.04891,125.53831,110.051476,116.6164,137.84229,146.07732,113.78889,115.67318,109.05077,114.16941
81.42848,102.31808,109.27466,138.19101,149.44519,132.59363,124.08562,132.25363,124.73339,116.10865,133.14435,112.13367,112.90364,132.74704,133.91046,112.73407,118.14334,125.16428,152.40323,138.1976,126.08069,128.20563,138.70341,131.42284,122.14483,111.06687,137.38962,111.58672,105.16041,138.499,136.77269,122.76428,136.2229,130.81422,132.73709,140.03326,146.39995,121.21541,122.807884,127.370384,132.02841
77.81248,111.018234,116.154076,142.98679,145.59338,133.45543,128.18008,126.680435,131.57423,106.46725,94.8014,114.21995,99.850746,144.46933,148.75685,100.75498,87.14834,143.95763,138.16655,128.69565,119.210335,110.234184,110.06076,160.31618,136.80727,103.454704,108.43346,125.057396,110.05579,148.64323,128.66577,121.327965,112.12182,99.474045,92.53877,132.13461,113.742805,144.989,127.35116,140.31017,131.61964
42.8679,94.0142,96.25558,130.1535,105.6592,125.23171,115.76612,102.44684,80.43704,104.218285,89.268295,131.45958,114.94857,88.06624,85.31463,97.36488,82.02779,112.32016,115.398155,123.58628,126.24837,99.594765,97.82405,115.499825,100.11091,104.938965,102.31028,110.29624,101.91555,129.48164,104.50305,107.34614,90.22945,69.279945,61.555264,116.25016,94.56007,114.21812,111.14577,120.73919,111.0761
