RECO,RECO_base_01,RECO_causal_01,RECO_base_02,RECO_causal_02,RECO_base_03,RECO_causal_03,RECO_base_04,RECO_causal_04,RECO_base_05,RECO_causal_05,RECO_base_06,RECO_causal_06,RECO_base_07,RECO_causal_07,RECO_base_08,RECO_causal_08,RECO_base_09,RECO_causal_09,RECO_base_10,RECO_causal_10,RECO_base_11,RECO_causal_11,RECO_base_12,RECO_causal_12,RECO_base_13,RECO_causal_13,RECO_base_14,RECO_causal_14,RECO_base_15,RECO_causal_15,RECO_base_16,RECO_causal_16,RECO_base_17,RECO_causal_17,RECO_base_18,RECO_causal_18,RECO_base_19,RECO_causal_19,RECO_base_20,RECO_causal_20
1.240437,23.785639,22.811874,30.416676,32.03283,22.390415,18.738804,39.648506,43.412174,20.95204,17.581245,22.877163,29.418247,20.119505,21.01807,25.805172,27.539936,19.576794,17.692823,16.403708,24.536997,36.371655,41.515045,28.700699,36.46255,23.710215,27.792076,26.697361,23.946394,9.68621,17.602774,27.987621,26.716635,18.743065,13.690097,31.510292,26.6562,22.208092,25.678648,27.162117,26.662498
1.6885979,24.632284,23.041254,40.81421,38.533848,26.714266,23.126719,39.648506,43.412174,17.64741,15.641648,22.968966,30.644684,27.251062,24.482655,31.170835,30.787733,20.282818,19.246298,22.536516,26.225374,33.662575,41.92618,34.641182,38.019897,28.024696,30.625736,17.578743,19.947126,10.40246,20.432823,30.35043,30.655743,27.389175,19.216984,35.288578,30.486183,24.684448,26.826136,28.957024,25.88377
2.880954,22.394503,22.90537,37.41708,34.69373,28.523005,23.209055,38.24018,39.52998,19.91752,19.936857,22.358187,29.476297,28.339565,24.915648,20.768875,26.54944,18.17714,17.798393,19.616331,26.929712,34.73043,42.837734,33.424004,40.10124,25.013714,29.40271,34.507446,31.548796,16.270424,18.925858,32.35422,28.765985,22.01569,16.364758,30.073437,28.266483,29.329012,31.606634,30.767628,26.478363
1.5639469,19.000391,21.866154,26.6042,25.535793,27.68621,24.46325,23.15411,22.038427,21.011395,24.369196,21.632227,25.534077,13.416626,9.191359,17.5441,24.244503,19.580282,19.496517,19.85331,22.294125,20.38009,26.980467,27.087538,25.439262,16.355417,25.432486,34.44304,29.505222,22.340542,22.769894,26.500233,20.32281,10.173036,8.286246,20.394377,16.95112,17.93313,14.869977,29.063086,29.989265
1.1776931,17.481705,19.770407,24.387255,23.765032,26.016514,20.089603,23.741758,22.038427,17.528997,20.872705,19.438366,25.16539,11.963673,7.1165733,12.312911,21.072727,18.38165,17.82565,14.647265,13.986381,21.253248,26.508818,18.394718,20.189526,17.864613,22.468077,33.232185,29.279312,13.307127,18.593042,24.452942,17.772558,11.282307,6.394125,19.46983,15.995638,13.892807,12.351598,22.25778,22.858719
1.409976,18.920156,21.770096,25.67381,23.172894,21.965897,19.896193,23.15411,20.58925,15.718253,17.504776,20.939285,23.44573,10.077881,6.997391,10.212633,9.488761,13.949973,13.700517,14.110915,13.427447,19.5104,20.82899,7.2902565,10.859407,12.191555,16.210712,16.980373,18.295189,6.843205,18.593042,19.938322,16.802454,11.146549,5.1557226,24.370874,18.06633,7.784064,5.854389,17.795895,18.249765
2.924844,16.995174,17.481905,10.408102,10.282019,12.067747,10.901912,17.914944,18.961224,10.350657,8.020663,7.9345784,3.4691641,12.092572,16.931376,15.550312,10.691347,7.8700438,7.908268,11.951722,14.022759,18.542345,20.215244,11.564225,7.4927735,14.713473,13.796842,17.650955,9.353268,13.388339,11.412213,19.831438,7.756148,15.726067,9.99799,17.66351,13.249309,6.950591,5.112045,10.061904,11.647285
9.44211,31.124773,29.14202,34.601532,30.580729,28.744867,24.536068,41.04282,43.795647,23.408426,23.306969,19.822365,25.937145,31.722942,32.36594,33.917828,33.066948,26.799252,25.045938,16.19914,25.65649,36.44854,39.077976,39.345947,41.327614,24.541162,27.091677,30.90072,25.116095,13.367944,17.835953,35.436085,28.251532,25.335968,22.378881,30.413015,28.490332,28.298927,28.84453,28.236465,28.84878
28.152123,46.604595,49.921047,42.27088,39.620068,36.68466,44.727753,43.05015,48.843784,33.13509,31.166254,24.45981,27.031164,37.54769,38.890873,40.579422,44.461777,26.970602,27.937849,36.857853,44.340893,47.591827,43.622215,43.227608,38.987324,34.427258,35.618084,33.068905,23.859558,29.64041,38.019382,37.71288,32.505188,35.640285,39.012653,46.09656,46.01044,43.30337,43.133205,35.22202,34.262344
25.64442,31.984415,38.47727,40.046974,37.466656,31.376627,38.16218,39.521366,44.928787,29.116026,22.327803,22.65736,21.918184,36.579533,33.283558,34.92135,38.587727,20.64112,21.05239,35.586727,38.605633,47.282524,44.84315,44.82551,40.084427,31.723146,35.546562,32.993084,25.220938,22.822561,34.52222,33.19214,29.698044,32.353615,31.130657,48.178837,48.905334,41.176033,38.968876,36.543995,32.486923
