Air_temperature,Soil_temperature,VPD,SWC,Precipation,SOC_0,SOC_10,SOC_30,LAI,BS,PV,NPV,CI
248.0,216.0,160.0,196.0,196.0,104.0,67.0,34.0,221.0,166.0,181.0,231.0,188.0
322.0,307.0,237.0,314.0,283.0,137.0,85.0,61.0,324.0,265.0,311.0,305.0,237.0
267.0,215.0,162.0,152.0,135.0,90.0,80.0,45.0,183.0,157.0,194.0,156.0,173.0
297.0,262.0,230.0,267.0,246.0,121.0,70.0,44.0,269.0,266.0,227.0,248.0,261.0
277.0,267.0,198.0,249.0,214.0,110.0,72.0,45.0,257.0,195.0,198.0,216.0,210.0
275.0,261.0,200.0,228.0,216.0,105.0,61.0,45.0,260.0,198.0,222.0,198.0,214.0
506.0,380.0,331.0,352.0,370.0,127.0,101.0,50.0,351.0,353.0,347.0,376.0,314.0
450.0,373.0,380.0,407.0,361.0,147.0,83.0,61.0,391.0,362.0,384.0,354.0,254.0
300.0,290.0,247.0,269.0,234.0,110.0,75.0,57.0,259.0,239.0,233.0,231.0,230.0
215.0,166.0,159.0,170.0,153.0,82.0,66.0,45.0,196.0,141.0,158.0,162.0,181.0
354.0,314.0,297.0,287.0,298.0,113.0,76.0,53.0,290.0,287.0,328.0,265.0,239.0
278.0,237.0,175.0,280.0,230.0,118.0,72.0,44.0,265.0,215.0,251.0,214.0,217.0
340.0,313.0,278.0,339.0,318.0,122.0,90.0,74.0,305.0,235.0,273.0,266.0,262.0
496.0,421.0,372.0,420.0,420.0,169.0,91.0,70.0,394.0,384.0,371.0,384.0,296.0
259.0,288.0,239.0,246.0,197.0,113.0,74.0,61.0,306.0,258.0,238.0,225.0,257.0
270.0,258.0,214.0,223.0,227.0,134.0,65.0,39.0,252.0,227.0,220.0,213.0,230.0
294.0,219.0,210.0,204.0,194.0,91.0,79.0,42.0,252.0,236.0,205.0,208.0,190.0
447.0,462.0,408.0,442.0,403.0,143.0,87.0,64.0,393.0,393.0,347.0,340.0,298.0
274.0,235.0,198.0,201.0,225.0,111.0,66.0,36.0,238.0,190.0,179.0,222.0,224.0
423.0,322.0,265.0,343.0,280.0,123.0,87.0,64.0,307.0,349.0,325.0,320.0,282.0
