Air_temperature,Soil_temperature,VPD,SWC,Precipation,SOC_0,SOC_10,SOC_30,LAI,BS,PV,NPV,CI
340.0,299.0,265.0,243.0,255.0,134.0,137.0,131.0,243.0,223.0,251.0,251.0,196.0
680.0,598.0,562.0,537.0,540.0,247.0,234.0,185.0,628.0,580.0,503.0,596.0,374.0
468.0,425.0,348.0,425.0,360.0,202.0,188.0,147.0,445.0,407.0,331.0,373.0,272.0
542.0,479.0,465.0,432.0,444.0,221.0,189.0,156.0,469.0,468.0,392.0,429.0,334.0
507.0,472.0,431.0,414.0,413.0,192.0,208.0,124.0,415.0,418.0,360.0,374.0,275.0
349.0,313.0,274.0,287.0,258.0,142.0,163.0,139.0,310.0,275.0,251.0,289.0,193.0
569.0,560.0,475.0,505.0,443.0,242.0,228.0,165.0,501.0,491.0,398.0,481.0,357.0
459.0,438.0,400.0,380.0,376.0,193.0,204.0,154.0,416.0,413.0,357.0,373.0,294.0
407.0,336.0,333.0,341.0,307.0,181.0,158.0,132.0,337.0,328.0,303.0,401.0,257.0
835.0,828.0,760.0,736.0,836.0,288.0,227.0,195.0,750.0,770.0,643.0,713.0,512.0
477.0,471.0,469.0,467.0,460.0,213.0,178.0,158.0,420.0,418.0,358.0,485.0,311.0
463.0,432.0,372.0,348.0,372.0,192.0,212.0,134.0,390.0,403.0,334.0,390.0,259.0
325.0,316.0,238.0,237.0,242.0,165.0,156.0,109.0,272.0,251.0,198.0,271.0,200.0
706.0,631.0,584.0,581.0,581.0,276.0,205.0,157.0,614.0,591.0,522.0,573.0,408.0
516.0,437.0,347.0,374.0,374.0,207.0,177.0,135.0,408.0,380.0,366.0,408.0,309.0
519.0,436.0,435.0,421.0,435.0,209.0,217.0,159.0,444.0,415.0,394.0,423.0,295.0
478.0,415.0,365.0,352.0,403.0,212.0,178.0,121.0,389.0,417.0,366.0,414.0,290.0
440.0,442.0,363.0,361.0,348.0,201.0,181.0,144.0,374.0,403.0,328.0,408.0,271.0
871.0,811.0,687.0,758.0,755.0,337.0,258.0,196.0,757.0,758.0,656.0,708.0,579.0
594.0,555.0,529.0,522.0,479.0,253.0,228.0,160.0,485.0,502.0,406.0,494.0,367.0
