Air_temperature,Soil_temperature,VPD,SWC,Precipation,SOC_0,SOC_10,SOC_30,LAI,BS,PV,NPV,CI
256.0,232.0,222.0,206.0,177.0,66.0,46.0,64.0,199.0,212.0,199.0,156.0,239.0
250.0,202.0,205.0,183.0,185.0,79.0,49.0,46.0,194.0,211.0,173.0,134.0,254.0
260.0,268.0,251.0,238.0,262.0,83.0,47.0,90.0,232.0,273.0,269.0,201.0,266.0
219.0,180.0,144.0,178.0,166.0,55.0,48.0,54.0,130.0,167.0,175.0,127.0,225.0
210.0,168.0,183.0,145.0,167.0,57.0,36.0,60.0,167.0,160.0,154.0,142.0,212.0
301.0,276.0,222.0,247.0,263.0,65.0,48.0,79.0,179.0,244.0,258.0,185.0,263.0
236.0,193.0,213.0,196.0,209.0,71.0,44.0,53.0,182.0,209.0,146.0,184.0,227.0
172.0,170.0,135.0,120.0,136.0,58.0,31.0,60.0,103.0,153.0,145.0,127.0,194.0
203.0,201.0,197.0,174.0,164.0,79.0,53.0,62.0,196.0,200.0,196.0,184.0,230.0
344.0,337.0,340.0,333.0,347.0,99.0,74.0,69.0,289.0,362.0,316.0,287.0,331.0
171.0,188.0,161.0,163.0,136.0,56.0,42.0,61.0,147.0,211.0,150.0,131.0,187.0
361.0,357.0,327.0,341.0,340.0,94.0,70.0,74.0,325.0,370.0,302.0,296.0,364.0
191.0,204.0,140.0,131.0,156.0,68.0,46.0,59.0,140.0,144.0,131.0,111.0,195.0
431.0,392.0,373.0,326.0,381.0,107.0,67.0,79.0,344.0,421.0,315.0,334.0,376.0
300.0,256.0,258.0,250.0,255.0,71.0,61.0,68.0,263.0,293.0,250.0,231.0,286.0
181.0,166.0,172.0,126.0,171.0,63.0,48.0,60.0,141.0,190.0,168.0,126.0,233.0
272.0,248.0,215.0,198.0,203.0,56.0,53.0,78.0,203.0,233.0,208.0,179.0,275.0
302.0,265.0,239.0,268.0,272.0,73.0,51.0,70.0,201.0,267.0,258.0,249.0,305.0
189.0,227.0,211.0,190.0,181.0,66.0,42.0,56.0,197.0,236.0,182.0,174.0,255.0
180.0,145.0,126.0,122.0,112.0,69.0,40.0,59.0,89.0,166.0,143.0,115.0,171.0
