Air_temperature,Soil_temperature,VPD,SWC,Precipation,SOC_0,SOC_10,SOC_30,LAI,BS,PV,NPV,CI
621.0,483.0,588.0,535.0,492.0,346.0,257.0,204.0,413.0,472.0,503.0,423.0,478.0
605.0,510.0,475.0,508.0,448.0,345.0,241.0,211.0,368.0,419.0,419.0,409.0,397.0
510.0,405.0,404.0,500.0,326.0,283.0,214.0,184.0,304.0,361.0,343.0,377.0,365.0
466.0,462.0,430.0,403.0,374.0,286.0,194.0,174.0,369.0,332.0,426.0,375.0,353.0
537.0,420.0,373.0,412.0,358.0,303.0,207.0,186.0,289.0,350.0,365.0,370.0,324.0
512.0,386.0,370.0,366.0,370.0,289.0,214.0,182.0,295.0,363.0,362.0,371.0,379.0
485.0,437.0,415.0,400.0,329.0,271.0,225.0,186.0,345.0,374.0,353.0,391.0,331.0
420.0,320.0,301.0,349.0,299.0,233.0,159.0,152.0,224.0,265.0,277.0,303.0,267.0
438.0,363.0,334.0,352.0,272.0,257.0,181.0,173.0,256.0,281.0,323.0,317.0,313.0
502.0,477.0,387.0,416.0,326.0,313.0,203.0,180.0,365.0,350.0,417.0,360.0,376.0
729.0,555.0,583.0,625.0,493.0,328.0,231.0,227.0,449.0,532.0,512.0,506.0,497.0
434.0,350.0,301.0,331.0,296.0,278.0,153.0,175.0,257.0,283.0,318.0,338.0,319.0
578.0,500.0,504.0,588.0,425.0,331.0,234.0,223.0,439.0,444.0,520.0,470.0,434.0
548.0,529.0,514.0,498.0,432.0,333.0,208.0,190.0,385.0,478.0,491.0,477.0,467.0
422.0,339.0,272.0,286.0,245.0,232.0,137.0,149.0,247.0,228.0,315.0,251.0,270.0
748.0,602.0,631.0,638.0,505.0,338.0,322.0,216.0,555.0,544.0,558.0,618.0,502.0
807.0,705.0,671.0,674.0,624.0,378.0,299.0,209.0,590.0,632.0,607.0,688.0,636.0
542.0,412.0,337.0,440.0,342.0,290.0,207.0,190.0,293.0,362.0,349.0,391.0,346.0
608.0,540.0,536.0,618.0,490.0,363.0,270.0,214.0,480.0,483.0,535.0,465.0,470.0
653.0,589.0,533.0,546.0,500.0,335.0,257.0,245.0,442.0,487.0,524.0,460.0,432.0
