Air_temperature,Soil_temperature,VPD,SWC,Precipation,SOC_0,SOC_10,SOC_30,LAI,BS,PV,NPV,CI
808.0,719.0,682.0,877.0,779.0,293.0,157.0,118.0,939.0,631.0,839.0,735.0,702.0
351.0,301.0,266.0,303.0,265.0,183.0,83.0,67.0,433.0,226.0,336.0,285.0,316.0
672.0,630.0,638.0,743.0,681.0,270.0,162.0,84.0,842.0,554.0,635.0,620.0,605.0
309.0,236.0,200.0,241.0,223.0,159.0,74.0,56.0,404.0,215.0,298.0,276.0,265.0
489.0,427.0,370.0,518.0,452.0,233.0,111.0,74.0,647.0,336.0,458.0,500.0,403.0
410.0,334.0,317.0,392.0,322.0,181.0,100.0,71.0,532.0,258.0,428.0,358.0,349.0
262.0,271.0,267.0,274.0,254.0,163.0,92.0,60.0,410.0,214.0,315.0,286.0,311.0
531.0,484.0,506.0,602.0,551.0,245.0,124.0,82.0,808.0,409.0,568.0,534.0,487.0
733.0,738.0,670.0,764.0,778.0,276.0,149.0,92.0,859.0,559.0,739.0,674.0,649.0
440.0,361.0,315.0,441.0,375.0,202.0,100.0,79.0,522.0,255.0,403.0,366.0,351.0
363.0,331.0,279.0,381.0,288.0,204.0,85.0,78.0,498.0,262.0,405.0,340.0,350.0
537.0,477.0,471.0,549.0,481.0,227.0,115.0,87.0,683.0,440.0,538.0,514.0,472.0
290.0,229.0,148.0,264.0,190.0,131.0,75.0,55.0,354.0,169.0,224.0,249.0,268.0
305.0,325.0,273.0,325.0,268.0,143.0,83.0,51.0,447.0,196.0,358.0,303.0,335.0
439.0,392.0,365.0,428.0,350.0,214.0,102.0,86.0,603.0,308.0,383.0,394.0,404.0
361.0,287.0,294.0,286.0,287.0,164.0,103.0,77.0,510.0,229.0,387.0,324.0,328.0
676.0,544.0,555.0,678.0,548.0,267.0,147.0,102.0,809.0,506.0,597.0,577.0,558.0
254.0,256.0,193.0,252.0,236.0,167.0,80.0,49.0,396.0,174.0,251.0,255.0,302.0
283.0,213.0,168.0,216.0,219.0,152.0,81.0,59.0,308.0,151.0,274.0,213.0,270.0
331.0,264.0,254.0,291.0,289.0,171.0,90.0,54.0,410.0,225.0,322.0,285.0,310.0
