Air_temperature,Soil_temperature,VPD,SWC,Precipation,SOC_0,SOC_10,SOC_30,LAI,BS,PV,NPV,CI
196.0,146.0,98.0,155.0,104.0,33.0,28.0,19.0,100.0,117.0,150.0,102.0,73.0
279.0,226.0,233.0,268.0,187.0,52.0,31.0,21.0,182.0,203.0,235.0,189.0,101.0
242.0,208.0,150.0,242.0,182.0,50.0,19.0,14.0,142.0,154.0,208.0,176.0,115.0
271.0,258.0,253.0,335.0,228.0,44.0,37.0,15.0,240.0,238.0,280.0,238.0,143.0
222.0,211.0,155.0,217.0,171.0,48.0,38.0,22.0,145.0,156.0,211.0,137.0,110.0
207.0,179.0,143.0,175.0,118.0,46.0,17.0,15.0,135.0,151.0,190.0,170.0,101.0
219.0,202.0,166.0,214.0,161.0,48.0,39.0,13.0,143.0,188.0,252.0,169.0,112.0
240.0,165.0,142.0,234.0,163.0,56.0,29.0,27.0,176.0,173.0,216.0,128.0,117.0
170.0,128.0,127.0,146.0,90.0,28.0,25.0,14.0,101.0,114.0,118.0,116.0,76.0
194.0,187.0,153.0,194.0,141.0,48.0,28.0,10.0,121.0,135.0,174.0,128.0,91.0
218.0,174.0,114.0,170.0,138.0,33.0,29.0,11.0,114.0,105.0,155.0,103.0,92.0
178.0,115.0,107.0,138.0,86.0,28.0,19.0,9.0,85.0,99.0,111.0,95.0,69.0
226.0,196.0,163.0,165.0,172.0,49.0,20.0,20.0,140.0,140.0,143.0,158.0,87.0
195.0,128.0,127.0,137.0,122.0,27.0,29.0,12.0,115.0,109.0,173.0,121.0,82.0
194.0,182.0,144.0,161.0,130.0,58.0,26.0,17.0,130.0,180.0,171.0,137.0,92.0
278.0,236.0,174.0,199.0,155.0,53.0,23.0,12.0,155.0,157.0,212.0,171.0,92.0
304.0,253.0,258.0,293.0,228.0,60.0,30.0,20.0,216.0,226.0,295.0,205.0,151.0
279.0,236.0,196.0,271.0,230.0,52.0,28.0,26.0,218.0,228.0,241.0,173.0,105.0
298.0,301.0,264.0,310.0,219.0,51.0,44.0,26.0,238.0,284.0,286.0,192.0,150.0
276.0,194.0,169.0,251.0,162.0,47.0,32.0,15.0,206.0,161.0,204.0,164.0,105.0
