Air_temperature,Soil_temperature,VPD,SWC,Precipation,SOC_0,SOC_10,SOC_30,LAI,BS,PV,NPV,CI
450.0,490.0,357.0,402.0,378.0,98.0,41.0,30.0,348.0,372.0,381.0,343.0,274.0
142.0,118.0,126.0,154.0,131.0,52.0,31.0,9.0,146.0,107.0,156.0,130.0,120.0
190.0,182.0,167.0,187.0,175.0,65.0,28.0,19.0,200.0,135.0,194.0,203.0,168.0
219.0,215.0,236.0,267.0,224.0,80.0,36.0,17.0,243.0,201.0,287.0,218.0,191.0
414.0,433.0,370.0,390.0,354.0,107.0,50.0,39.0,328.0,404.0,428.0,390.0,281.0
206.0,203.0,170.0,191.0,185.0,75.0,24.0,20.0,150.0,176.0,276.0,208.0,169.0
268.0,280.0,220.0,287.0,252.0,82.0,45.0,21.0,264.0,234.0,329.0,241.0,213.0
332.0,355.0,255.0,331.0,302.0,98.0,48.0,20.0,272.0,284.0,369.0,373.0,264.0
168.0,169.0,137.0,214.0,150.0,54.0,29.0,17.0,158.0,144.0,179.0,186.0,139.0
179.0,206.0,136.0,234.0,162.0,64.0,38.0,20.0,187.0,159.0,216.0,194.0,179.0
174.0,208.0,143.0,206.0,165.0,78.0,35.0,27.0,170.0,189.0,240.0,174.0,152.0
168.0,133.0,132.0,177.0,181.0,65.0,28.0,18.0,142.0,136.0,213.0,150.0,118.0
199.0,166.0,183.0,206.0,199.0,64.0,33.0,10.0,183.0,181.0,203.0,179.0,152.0
224.0,229.0,199.0,248.0,253.0,93.0,43.0,29.0,254.0,215.0,249.0,255.0,220.0
561.0,529.0,502.0,617.0,474.0,113.0,69.0,40.0,400.0,524.0,547.0,492.0,397.0
223.0,232.0,223.0,280.0,234.0,97.0,27.0,33.0,213.0,193.0,265.0,246.0,180.0
298.0,345.0,297.0,335.0,314.0,106.0,41.0,24.0,335.0,350.0,351.0,305.0,262.0
178.0,151.0,153.0,159.0,197.0,75.0,26.0,21.0,171.0,132.0,209.0,183.0,134.0
185.0,203.0,176.0,178.0,189.0,78.0,40.0,16.0,216.0,188.0,226.0,204.0,177.0
194.0,208.0,167.0,206.0,195.0,68.0,37.0,19.0,193.0,181.0,278.0,188.0,156.0
