Air_temperature,Soil_temperature,VPD,SWC,Precipation,SOC_0,SOC_10,SOC_30,LAI,BS,PV,NPV,CI
432.0,362.0,318.0,365.0,466.0,108.0,93.0,45.0,279.0,371.0,334.0,327.0,207.0
733.0,571.0,503.0,627.0,706.0,110.0,103.0,58.0,468.0,598.0,622.0,648.0,321.0
202.0,201.0,139.0,158.0,213.0,48.0,46.0,34.0,159.0,191.0,203.0,188.0,109.0
237.0,237.0,182.0,209.0,248.0,48.0,67.0,31.0,229.0,216.0,240.0,254.0,126.0
287.0,220.0,197.0,269.0,291.0,77.0,66.0,30.0,186.0,232.0,244.0,234.0,160.0
166.0,152.0,125.0,166.0,166.0,24.0,47.0,21.0,124.0,134.0,165.0,171.0,111.0
397.0,417.0,349.0,409.0,428.0,83.0,95.0,57.0,280.0,398.0,391.0,375.0,242.0
281.0,259.0,224.0,244.0,257.0,56.0,62.0,33.0,161.0,226.0,232.0,225.0,148.0
154.0,155.0,100.0,124.0,125.0,40.0,44.0,11.0,119.0,112.0,140.0,131.0,58.0
216.0,229.0,171.0,200.0,189.0,41.0,65.0,27.0,168.0,202.0,192.0,227.0,116.0
215.0,202.0,148.0,177.0,202.0,43.0,63.0,32.0,168.0,165.0,244.0,200.0,113.0
357.0,292.0,276.0,284.0,341.0,78.0,83.0,30.0,267.0,287.0,308.0,337.0,187.0
275.0,245.0,195.0,228.0,247.0,58.0,71.0,17.0,158.0,245.0,241.0,187.0,159.0
134.0,188.0,99.0,145.0,164.0,41.0,55.0,8.0,96.0,133.0,140.0,157.0,91.0
149.0,134.0,98.0,128.0,133.0,30.0,43.0,12.0,113.0,142.0,154.0,154.0,84.0
128.0,155.0,78.0,106.0,93.0,47.0,40.0,14.0,101.0,98.0,137.0,125.0,60.0
151.0,118.0,75.0,109.0,166.0,44.0,45.0,10.0,96.0,128.0,161.0,141.0,64.0
158.0,123.0,76.0,91.0,91.0,45.0,34.0,14.0,82.0,99.0,120.0,135.0,65.0
383.0,374.0,284.0,375.0,378.0,87.0,83.0,53.0,264.0,405.0,320.0,334.0,193.0
357.0,327.0,224.0,318.0,341.0,56.0,67.0,42.0,247.0,375.0,322.0,303.0,167.0
