Air_temperature,Soil_temperature,VPD,SWC,Precipation,SOC_30,LAI,BS,PV,NPV,CI,SOC_10,SOC_0
374.0,214.0,109.0,218.0,10.0,27.0,358.0,5.0,331.0,239.0,392.0,,
400.0,220.0,134.0,291.0,6.0,26.0,401.0,3.0,375.0,246.0,399.0,,
319.0,170.0,106.0,209.0,3.0,27.0,319.0,,297.0,169.0,370.0,,
388.0,197.0,142.0,251.0,10.0,21.0,372.0,1.0,368.0,218.0,426.0,1.0,
642.0,434.0,284.0,465.0,16.0,31.0,686.0,2.0,677.0,423.0,638.0,1.0,1.0
327.0,164.0,115.0,220.0,12.0,14.0,346.0,4.0,254.0,202.0,354.0,,
518.0,244.0,171.0,299.0,13.0,16.0,437.0,1.0,454.0,271.0,477.0,1.0,
757.0,400.0,249.0,493.0,13.0,41.0,735.0,6.0,714.0,514.0,659.0,1.0,1.0
447.0,296.0,173.0,340.0,10.0,21.0,458.0,2.0,428.0,288.0,490.0,2.0,1.0
267.0,129.0,96.0,135.0,4.0,12.0,252.0,3.0,217.0,118.0,313.0,,
745.0,450.0,238.0,413.0,14.0,31.0,655.0,4.0,627.0,505.0,595.0,,2.0
504.0,260.0,152.0,332.0,10.0,22.0,482.0,3.0,468.0,272.0,476.0,1.0,1.0
481.0,232.0,161.0,268.0,4.0,29.0,454.0,1.0,384.0,249.0,473.0,,
499.0,271.0,189.0,330.0,6.0,30.0,462.0,3.0,431.0,323.0,472.0,,
326.0,178.0,103.0,204.0,2.0,18.0,327.0,2.0,289.0,203.0,381.0,,
444.0,272.0,156.0,310.0,9.0,26.0,430.0,5.0,408.0,277.0,460.0,1.0,
436.0,239.0,135.0,287.0,6.0,16.0,383.0,4.0,384.0,252.0,413.0,,
474.0,259.0,177.0,303.0,4.0,19.0,428.0,4.0,401.0,284.0,427.0,,
304.0,172.0,93.0,185.0,8.0,13.0,287.0,1.0,250.0,159.0,357.0,,
411.0,212.0,121.0,270.0,2.0,13.0,357.0,3.0,355.0,238.0,439.0,1.0,
