Air_temperature,Soil_temperature,VPD,SWC,Precipation,SOC_0,SOC_10,SOC_30,LAI,BS,PV,NPV,CI
603.0,364.0,28.0,117.0,62.0,199.0,15.0,250.0,404.0,32.0,56.0,446.0,20.0
862.0,454.0,25.0,201.0,83.0,229.0,17.0,311.0,611.0,63.0,106.0,570.0,22.0
602.0,278.0,10.0,107.0,33.0,188.0,16.0,253.0,335.0,22.0,60.0,435.0,10.0
1373.0,919.0,49.0,355.0,152.0,355.0,26.0,387.0,1125.0,119.0,162.0,1060.0,42.0
1102.0,624.0,46.0,283.0,109.0,283.0,29.0,315.0,730.0,70.0,121.0,747.0,29.0
1254.0,730.0,46.0,324.0,130.0,334.0,24.0,362.0,930.0,94.0,131.0,893.0,34.0
827.0,540.0,45.0,192.0,80.0,252.0,16.0,316.0,599.0,63.0,80.0,584.0,27.0
993.0,599.0,41.0,232.0,104.0,274.0,27.0,329.0,645.0,73.0,125.0,721.0,20.0
916.0,552.0,46.0,216.0,97.0,253.0,13.0,296.0,670.0,69.0,122.0,670.0,28.0
742.0,432.0,36.0,180.0,96.0,222.0,23.0,282.0,552.0,55.0,100.0,504.0,10.0
1463.0,968.0,59.0,358.0,172.0,365.0,28.0,409.0,1075.0,115.0,161.0,1075.0,33.0
1399.0,885.0,61.0,342.0,167.0,350.0,34.0,371.0,1067.0,105.0,194.0,1062.0,30.0
768.0,471.0,30.0,180.0,88.0,262.0,19.0,261.0,545.0,60.0,77.0,519.0,16.0
944.0,490.0,38.0,236.0,81.0,257.0,20.0,294.0,621.0,72.0,102.0,644.0,28.0
1330.0,816.0,34.0,274.0,150.0,334.0,26.0,368.0,916.0,87.0,140.0,930.0,38.0
702.0,394.0,33.0,158.0,66.0,208.0,15.0,278.0,473.0,51.0,74.0,482.0,18.0
790.0,499.0,46.0,193.0,84.0,242.0,25.0,275.0,560.0,59.0,79.0,617.0,30.0
752.0,473.0,42.0,197.0,81.0,218.0,20.0,296.0,530.0,48.0,80.0,554.0,13.0
948.0,575.0,36.0,243.0,115.0,281.0,18.0,337.0,762.0,79.0,98.0,691.0,15.0
1065.0,649.0,32.0,227.0,142.0,289.0,30.0,317.0,767.0,90.0,127.0,780.0,29.0
