Air_temperature,Soil_temperature,VPD,SWC,Precipation,SOC_0,SOC_10,SOC_30,LAI,BS,PV,NPV,CI
313.0,194.0,309.0,325.0,5.0,87.0,39.0,53.0,299.0,263.0,256.0,287.0,479.0
239.0,133.0,242.0,253.0,4.0,78.0,18.0,45.0,218.0,148.0,219.0,207.0,466.0
262.0,138.0,243.0,268.0,9.0,86.0,29.0,49.0,202.0,166.0,206.0,184.0,391.0
244.0,128.0,172.0,194.0,4.0,66.0,23.0,40.0,154.0,122.0,190.0,147.0,396.0
237.0,158.0,260.0,238.0,4.0,62.0,39.0,42.0,214.0,211.0,209.0,216.0,406.0
579.0,369.0,592.0,635.0,12.0,116.0,49.0,56.0,523.0,351.0,500.0,497.0,807.0
241.0,172.0,252.0,203.0,8.0,70.0,33.0,35.0,215.0,192.0,214.0,188.0,403.0
193.0,105.0,158.0,185.0,3.0,72.0,34.0,34.0,165.0,137.0,137.0,194.0,335.0
278.0,202.0,283.0,297.0,4.0,94.0,49.0,34.0,288.0,167.0,218.0,269.0,489.0
282.0,197.0,295.0,325.0,5.0,79.0,49.0,38.0,256.0,173.0,273.0,248.0,452.0
230.0,136.0,249.0,231.0,3.0,90.0,27.0,36.0,192.0,161.0,179.0,164.0,380.0
614.0,396.0,763.0,773.0,25.0,136.0,49.0,62.0,676.0,527.0,540.0,538.0,917.0
282.0,193.0,261.0,260.0,6.0,58.0,38.0,43.0,254.0,178.0,190.0,203.0,440.0
380.0,257.0,419.0,405.0,18.0,100.0,46.0,59.0,372.0,242.0,297.0,339.0,598.0
253.0,174.0,266.0,253.0,2.0,79.0,38.0,63.0,269.0,176.0,219.0,221.0,467.0
223.0,148.0,205.0,226.0,4.0,78.0,40.0,50.0,216.0,128.0,207.0,191.0,416.0
353.0,233.0,332.0,366.0,5.0,96.0,47.0,46.0,286.0,227.0,271.0,287.0,566.0
235.0,138.0,249.0,256.0,5.0,70.0,33.0,39.0,208.0,154.0,202.0,168.0,418.0
232.0,173.0,251.0,223.0,4.0,74.0,33.0,39.0,203.0,150.0,195.0,175.0,392.0
193.0,81.0,143.0,142.0,3.0,69.0,39.0,44.0,104.0,80.0,149.0,154.0,291.0
