Air_temperature,Soil_temperature,VPD,SWC,Precipation,SOC_0,SOC_10,SOC_30,LAI,BS,PV,NPV,CI
1104.0,62.0,673.0,424.0,284.0,334.0,232.0,251.0,203.0,377.0,187.0,956.0,448.0
850.0,44.0,409.0,267.0,212.0,311.0,168.0,219.0,172.0,283.0,135.0,678.0,323.0
1028.0,67.0,633.0,346.0,267.0,351.0,187.0,247.0,183.0,337.0,154.0,918.0,423.0
897.0,40.0,545.0,295.0,218.0,303.0,167.0,250.0,180.0,279.0,127.0,728.0,356.0
664.0,39.0,381.0,269.0,176.0,253.0,167.0,176.0,130.0,214.0,93.0,613.0,270.0
1179.0,56.0,600.0,389.0,312.0,335.0,198.0,257.0,220.0,412.0,172.0,1033.0,468.0
1060.0,54.0,609.0,347.0,253.0,297.0,183.0,223.0,209.0,338.0,169.0,965.0,415.0
806.0,41.0,447.0,283.0,186.0,251.0,175.0,185.0,141.0,264.0,110.0,679.0,314.0
772.0,35.0,440.0,240.0,210.0,281.0,158.0,218.0,147.0,251.0,130.0,656.0,308.0
695.0,30.0,336.0,189.0,179.0,246.0,120.0,194.0,115.0,215.0,110.0,601.0,283.0
1307.0,73.0,764.0,439.0,343.0,332.0,223.0,284.0,291.0,406.0,193.0,1132.0,538.0
1154.0,49.0,668.0,376.0,315.0,317.0,196.0,242.0,226.0,359.0,192.0,1062.0,415.0
1457.0,95.0,828.0,478.0,367.0,363.0,237.0,307.0,302.0,460.0,217.0,1264.0,544.0
1254.0,67.0,701.0,484.0,331.0,380.0,238.0,254.0,276.0,455.0,188.0,1131.0,459.0
740.0,47.0,378.0,220.0,181.0,246.0,173.0,173.0,150.0,190.0,111.0,614.0,304.0
1576.0,86.0,962.0,539.0,386.0,384.0,278.0,291.0,311.0,495.0,244.0,1303.0,581.0
1046.0,46.0,635.0,347.0,242.0,321.0,174.0,226.0,236.0,344.0,148.0,847.0,402.0
787.0,49.0,405.0,216.0,193.0,278.0,138.0,200.0,111.0,244.0,110.0,626.0,310.0
1274.0,56.0,756.0,445.0,320.0,362.0,222.0,270.0,243.0,433.0,207.0,1057.0,501.0
567.0,24.0,250.0,182.0,140.0,221.0,127.0,159.0,113.0,163.0,91.0,455.0,253.0
