Air_temperature,Soil_temperature,VPD,SWC,Precipation,SOC_0,SOC_10,SOC_30,LAI,BS,PV,NPV,CI
812.0,182.0,13.0,759.0,1863.0,140.0,191.0,36.0,2087.0,246.0,1519.0,1337.0,1114.0
280.0,58.0,2.0,200.0,458.0,80.0,100.0,15.0,684.0,76.0,453.0,386.0,393.0
352.0,66.0,4.0,259.0,681.0,74.0,98.0,29.0,846.0,103.0,595.0,559.0,500.0
278.0,51.0,7.0,205.0,421.0,89.0,90.0,21.0,651.0,74.0,421.0,378.0,355.0
396.0,82.0,4.0,349.0,791.0,104.0,127.0,27.0,1074.0,105.0,706.0,631.0,549.0
451.0,117.0,4.0,381.0,961.0,133.0,157.0,27.0,1224.0,140.0,770.0,696.0,628.0
321.0,65.0,5.0,290.0,636.0,99.0,129.0,34.0,875.0,93.0,516.0,518.0,464.0
741.0,146.0,11.0,727.0,1842.0,147.0,186.0,50.0,2053.0,272.0,1521.0,1361.0,1057.0
529.0,120.0,9.0,474.0,1310.0,122.0,156.0,23.0,1437.0,158.0,1005.0,959.0,767.0
415.0,76.0,3.0,318.0,714.0,111.0,114.0,32.0,912.0,102.0,627.0,507.0,479.0
372.0,81.0,7.0,295.0,781.0,121.0,107.0,28.0,1015.0,113.0,654.0,586.0,524.0
423.0,82.0,10.0,328.0,939.0,111.0,127.0,37.0,1202.0,130.0,798.0,689.0,587.0
203.0,41.0,2.0,123.0,333.0,50.0,89.0,18.0,456.0,39.0,303.0,260.0,348.0
320.0,59.0,2.0,296.0,675.0,88.0,111.0,28.0,862.0,104.0,617.0,525.0,455.0
324.0,63.0,6.0,249.0,619.0,96.0,119.0,14.0,830.0,88.0,566.0,496.0,469.0
258.0,60.0,2.0,185.0,451.0,87.0,79.0,22.0,615.0,55.0,450.0,331.0,355.0
350.0,65.0,5.0,285.0,590.0,94.0,104.0,27.0,828.0,81.0,589.0,496.0,490.0
311.0,57.0,1.0,197.0,500.0,93.0,89.0,28.0,693.0,72.0,454.0,416.0,379.0
335.0,60.0,8.0,237.0,577.0,87.0,109.0,27.0,764.0,61.0,505.0,419.0,447.0
398.0,51.0,5.0,285.0,639.0,98.0,111.0,23.0,840.0,93.0,566.0,526.0,488.0
