Air_temperature,Soil_temperature,VPD,SWC,Precipation,SOC_0,SOC_10,SOC_30,LAI,BS,PV,CI,NPV
304.0,6.0,104.0,177.0,63.0,25.0,17.0,1.0,162.0,94.0,182.0,78.0,
375.0,4.0,206.0,213.0,113.0,26.0,16.0,1.0,195.0,110.0,207.0,92.0,
423.0,4.0,223.0,247.0,148.0,34.0,22.0,1.0,208.0,160.0,256.0,108.0,
471.0,12.0,256.0,367.0,160.0,42.0,20.0,1.0,300.0,179.0,318.0,166.0,
407.0,5.0,158.0,214.0,121.0,39.0,17.0,1.0,156.0,93.0,250.0,120.0,
412.0,6.0,213.0,292.0,159.0,27.0,36.0,4.0,221.0,148.0,287.0,126.0,
403.0,10.0,216.0,275.0,125.0,31.0,26.0,3.0,198.0,146.0,269.0,123.0,
354.0,6.0,172.0,209.0,100.0,26.0,24.0,1.0,179.0,119.0,227.0,103.0,
302.0,8.0,141.0,174.0,85.0,29.0,21.0,1.0,123.0,80.0,158.0,79.0,
323.0,5.0,173.0,198.0,103.0,32.0,16.0,2.0,150.0,119.0,188.0,80.0,
372.0,,179.0,216.0,90.0,25.0,12.0,4.0,171.0,90.0,206.0,104.0,
285.0,8.0,136.0,183.0,66.0,20.0,18.0,1.0,134.0,79.0,161.0,77.0,
354.0,6.0,186.0,189.0,101.0,18.0,11.0,2.0,179.0,124.0,160.0,92.0,
361.0,4.0,192.0,212.0,95.0,26.0,24.0,1.0,213.0,74.0,192.0,92.0,
453.0,2.0,204.0,256.0,131.0,27.0,30.0,3.0,212.0,139.0,257.0,114.0,1.0
376.0,6.0,187.0,213.0,111.0,38.0,16.0,2.0,179.0,113.0,235.0,117.0,
469.0,5.0,227.0,310.0,141.0,50.0,23.0,2.0,247.0,153.0,289.0,149.0,
419.0,12.0,213.0,298.0,156.0,34.0,22.0,2.0,260.0,183.0,256.0,114.0,
421.0,10.0,231.0,282.0,127.0,37.0,36.0,1.0,226.0,141.0,262.0,142.0,
392.0,5.0,167.0,226.0,75.0,34.0,13.0,,217.0,110.0,197.0,97.0,
