Air_temperature,Soil_temperature,VPD,SWC,Precipation,SOC_0,SOC_10,SOC_30,LAI,BS,PV,NPV,CI
240.0,4.0,16.0,42.0,381.0,55.0,59.0,36.0,276.0,123.0,144.0,331.0,58.0
197.0,3.0,26.0,35.0,247.0,51.0,48.0,35.0,233.0,102.0,142.0,280.0,28.0
234.0,3.0,14.0,42.0,273.0,63.0,40.0,32.0,252.0,100.0,124.0,282.0,50.0
238.0,2.0,29.0,45.0,319.0,55.0,53.0,37.0,297.0,130.0,171.0,362.0,76.0
373.0,3.0,41.0,78.0,443.0,72.0,64.0,58.0,423.0,192.0,231.0,495.0,81.0
184.0,2.0,17.0,31.0,227.0,49.0,32.0,30.0,182.0,83.0,103.0,245.0,54.0
368.0,5.0,48.0,86.0,500.0,73.0,59.0,40.0,405.0,176.0,259.0,525.0,101.0
313.0,7.0,40.0,58.0,387.0,55.0,53.0,52.0,368.0,134.0,232.0,458.0,83.0
211.0,2.0,14.0,27.0,247.0,44.0,36.0,22.0,221.0,65.0,119.0,268.0,30.0
274.0,5.0,32.0,51.0,322.0,60.0,45.0,37.0,282.0,111.0,166.0,374.0,70.0
212.0,3.0,20.0,42.0,245.0,47.0,54.0,29.0,264.0,98.0,149.0,299.0,45.0
214.0,5.0,26.0,34.0,260.0,55.0,31.0,32.0,241.0,84.0,161.0,276.0,59.0
333.0,2.0,33.0,57.0,376.0,69.0,44.0,39.0,361.0,150.0,201.0,414.0,63.0
347.0,6.0,40.0,65.0,436.0,64.0,72.0,34.0,377.0,162.0,232.0,485.0,90.0
257.0,2.0,22.0,50.0,311.0,54.0,39.0,28.0,279.0,103.0,176.0,323.0,45.0
284.0,4.0,42.0,50.0,342.0,85.0,58.0,39.0,339.0,137.0,187.0,421.0,76.0
203.0,1.0,25.0,37.0,239.0,52.0,34.0,35.0,255.0,91.0,135.0,294.0,48.0
255.0,2.0,44.0,44.0,320.0,67.0,34.0,39.0,252.0,113.0,150.0,316.0,45.0
283.0,2.0,34.0,39.0,314.0,65.0,46.0,35.0,304.0,121.0,189.0,341.0,64.0
320.0,5.0,34.0,68.0,367.0,73.0,62.0,35.0,311.0,119.0,208.0,384.0,72.0
