Air_temperature,Soil_temperature,VPD,SWC,Precipation,SOC_0,SOC_10,SOC_30,LAI,BS,PV,NPV,CI
9.0,217.0,133.0,81.0,460.0,26.0,94.0,41.0,209.0,236.0,155.0,400.0,139.0
18.0,284.0,237.0,96.0,590.0,25.0,93.0,45.0,354.0,325.0,226.0,725.0,193.0
13.0,230.0,137.0,71.0,392.0,22.0,71.0,44.0,281.0,202.0,127.0,451.0,122.0
8.0,124.0,92.0,44.0,266.0,23.0,47.0,32.0,161.0,128.0,106.0,305.0,83.0
16.0,187.0,173.0,102.0,528.0,34.0,75.0,39.0,257.0,259.0,174.0,429.0,146.0
7.0,156.0,143.0,70.0,407.0,19.0,61.0,39.0,218.0,225.0,125.0,428.0,132.0
31.0,358.0,376.0,157.0,1043.0,42.0,117.0,71.0,391.0,587.0,344.0,852.0,272.0
14.0,358.0,291.0,128.0,799.0,28.0,102.0,63.0,346.0,403.0,239.0,669.0,180.0
4.0,123.0,87.0,45.0,270.0,18.0,65.0,25.0,147.0,156.0,116.0,251.0,85.0
19.0,201.0,153.0,63.0,383.0,18.0,92.0,39.0,209.0,232.0,153.0,462.0,129.0
27.0,383.0,294.0,143.0,963.0,43.0,114.0,71.0,505.0,467.0,349.0,994.0,269.0
16.0,227.0,202.0,68.0,502.0,26.0,85.0,44.0,268.0,261.0,194.0,511.0,139.0
24.0,270.0,197.0,115.0,640.0,26.0,90.0,43.0,280.0,345.0,197.0,583.0,167.0
10.0,148.0,115.0,52.0,325.0,30.0,61.0,35.0,191.0,161.0,117.0,327.0,113.0
6.0,127.0,82.0,39.0,222.0,15.0,72.0,20.0,142.0,135.0,93.0,255.0,95.0
7.0,127.0,77.0,43.0,203.0,10.0,54.0,27.0,120.0,133.0,82.0,227.0,70.0
6.0,115.0,75.0,34.0,249.0,13.0,51.0,22.0,114.0,114.0,88.0,228.0,87.0
5.0,112.0,81.0,49.0,205.0,14.0,49.0,23.0,147.0,126.0,90.0,221.0,75.0
41.0,404.0,364.0,186.0,891.0,51.0,126.0,88.0,385.0,588.0,338.0,834.0,269.0
12.0,215.0,160.0,84.0,439.0,25.0,88.0,48.0,225.0,272.0,162.0,407.0,122.0
